df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,omega
141.703,0.760
143.211,0.757
145.021,0.760
164.189,0.765
164.374,0.765
166.469,0.757
172.569,0.763
179.808,0.763
182.850,0.764
206.492,0.764
209.663,0.746
213.615,0.764
217.119,0.776
218.289,0.784
221.610,0.789
224.438,0.789
225.366,0.794
228.007,0.817
229.605,0.825
299.561,0.835
301.025,0.825
306.046,0.815
