df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,rr_int
8.853,3940
8.996,10
9.825,195
10.069,775
10.800,295
11.190,655
11.340,435
12.165,245
12.998,825
14.656,745
14.700,1415
15.920,370
17.430,1185
18.164,1540
18.989,725
18.994,775
19.136,10
19.139,165
19.331,15
20.354,480
20.359,755
21.087,10
21.769,730
22.451,680
23.134,725
23.962,705
24.695,805
24.842,720
25.378,10
26.058,635
26.062,720
26.839,10
27.034,770
27.037,195
27.820,25
28.447,440
30.011,975
30.014,1190
30.017,10
30.105,15
30.836,410
31.080,740
31.083,275
31.762,10
31.769,685
32.060,10
32.352,75
33.712,460
33.716,1445
33.861,10
33.864,10
34.297,10
34.985,580
35.672,705
36.345,680
37.174,715
37.833,745
37.904,785
38.734,750
39.270,10
39.416,610
39.855,185
40.391,310
40.440,635
40.540,10
40.588,100
40.781,10
40.830,250
41.369,10
42.487,620
43.024,1070
44.291,535
44.710,1300
45.025,400
46.777,10
46.782,2055
48.045,10
48.437,1320
48.873,370
50.238,425
50.563,1430
50.849,265
52.190,300
53.018,1400
53.456,885
54.139,335
54.577,655
56.089,555
56.925,1455
57.746,870
58.722,855
59.556,930
60.964,910
61.111,1330
61.208,160
61.529,380
62.622,570
63.451,640
64.206,765
64.816,700
65.400,675
66.083,605
66.890,645
67.350,700
68.033,660
68.667,655
68.910,615
68.917,215
69.203,10
69.208,10
69.260,15
69.496,300
69.837,310
70.519,400
71.348,545
72.233,865
72.910,865
73.591,780
74.317,705
74.858,640
74.956,655
75.248,10
76.077,305
76.809,890
77.052,710
77.055,260
77.251,15
77.255,60
77.640,15
77.735,440
77.739,10
78.076,235
78.856,635
79.296,450
80.124,440
81.001,805
81.391,825
82.126,420
82.171,700
82.174,10
82.222,10
82.366,185
83.048,275
83.063,465
83.878,10
84.183,830
84.709,320
84.724,590
84.858,10
84.901,135
84.998,15
85.005,25
85.049,10
85.388,10
85.583,395
85.587,245
85.681,10
85.695,60
85.827,200
87.192,895
87.923,500
88.824,735
88.873,745
88.899,120
88.902,75
89.532,15
89.825,545
90.117,360
90.123,325
91.093,970
91.532,10
92.360,440
92.367,775
92.411,10
92.417,10
92.897,15
93.042,545
93.049,130
93.091,10
93.096,15
93.102,10
93.579,10
94.251,485
94.992,600
95.001,795
95.311,275
96.358,380
97.138,755
98.210,780
98.311,1110
98.455,320
99.331,290
100.014,455
100.701,710
100.941,770
100.970,200
101.818,925
102.062,240
102.647,270
102.650,135
102.991,195
104.889,705
105.572,1465
106.254,705
106.257,680
106.790,10
107.473,645
107.477,675
108.204,10
108.208,650
108.354,10
108.887,175
109.436,480
109.474,570
110.009,10
110.691,610
110.694,610
111.032,335
111.035,10
111.081,10
111.084,15
111.087,10
111.227,210
112.641,680
113.469,740
114.152,780
114.835,715
115.566,695
115.811,725
116.248,315
116.395,370
116.834,225
117.516,445
118.199,700
118.491,685
119.567,270
119.856,1025
119.860,300
119.908,10
119.915,10
120.149,15
120.837,300
120.928,695
121.367,10
121.514,545
121.660,145
121.953,375
123.220,680
124.049,680
124.731,755
125.560,755
125.563,740
126.242,10
126.246,705
126.409,10
126.460,165
126.469,15
126.476,10
126.827,15
127.510,455
128.196,690
128.729,610
128.734,600
129.320,10
129.850,585
131.119,565
131.849,1220
131.856,640
132.242,10
132.786,430
133.799,585
133.899,965
134.043,350
134.051,10
135.701,305
136.237,1355
136.861,515
136.968,770
138.013,310
138.479,645
139.167,585
139.893,655
139.990,700
139.994,180
140.137,15
140.581,25
141.258,455
141.404,675
141.843,180
141.941,465
142.086,275
143.062,345
143.068,615
143.653,10
144.330,575
144.889,610
145.719,615
145.987,825
146.036,10
146.962,215
147.937,1050
148.815,950
149.595,860
150.423,805
151.261,940
151.691,710
151.694,515
151.987,10
152.812,260
153.495,790
154.083,705
154.762,570
154.859,735
154.863,165
155.006,20
155.010,15
155.155,10
155.159,10
155.444,35
155.985,355
156.712,665
157.395,620
158.077,700
158.760,685
159.493,740
160.333,735
160.563,815
160.650,10
161.398,320
161.587,755
161.594,120
161.689,20
161.700,10
162.124,10
162.224,595
162.806,105
163.488,565
164.173,740
164.347,715
164.472,240
165.585,440
166.268,690
166.414,675
166.588,255
167.682,420
168.266,695
168.364,670
168.926,10
169.583,620
170.366,690
170.997,680
171.679,745
172.530,760
172.556,740
173.239,10
173.776,660
174.365,610
174.651,630
174.757,220
174.898,10
175.618,305
175.872,680
175.876,280
176.018,195
176.116,15
176.164,125
176.846,365
177.091,330
177.094,155
178.212,500
178.895,660
179.625,670
180.455,715
180.747,875
181.430,285
182.112,690
182.794,700
183.087,930
183.526,495
184.646,810
186.158,275
186.548,1580
187.962,405
188.645,1385
189.181,675
190.305,530
190.308,1120
190.311,10
190.448,115
190.452,10
190.649,15
191.959,15
192.252,1565
192.568,300
193.227,300
193.519,655
193.522,335
193.666,10
193.910,310
195.567,745
195.618,940
195.860,275
197.420,1550
197.664,290
198.931,780
199.326,460
200.296,495
200.737,815
201.056,165
202.393,620
202.832,1455
202.836,465
203.113,240
204.635,800
