df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,temperature
5.291,33.406
6.464,33.438
7.732,33.469
8.314,33.500
9.318,33.531
10.312,33.562
11.336,33.594
12.509,33.562
13.363,33.594
14.654,33.594
15.334,33.531
16.309,33.562
17.381,33.562
18.556,33.594
19.336,33.625
20.321,33.594
21.336,33.625
22.305,33.688
23.402,33.688
24.304,33.688
25.328,33.781
26.302,33.781
27.326,33.812
28.302,33.812
29.325,33.812
30.398,33.844
31.421,33.844
32.299,33.844
33.322,33.844
34.544,33.875
35.321,33.906
36.300,33.906
37.320,33.906
38.295,33.906
39.319,33.906
40.342,33.906
41.366,33.938
42.341,34.000
43.511,34.031
44.294,34.031
45.314,34.031
46.290,34.031
47.314,34.062
48.434,34.125
49.313,34.125
50.288,34.156
51.312,34.156
52.335,34.125
53.359,34.156
54.290,34.125
55.315,34.125
56.284,34.156
57.308,34.156
58.332,34.125
59.550,34.125
60.330,34.094
61.306,34.094
62.400,34.125
63.304,34.125
64.328,34.188
65.360,34.156
66.376,34.188
67.302,34.188
68.325,34.219
69.398,34.250
70.324,34.281
71.643,34.281
72.372,34.250
73.447,34.250
74.375,34.250
75.297,34.250
76.349,34.250
77.296,34.281
78.328,34.250
79.639,34.312
80.367,34.312
81.294,34.344
82.354,34.344
83.293,34.375
84.611,34.375
85.362,34.375
86.318,34.375
87.290,34.406
88.336,34.375
89.317,34.375
90.334,34.375
91.301,34.375
92.334,34.406
93.311,34.438
94.332,34.406
95.554,34.406
96.309,34.438
97.284,34.438
98.308,34.469
99.335,34.438
100.696,34.438
101.326,34.469
102.306,34.438
103.281,34.438
104.551,34.438
105.280,34.469
106.352,34.469
107.310,34.469
108.350,34.469
109.358,34.469
110.301,34.469
111.325,34.469
112.300,34.438
113.323,34.469
114.299,34.469
115.322,34.500
116.297,34.531
117.321,34.562
118.296,34.594
119.320,34.625
120.346,34.625
121.319,34.656
122.294,34.688
123.317,34.656
124.293,34.719
125.317,34.688
126.376,34.719
127.315,34.688
128.291,34.719
129.314,34.750
130.289,34.781
131.316,34.750
132.298,34.781
133.312,34.812
134.321,34.812
135.311,34.812
136.678,34.781
137.309,34.750
138.284,34.750
139.308,34.750
140.575,34.750
141.378,34.781
142.282,34.750
143.355,34.750
144.281,34.750
145.327,34.750
146.280,34.750
147.304,34.781
148.327,34.781
149.302,34.781
150.326,34.719
151.350,34.719
152.276,34.750
153.300,34.812
154.275,34.812
155.334,34.812
156.569,34.844
157.298,34.844
158.324,34.812
159.296,34.812
160.320,34.875
161.393,34.844
162.319,34.844
163.294,34.844
164.318,34.812
165.297,34.875
166.317,34.875
167.292,34.875
168.315,35.031
169.290,35.031
170.363,35.031
171.289,35.062
172.313,35.031
173.294,35.000
174.360,35.031
175.287,35.000
176.310,35.000
177.287,35.031
178.309,34.906
179.531,34.906
180.308,34.938
181.332,34.875
182.356,34.938
183.282,34.938
184.306,34.969
185.281,35.000
186.327,35.000
187.280,34.969
188.304,34.969
189.278,34.969
190.302,34.938
191.357,34.969
192.301,34.969
193.325,34.969
194.300,34.906
195.275,34.875
196.324,34.875
197.276,34.844
198.298,34.844
199.321,34.844
200.302,34.875
201.400,34.875
202.335,34.844
203.281,34.844
204.299,34.844
205.293,34.875
206.293,34.875
207.560,34.875
208.295,34.844
209.315,34.812
210.327,34.812
211.557,34.812
212.289,34.812
213.313,34.781
214.331,34.812
215.312,34.781
216.311,34.781
217.311,34.812
218.290,34.844
219.327,34.844
220.284,34.844
221.308,34.844
222.530,34.875
223.307,34.875
224.294,34.875
225.334,34.906
226.284,34.906
227.335,34.938
228.328,34.969
229.303,34.969
230.281,34.938
231.302,34.969
232.521,35.000
233.301,35.031
234.311,35.062
235.300,35.062
236.279,35.031
237.317,35.000
238.274,35.000
239.297,35.000
240.787,35.000
241.296,35.031
242.272,35.000
243.295,35.000
244.289,34.969
245.294,34.969
246.269,35.031
247.293,35.000
248.268,35.031
249.635,35.031
250.276,35.031
251.290,35.062
252.267,35.062
253.398,35.094
254.266,35.125
255.288,35.094
256.315,35.031
257.286,35.031
258.285,34.969
259.334,34.969
260.309,34.906
261.284,34.844
262.405,34.812
263.430,34.781
264.307,34.812
265.282,34.781
266.315,34.781
267.282,34.781
268.305,34.812
269.523,34.875
270.303,34.938
271.302,34.969
272.327,35.031
273.277,35.062
274.350,35.031
275.470,35.031
276.299,35.094
277.338,35.156
278.298,35.156
279.274,35.156
280.540,35.125
281.272,35.125
282.345,35.125
283.273,35.125
284.295,35.125
285.270,35.125
286.294,35.094
287.269,35.094
288.584,35.062
289.267,35.031
290.295,35.062
291.465,35.062
292.290,35.062
293.557,35.031
294.289,35.031
295.264,35.031
296.289,35.031
297.263,35.031
298.287,35.031
299.270,35.031
300.285,35.031
301.271,35.031
302.308,35.062
303.308,35.062
304.283,35.062
305.355,35.125
306.282,35.125
307.305,35.125
308.434,35.125
309.304,35.125
310.284,35.125
311.303,35.188
312.284,35.156
313.307,35.156
314.277,35.125
315.302,35.156
316.327,35.125
317.299,35.125
318.275,35.125
