df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,battery
6.218,48
16.260,47
26.204,47
36.296,47
46.192,47
56.187,47
66.182,47
76.224,47
86.268,47
96.212,47
106.206,47
116.200,47
126.194,47
136.188,47
146.184,47
156.186,47
166.170,47
176.241,47
186.310,47
196.201,47
206.196,47
216.189,47
226.281,46
236.181,46
246.171,46
256.312,46
266.208,46
276.202,46
286.196,46
296.190,46
306.184,46
316.178,46
326.172,46
336.166,46
346.214,46
356.278,46
366.202,46
376.201,46
386.185,46
396.179,46
406.221,46
416.215,46
426.209,46
436.157,46
446.294,46
456.144,46
466.185,46
476.200,46
486.173,46
