df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,acc_mag
4.795,0.985
4.825,0.991
4.855,0.982
4.885,0.977
4.915,0.984
4.945,0.979
4.975,0.982
5.005,0.987
5.035,0.983
5.065,0.983
5.095,0.984
5.125,0.982
5.155,0.982
5.185,0.980
5.215,0.983
5.245,0.983
5.275,0.983
5.305,0.978
5.335,0.979
5.365,0.983
5.395,0.987
5.425,0.983
5.455,0.983
5.485,0.983
5.515,0.979
5.545,0.987
5.575,0.986
5.605,0.986
5.635,0.986
5.665,0.980
5.695,0.986
5.725,0.988
5.755,0.984
5.785,0.978
5.815,0.986
5.845,0.988
5.875,0.983
5.905,0.985
5.935,0.981
5.965,0.984
5.995,0.985
6.025,0.983
6.055,0.979
6.085,0.982
6.115,0.982
6.145,0.982
6.175,0.985
6.205,0.983
6.235,0.987
6.265,0.983
6.295,0.983
6.325,0.981
6.355,0.981
6.385,0.981
6.415,0.984
6.445,0.979
6.475,0.984
6.505,0.981
6.535,0.985
6.565,0.985
6.595,0.983
6.625,0.985
6.655,0.983
6.685,0.983
6.715,0.983
6.745,0.986
6.775,0.980
6.805,0.980
6.835,0.988
6.865,0.982
6.895,0.984
6.925,0.979
6.955,0.979
6.985,0.981
7.015,0.986
7.045,0.980
7.075,0.987
7.105,0.981
7.135,0.990
7.165,0.984
7.195,0.982
7.225,0.984
7.255,0.983
7.285,0.985
7.315,0.982
7.345,0.979
7.375,0.986
7.405,0.980
7.435,0.991
7.465,0.984
7.495,0.980
7.525,0.982
7.555,0.983
7.585,0.982
7.615,0.988
7.645,0.976
7.675,0.984
7.705,0.983
7.735,0.985
7.765,0.985
7.795,0.980
7.825,0.984
7.855,0.978
7.885,0.976
7.915,0.985
7.945,0.981
7.975,0.984
8.005,0.983
8.035,0.988
8.065,0.981
8.095,0.979
8.125,0.983
8.155,0.980
8.185,0.982
8.215,0.986
8.245,0.982
8.275,0.984
8.305,0.981
8.335,0.981
8.365,0.987
8.395,0.980
8.425,0.980
8.455,0.979
8.485,0.981
8.515,0.976
8.545,0.980
8.575,0.980
8.605,0.983
8.635,0.987
8.665,0.980
8.695,0.982
8.725,0.984
8.755,0.981
8.785,0.984
8.815,0.988
8.845,0.984
8.875,0.982
8.905,0.982
8.935,0.984
8.965,0.983
8.995,0.983
9.025,0.985
9.055,0.983
9.085,0.988
9.115,0.982
9.145,0.984
9.175,0.985
9.205,0.979
9.235,0.982
9.265,0.980
9.295,0.983
9.325,0.986
9.355,0.977
9.385,0.977
9.415,0.975
9.445,0.988
9.475,0.987
9.505,0.979
9.535,0.971
9.565,0.976
9.595,0.976
9.625,0.982
9.655,0.985
9.685,0.986
9.715,0.983
9.745,0.985
9.775,0.990
9.805,0.997
9.835,0.979
9.865,0.987
9.895,0.988
9.925,0.991
9.955,0.994
9.985,0.985
10.015,0.988
10.045,0.989
10.075,0.986
10.105,0.986
10.135,0.982
10.165,0.985
10.195,0.984
10.225,0.997
10.255,0.995
10.285,0.998
10.315,0.987
10.345,0.979
10.375,0.981
10.405,0.992
10.435,0.982
10.465,0.968
10.495,0.978
10.525,0.989
10.555,0.978
10.585,0.986
10.615,0.995
10.645,0.990
10.675,0.989
10.705,0.988
10.735,0.981
10.765,0.987
10.795,0.981
10.825,0.979
10.855,0.992
10.885,0.996
10.915,0.981
10.945,0.969
10.975,0.978
11.005,0.982
11.035,0.985
11.065,0.998
11.095,0.994
11.125,0.991
11.155,0.997
11.185,0.992
11.215,0.982
11.245,0.984
11.275,0.991
11.305,0.988
11.335,0.983
11.365,0.988
11.395,0.984
11.425,0.969
11.455,0.976
11.485,0.992
11.515,0.978
11.545,0.973
11.575,0.971
11.605,0.986
11.635,0.980
11.665,0.984
11.695,0.991
11.725,0.991
11.755,0.987
11.785,0.988
11.815,0.979
11.845,0.993
11.875,0.991
11.905,0.979
11.935,0.983
11.965,0.998
11.995,0.997
12.025,0.988
12.055,0.990
12.085,0.984
12.115,0.979
12.145,0.978
12.175,0.972
12.205,0.977
12.235,0.983
12.265,0.978
12.295,0.978
12.325,0.983
12.355,0.987
12.385,0.988
12.415,0.981
12.445,0.990
12.475,0.989
12.505,0.992
12.535,0.987
12.565,0.986
12.595,0.986
12.625,0.986
12.655,0.983
12.685,0.981
12.715,0.988
12.745,0.987
12.775,0.973
12.805,0.991
12.835,0.980
12.865,0.980
12.895,0.986
12.925,0.986
12.955,0.987
12.985,0.993
13.015,0.980
13.045,0.996
13.075,0.984
13.105,0.982
13.135,0.988
13.165,0.981
13.195,0.991
13.225,0.991
13.255,0.989
13.285,0.981
13.315,0.987
13.345,0.995
13.375,0.989
13.405,0.991
13.435,0.984
13.465,0.985
13.495,0.984
13.525,0.985
13.555,0.984
13.585,0.990
13.615,0.988
13.645,0.988
13.675,0.984
13.705,0.986
13.735,0.985
13.765,0.986
13.795,0.990
13.825,0.991
13.855,0.989
13.885,0.983
13.915,0.991
13.945,0.988
13.975,0.989
14.005,0.995
14.035,0.987
14.065,0.987
14.095,0.986
14.125,0.987
14.155,0.986
