df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,quality
5.693,100
7.830,100
23.625,67
24.453,61
25.672,63
26.550,63
27.814,62
28.694,64
29.525,36
30.450,30
31.667,33
32.497,35
33.423,30
34.593,22
35.470,20
36.397,38
37.568,47
38.494,52
39.373,49
40.599,26
41.512,19
42.393,27
43.517,34
44.468,39
45.364,33
46.566,0
47.557,3
48.293,9
49.513,25
50.398,28
51.266,1
52.485,7
53.367,32
54.285,25
55.459,20
56.337,0
57.214,28
58.435,35
59.409,31
60.189,38
61.458,33
62.337,34
63.215,33
64.425,22
65.277,0
66.137,27
67.646,52
68.231,59
69.253,66
70.374,54
71.205,49
72.226,28
73.308,20
74.211,29
75.151,22
76.276,35
77.201,34
78.225,21
79.252,32
80.131,47
81.053,64
82.322,53
83.151,30
84.052,32
85.201,34
86.168,29
87.002,28
88.173,29
89.112,22
89.978,27
91.196,29
92.075,33
92.957,27
94.121,22
95.047,0
95.922,30
97.192,25
98.018,39
99.191,31
100.115,39
101.297,42
101.871,49
103.100,34
103.970,38
104.990,41
106.062,41
106.942,31
107.817,43
109.327,49
109.914,52
110.886,50
112.014,42
112.889,41
113.814,24
114.984,25
115.862,34
116.788,43
118.055,41
118.838,37
119.762,30
120.980,27
121.810,34
122.735,31
124.006,42
124.833,37
125.759,29
126.882,35
127.807,71
128.713,60
129.999,36
130.781,37
131.659,53
132.876,43
133.763,35
134.632,25
135.849,23
136.730,0
137.657,20
138.840,25
139.702,29
141.042,32
141.797,36
142.720,49
143.647,54
144.772,47
145.651,58
146.867,25
147.749,0
148.720,0
149.549,0
150.743,6
151.597,24
152.523,33
153.695,36
154.570,28
155.498,25
156.667,21
157.593,57
158.484,65
159.653,58
160.616,46
161.545,44
162.629,47
163.546,46
164.418,47
165.635,41
166.516,65
167.392,67
168.900,61
169.488,65
170.414,63
171.585,65
172.464,54
173.356,61
174.604,63
175.460,45
176.654,18
177.532,17
178.411,20
179.287,30
180.517,29
181.383,28
182.261,32
183.481,27
184.598,30
185.235,4
186.464,0
187.332,25
188.257,0
189.427,23
190.363,21
191.232,0
192.498,27
193.279,21
194.251,22
195.376,28
196.253,27
197.180,0
198.349,19
199.271,25
200.158,24
201.424,34
202.253,42
203.175,26
204.324,32
205.224,38
206.101,46
207.320,52
208.197,58
209.131,52
210.247,59
211.219,56
212.145,53
213.267,39
214.153,41
215.071,39
216.242,40
217.124,50
218.042,56
219.216,63
220.093,65
220.973,62
222.192,58
223.066,67
224.285,72
225.167,66
226.186,60
226.917,66
228.136,67
229.014,70
229.940,70
231.161,37
232.031,0
232.914,0
234.279,0
234.963,0
235.898,0
237.059,0
237.936,21
238.862,0
240.174,0
240.972,0
241.836,23
243.006,0
243.884,0
244.810,0
245.980,0
246.907,2
247.783,0
249.248,4
249.880,43
251.049,1
251.927,42
253.244,21
253.733,18
254.951,34
255.830,27
256.900,25
257.925,0
258.801,8
259.800,4
260.898,3
261.824,4
262.746,37
263.871,20
264.748,22
265.628,23
267.039,22
267.812,17
268.603,0
269.819,0
271.034,0
271.768,30
272.895,21
273.695,0
274.839,19
275.770,32
276.669,35
277.766,33
278.789,34
279.628,42
280.590,33
281.723,21
282.591,24
283.517,0
284.789,4
285.664,10
286.735,15
287.663,11
288.592,2
289.511,0
290.636,0
291.562,21
292.582,38
293.658,36
294.535,18
295.413,49
296.680,17
297.561,0
298.387,0
299.800,0
300.484,0
301.672,8
302.580,0
303.847,33
304.334,32
305.603,25
306.431,0
307.357,20
308.527,0
309.548,0
310.331,29
311.508,0
312.718,0
313.456,0
314.526,0
315.401,0
316.279,41
317.742,36
318.326,10
319.298,37
320.423,0
321.397,27
322.226,21
323.594,25
324.323,0
325.294,0
326.371,0
327.297,0
328.176,0
329.344,13
330.270,16
331.148,0
332.318,0
333.244,0
334.122,6
335.340,29
336.242,29
337.095,16
338.317,5
339.241,0
340.073,34
341.288,24
342.165,24
343.137,19
344.264,22
345.139,4
346.208,5
347.284,40
348.114,42
349.149,2
350.209,41
351.089,0
351.966,28
353.183,0
354.112,0
354.989,0
356.158,0
357.037,2
358.006,4
359.182,3
360.011,0
360.938,0
362.165,4
362.985,19
363.911,0
365.222,0
366.007,24
367.174,26
368.052,43
368.978,51
369.858,54
371.028,4
371.977,0
372.878,44
374.006,36
374.926,24
375.803,37
376.978,32
377.900,15
378.783,18
380.050,10
380.889,0
381.751,0
382.972,30
383.858,28
384.725,24
385.993,34
386.821,0
387.699,0
388.918,21
389.795,28
390.722,28
391.892,0
392.817,0
393.647,0
394.866,0
395.743,0
396.669,0
397.840,0
399.006,0
399.838,0
400.813,27
401.692,28
402.711,24
403.787,28
404.712,0
405.591,22
406.764,31
407.647,34
408.710,32
409.734,40
410.661,41
411.636,39
412.708,0
413.641,11
414.512,22
415.727,9
416.619,45
417.488,46
418.656,41
419.582,39
420.562,35
421.727,43
422.556,34
423.433,0
424.652,0
425.546,35
426.651,31
427.626,34
428.503,39
429.625,29
430.603,26
431.478,29
432.355,37
433.575,31
434.455,30
435.328,25
