df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,omega
42.502,0.478
43.476,0.478
44.553,0.477
45.721,0.478
46.643,0.477
47.876,0.478
55.272,0.479
56.835,0.478
57.517,0.477
59.272,0.476
59.954,0.475
60.782,0.472
61.268,0.470
62.197,0.470
63.267,0.470
67.414,0.470
70.192,0.470
71.166,0.470
74.777,0.470
75.601,0.470
76.582,0.470
77.701,0.469
79.351,0.470
80.329,0.469
81.255,0.469
81.987,0.469
83.209,0.467
85.014,0.467
85.750,0.467
90.330,0.466
91.349,0.466
91.988,0.467
95.167,0.473
97.444,0.482
100.612,0.482
101.341,0.473
101.930,0.473
112.601,0.473
113.973,0.467
114.799,0.471
116.209,0.466
117.042,0.468
117.869,0.468
119.436,0.471
120.554,0.474
123.232,0.474
126.060,0.474
127.193,0.474
127.964,0.474
128.932,0.475
129.810,0.478
130.888,0.483
131.913,0.480
132.590,0.480
133.811,0.480
135.416,0.483
136.348,0.485
137.234,0.485
138.245,0.491
139.272,0.491
139.954,0.491
140.801,0.497
141.903,0.499
143.858,0.499
144.784,0.499
145.514,0.499
147.319,0.499
148.196,0.500
149.178,0.499
150.877,0.499
151.511,0.498
152.337,0.498
153.170,0.499
153.894,0.499
155.700,0.499
158.771,0.499
163.987,0.499
164.724,0.498
165.408,0.494
166.089,0.494
167.107,0.494
167.934,0.488
168.772,0.485
169.347,0.484
170.336,0.485
171.251,0.484
175.292,0.483
177.930,0.481
178.951,0.481
180.069,0.481
181.936,0.478
182.568,0.478
183.731,0.476
184.611,0.475
185.291,0.475
187.973,0.476
188.798,0.476
189.676,0.478
190.310,0.479
192.023,0.480
192.952,0.482
194.506,0.482
195.331,0.480
196.263,0.480
196.842,0.480
197.723,0.483
201.038,0.485
201.830,0.485
202.593,0.483
204.743,0.480
205.475,0.480
210.249,0.480
212.396,0.483
215.029,0.485
217.567,0.485
219.023,0.483
220.928,0.483
222.295,0.485
223.658,0.485
224.197,0.483
225.373,0.478
233.081,0.475
233.613,0.478
234.283,0.478
234.773,0.472
244.379,0.472
245.060,0.468
245.693,0.471
246.915,0.471
248.129,0.470
248.821,0.470
249.548,0.460
250.318,0.452
253.833,0.452
254.664,0.458
255.247,0.466
256.853,0.458
258.769,0.452
260.906,0.452
261.489,0.458
262.755,0.465
269.630,0.465
270.119,0.465
273.284,0.465
274.017,0.467
274.846,0.465
276.652,0.465
277.429,0.463
278.599,0.463
279.239,0.465
279.915,0.469
281.085,0.469
282.600,0.476
284.164,0.478
289.132,0.478
290.397,0.478
291.268,0.478
291.810,0.478
292.493,0.478
293.180,0.478
294.551,0.468
299.318,0.468
301.610,0.468
302.100,0.478
303.462,0.468
304.198,0.468
305.020,0.472
305.750,0.476
306.388,0.472
307.217,0.472
309.312,0.472
310.040,0.476
310.287,0.472
314.187,0.474
314.846,0.474
315.264,0.474
317.258,0.480
319.888,0.480
321.259,0.480
324.668,0.483
325.159,0.483
328.520,0.480
329.104,0.474
329.696,0.469
330.177,0.469
330.717,0.469
331.302,0.473
332.100,0.475
333.691,0.484
334.277,0.484
334.712,0.493
335.165,0.478
335.731,0.477
336.317,0.465
337.437,0.457
338.075,0.457
338.659,0.457
340.343,0.457
340.464,0.457
341.743,0.457
345.728,0.462
346.472,0.462
346.999,0.467
348.268,0.467
349.047,0.479
351.302,0.493
351.964,0.493
352.400,0.493
353.041,0.479
354.259,0.467
354.748,0.467
355.293,0.467
355.917,0.471
358.157,0.479
358.987,0.489
360.208,0.489
362.841,0.499
363.665,0.489
365.619,0.483
367.032,0.483
368.114,0.483
369.366,0.483
370.198,0.483
370.786,0.483
371.708,0.483
372.150,0.479
372.980,0.479
373.713,0.479
374.491,0.479
375.027,0.479
375.808,0.486
376.495,0.486
377.361,0.486
378.835,0.486
379.752,0.487
380.145,0.490
381.025,0.482
381.508,0.488
382.193,0.490
383.303,0.487
383.976,0.487
384.735,0.487
385.313,0.483
385.852,0.485
386.491,0.485
387.214,0.487
387.942,0.485
388.286,0.485
389.070,0.483
389.616,0.483
390.239,0.479
390.876,0.483
392.579,0.479
393.306,0.475
393.855,0.467
395.260,0.459
396.242,0.459
398.232,0.459
401.349,0.459
407.056,0.467
407.836,0.467
408.371,0.465
408.859,0.469
409.246,0.469
410.762,0.464
411.253,0.464
411.931,0.466
412.521,0.469
416.613,0.472
427.774,0.476
428.314,0.485
428.753,0.485
433.671,0.485
438.888,0.485
458.838,0.486
459.466,0.486
460.539,0.483
463.216,0.474
464.289,0.474
465.020,0.473
466.089,0.474
467.896,0.469
468.724,0.474
469.572,0.469
472.671,0.469
473.503,0.469
474.286,0.469
475.255,0.469
475.999,0.469
476.817,0.469
477.548,0.470
480.716,0.471
485.591,0.471
487.838,0.475
