df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,acc_mag
14.744,1.010
14.774,1.010
14.804,1.004
14.834,1.015
14.864,1.015
14.894,1.011
14.924,1.011
14.954,1.012
14.984,1.013
15.014,1.013
15.044,1.012
15.074,1.013
15.104,1.009
15.134,1.014
15.164,1.011
15.194,1.006
15.224,1.010
15.254,1.010
15.284,1.010
15.314,1.008
15.344,1.013
15.374,1.008
15.404,1.007
15.434,1.016
15.464,1.010
15.494,1.012
15.524,1.013
15.554,1.002
15.584,1.012
15.614,1.014
15.644,1.010
15.674,1.004
15.704,1.007
15.734,1.014
15.764,1.008
15.794,1.028
15.824,1.017
15.854,1.007
15.884,1.014
15.914,1.017
15.944,1.009
15.974,1.018
16.004,1.013
16.034,1.005
16.064,1.006
16.094,1.008
16.124,1.005
16.154,1.010
16.184,1.008
16.214,1.017
16.244,1.017
16.274,1.009
16.304,1.015
16.334,1.003
16.364,1.008
16.394,1.013
16.424,1.010
16.454,1.015
16.484,1.012
16.514,1.019
16.544,1.007
16.574,1.009
16.604,1.008
16.634,1.018
16.664,1.018
16.694,1.006
16.724,1.005
16.754,1.012
16.784,1.020
16.814,1.013
16.844,1.015
16.874,1.015
16.904,1.011
16.934,1.011
16.964,1.010
16.994,1.012
17.024,1.015
17.054,1.009
17.084,1.015
17.114,1.011
17.144,1.004
17.174,1.005
17.204,1.006
17.234,1.011
17.264,1.020
17.294,1.004
17.324,1.005
17.354,1.007
17.384,1.008
17.414,1.012
17.444,1.015
17.474,1.011
17.504,1.011
17.534,1.011
17.564,1.020
17.594,1.010
17.624,1.013
17.654,1.012
17.684,1.011
17.714,1.021
17.744,1.011
17.774,1.006
17.804,1.014
17.834,1.017
17.864,1.009
17.894,1.015
17.924,1.015
17.954,1.010
17.984,1.008
18.014,1.015
18.044,1.015
18.074,1.011
18.104,1.010
18.134,1.009
18.164,1.015
18.194,1.014
18.224,1.005
18.254,1.011
18.284,1.027
18.314,1.006
18.344,1.015
18.374,1.005
18.404,1.005
18.434,1.018
18.464,1.019
18.494,1.009
18.524,1.014
18.554,1.012
18.584,0.997
18.614,1.020
18.644,1.013
18.674,1.006
18.704,1.012
18.734,1.009
18.764,1.011
18.794,1.013
18.824,1.015
18.854,1.010
18.884,1.013
18.914,1.010
18.944,1.011
18.974,1.014
19.004,1.009
19.034,1.009
19.064,1.012
19.094,1.018
19.124,1.017
19.154,1.000
19.184,1.008
19.214,1.013
19.244,1.009
19.274,1.008
19.304,1.016
19.334,1.013
19.364,1.011
19.394,1.007
19.424,1.014
19.454,1.015
19.484,1.014
19.514,1.008
19.544,1.008
19.574,1.007
19.604,1.017
19.634,1.014
19.664,1.010
19.694,1.012
19.724,1.010
19.754,1.013
19.784,1.011
19.814,1.010
19.844,1.014
19.874,1.012
19.904,1.012
19.934,1.012
19.964,1.014
19.994,1.010
20.024,1.016
20.054,1.012
20.084,1.013
20.114,1.007
20.144,1.014
20.174,1.026
20.204,1.012
20.234,1.019
20.264,1.007
20.294,1.013
20.324,1.010
20.354,1.014
20.384,1.012
20.414,1.010
20.444,1.002
20.474,1.006
20.504,1.015
20.534,1.014
20.564,1.010
20.594,1.008
20.624,1.016
20.654,1.013
20.684,1.011
20.714,1.015
20.744,1.011
20.774,1.012
20.804,1.014
20.834,1.012
20.864,1.010
20.894,1.013
20.924,1.009
20.954,1.010
20.984,1.013
21.014,1.009
21.044,1.009
21.074,1.012
21.104,1.008
21.134,1.013
21.164,1.014
21.194,1.008
21.224,1.009
21.254,1.008
21.284,1.015
21.314,1.010
21.344,1.004
21.374,1.014
21.404,1.016
21.434,1.016
21.464,1.009
21.494,1.012
21.524,1.013
21.554,1.019
21.584,1.022
21.614,1.003
21.644,1.004
21.674,1.009
21.704,1.019
21.734,1.015
21.764,1.013
21.794,1.018
21.824,1.015
21.854,1.008
21.884,1.011
21.914,1.006
21.944,1.014
21.974,1.013
22.004,1.012
22.034,1.005
22.064,1.019
22.094,1.026
22.124,1.000
22.154,1.018
22.184,1.009
22.214,1.007
22.244,1.015
22.274,1.013
22.304,1.016
22.334,1.013
22.364,1.006
22.394,1.005
22.424,1.016
22.454,1.015
22.484,1.010
22.514,1.009
22.544,1.012
22.574,1.013
22.604,1.012
22.634,1.011
22.664,1.011
22.694,1.013
22.724,1.014
22.754,1.010
22.784,1.011
22.814,1.015
22.844,1.014
22.874,1.013
22.904,1.010
22.934,1.015
22.964,1.015
22.994,1.011
23.024,1.013
23.054,1.014
23.084,1.000
23.114,1.017
23.144,1.016
23.174,1.005
23.204,1.016
23.234,1.014
23.264,1.015
23.294,1.013
23.324,1.007
23.354,1.012
23.384,1.018
23.414,1.023
23.444,1.010
23.474,1.007
23.504,1.014
23.534,1.017
23.564,1.013
23.594,1.015
23.624,1.012
23.654,1.013
23.684,1.010
23.714,1.010
23.744,1.012
23.774,1.010
23.804,1.014
23.834,1.010
23.864,1.009
23.894,1.011
23.924,1.011
23.954,1.012
23.984,1.012
24.014,1.011
24.044,1.013
24.074,1.024
24.104,1.008
