df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,battery
20.176,24
30.164,24
40.205,24
50.199,24
60.192,24
70.195,24
80.198,24
90.273,24
100.168,24
110.161,24
120.155,24
130.246,24
140.240,24
150.185,23
160.179,23
170.173,23
180.286,23
190.209,23
200.154,23
210.250,23
220.164,23
230.186,23
240.178,23
250.247,23
260.214,23
270.205,23
280.153,23
290.147,23
300.192,23
310.232,23
320.128,23
330.178,23
340.166,22
350.256,22
360.152,22
370.200,22
380.149,22
390.135,22
400.127,22
410.219,22
420.152,22
430.158,22
440.163,22
450.152,22
460.139,22
470.135,22
480.228,22
490.218,22
