df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,heart_rate
24.019,63
24.897,63
25.813,63
26.994,64
27.871,64
28.748,63
29.967,64
30.849,63
31.773,63
32.944,62
33.846,61
34.744,63
35.920,64
36.841,65
37.722,66
38.888,65
39.836,63
40.692,62
41.959,62
42.788,62
43.666,63
44.884,63
45.811,63
46.644,62
47.877,61
48.737,60
49.711,61
50.832,61
51.709,60
52.702,60
53.806,60
54.683,60
55.609,62
56.836,61
57.706,66
58.584,64
59.753,71
60.977,75
61.598,77
62.776,78
63.653,77
64.580,76
65.752,76
66.627,72
67.504,70
68.724,69
69.601,70
70.542,68
71.697,67
72.575,66
73.598,65
74.671,66
75.603,65
76.478,66
77.769,67
78.571,67
79.472,67
80.624,66
81.593,65
82.427,66
83.641,67
84.518,66
85.396,65
86.615,65
87.492,65
88.616,65
89.588,65
90.466,71
91.396,74
92.562,75
93.442,78
94.366,80
95.536,82
96.447,83
97.340,84
98.541,85
99.407,86
100.354,86
101.483,87
102.422,87
103.292,88
104.513,87
105.383,87
106.261,92
107.431,94
108.357,96
109.235,98
110.453,99
111.331,100
112.208,100
113.427,99
114.305,99
115.233,95
116.404,93
117.622,90
118.205,87
119.437,84
120.323,82
121.178,80
122.348,77
123.275,75
124.152,73
125.355,68
126.249,66
127.198,64
128.299,63
129.222,63
130.100,64
131.276,64
132.196,63
133.073,63
134.333,63
135.170,63
136.096,64
137.266,65
138.246,66
139.047,66
140.243,66
141.117,66
142.043,66
143.311,65
144.118,64
145.017,63
146.189,62
147.065,63
147.993,64
149.184,66
150.039,68
150.965,69
152.135,70
153.061,71
153.939,72
155.108,74
156.038,75
156.935,74
158.082,72
159.081,72
159.886,72
161.251,72
161.983,72
162.886,72
164.127,71
164.995,74
165.834,75
167.108,76
167.934,77
168.807,77
170.026,77
170.914,76
171.830,74
173.010,75
173.877,69
174.804,65
175.974,63
176.851,62
177.778,62
178.952,63
180.072,64
180.751,64
182.263,64
182.847,63
183.774,63
184.895,63
185.821,65
186.699,66
187.978,66
188.800,67
189.677,68
190.891,70
191.769,68
192.890,72
193.865,70
194.771,70
195.620,69
196.843,69
197.724,72
198.644,74
199.813,75
200.836,75
201.616,75
202.786,75
203.667,75
204.605,76
205.784,78
206.698,80
207.564,81
208.766,79
209.660,83
210.537,84
211.954,85
212.634,83
213.855,83
214.974,83
215.656,83
216.485,83
217.704,83
218.581,88
219.462,89
220.726,91
221.653,92
222.439,94
223.659,96
224.529,98
225.461,99
226.674,100
227.506,100
228.429,99
229.969,101
230.479,101
231.403,101
232.575,101
233.450,100
234.376,100
235.546,99
236.473,100
237.350,100
238.767,99
239.446,99
240.568,99
241.544,99
242.420,99
243.298,99
244.468,91
245.394,89
246.324,85
247.490,88
248.391,89
249.249,90
250.464,90
251.341,90
252.268,89
253.438,88
254.315,87
255.250,86
256.460,86
257.289,86
258.215,87
259.509,87
260.266,87
261.192,86
262.359,86
263.285,85
264.163,86
265.333,85
266.259,85
267.186,85
268.327,80
269.256,82
270.164,81
271.329,81
272.206,81
273.084,86
274.303,87
275.180,88
276.106,88
277.280,88
278.154,89
279.031,90
280.250,91
281.128,92
282.054,92
283.273,91
284.169,90
285.028,90
286.222,88
287.075,87
288.025,87
289.171,87
290.098,90
290.975,91
292.145,92
293.073,92
294.244,91
295.120,90
296.045,88
296.947,88
298.142,87
299.019,88
299.899,88
301.116,89
302.003,89
302.870,88
304.099,88
305.096,86
305.916,85
307.063,84
307.940,83
308.866,83
310.041,83
311.012,84
311.840,85
313.254,86
313.936,86
314.847,87
315.984,87
316.916,88
317.812,88
319.025,90
319.889,90
320.811,91
321.980,91
322.858,92
323.784,91
324.954,91
325.859,95
326.711,96
327.928,98
328.805,99
329.741,101
330.902,103
331.925,104
332.705,105
334.170,105
334.753,105
335.681,106
336.854,106
337.775,107
338.660,107
339.823,106
340.749,106
341.631,106
343.189,106
343.723,109
344.681,109
345.770,109
346.805,108
347.574,106
348.793,104
349.673,102
350.548,101
351.767,100
352.644,99
353.522,100
354.750,100
355.667,101
356.499,103
357.714,104
358.592,104
359.532,103
360.688,103
361.812,100
362.492,98
363.667,96
364.542,95
365.466,94
366.635,92
367.562,91
368.439,88
369.632,86
370.536,85
371.413,84
372.583,84
373.659,84
374.687,84
375.605,84
376.498,84
377.410,84
378.579,84
379.457,84
380.334,82
381.602,83
382.449,84
383.333,85
384.530,87
385.458,88
386.282,90
387.511,91
388.673,93
389.304,94
390.721,95
391.352,95
392.283,95
393.448,95
394.331,95
395.262,96
396.422,96
397.348,97
398.237,98
399.400,98
400.325,97
401.200,95
402.372,94
403.297,95
404.216,94
405.347,97
406.269,99
407.147,100
408.372,101
409.342,101
410.121,101
411.343,101
412.217,101
413.098,101
414.313,100
415.191,100
416.117,100
417.287,100
418.262,100
419.091,100
420.275,100
421.187,100
422.064,100
423.238,100
424.162,100
425.038,100
426.343,100
427.183,102
428.064,100
429.184,105
430.108,107
430.986,110
432.178,111
433.131,112
434.010,111
435.178,111
436.056,110
436.933,109
438.153,107
