df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,rr_int
20.607,4685
21.728,1025
22.557,1070
23.532,870
24.507,955
25.341,1010
26.457,825
27.436,1020
28.310,1040
29.236,815
30.211,1005
31.187,1045
32.259,990
33.142,1040
33.818,860
34.939,745
35.915,1040
36.744,940
37.718,870
38.842,1080
39.674,1005
40.790,945
41.641,1035
42.447,905
43.422,845
44.543,980
45.664,1090
46.493,1085
47.860,910
48.541,1025
49.272,970
49.809,695
50.491,615
50.783,690
51.222,255
51.762,405
52.441,635
53.416,660
54.391,1020
55.220,995
55.951,770
56.780,755
57.462,805
58.145,710
58.973,735
59.802,770
60.533,890
61.216,750
62.045,680
63.020,765
63.994,1045
64.823,1005
65.653,810
66.486,855
67.358,775
68.454,935
69.406,1075
70.137,945
71.112,755
72.087,970
73.063,995
73.891,920
74.720,865
75.548,900
76.523,750
77.645,1010
78.327,1055
79.308,820
80.277,865
81.155,1020
81.935,825
82.910,925
83.884,975
84.908,995
85.688,960
86.371,780
86.956,670
87.876,665
88.760,780
89.738,955
90.320,805
91.002,720
91.685,720
92.468,720
93.050,690
93.781,715
94.463,705
95.148,685
95.829,695
96.560,655
97.096,705
97.388,625
97.925,245
98.510,520
99.193,675
99.875,655
100.557,685
101.288,715
101.825,675
102.514,605
103.093,635
103.629,545
104.214,595
104.766,550
105.291,545
105.871,620
106.583,560
107.090,645
107.382,580
107.529,345
107.675,235
108.943,555
110.015,630
110.601,1140
111.136,560
111.819,620
112.550,630
113.281,735
113.915,705
114.646,685
115.329,730
116.159,770
116.986,740
117.815,855
118.647,880
119.375,785
120.352,755
121.328,975
122.154,915
123.128,840
124.104,1055
125.083,980
126.005,915
126.980,1035
127.857,910
128.784,855
129.661,1030
130.733,890
131.709,1060
132.538,970
133.512,835
134.501,995
135.317,930
136.295,830
137.168,995
137.997,930
139.073,855
139.801,1010
140.778,800
141.850,985
142.824,1020
143.847,980
144.773,1050
145.505,920
146.480,745
147.309,1020
148.146,800
149.112,870
149.795,900
150.813,715
151.456,985
152.285,775
153.159,765
153.841,800
154.524,740
155.645,765
156.474,1045
157.302,915
157.985,750
158.570,700
158.814,665
158.827,190
158.830,15
159.252,15
159.935,460
160.573,590
161.495,630
162.325,1010
163.157,825
163.835,760
164.524,790
165.351,740
166.079,725
167.052,810
167.735,905
168.564,750
169.295,760
170.221,780
171.196,930
172.317,995
173.296,1055
174.124,975
175.153,940
176.218,1015
177.095,1010
177.875,860
178.704,885
179.826,870
180.947,1100
181.775,1055
182.506,815
183.628,815
184.554,1060
185.236,945
186.212,770
187.187,960
187.918,910
188.746,750
189.575,875
190.257,795
190.940,650
191.920,700
192.910,1050
193.767,995
194.450,815
195.279,765
196.157,835
196.790,755
197.619,730
198.594,900
199.288,865
200.105,750
200.844,800
201.813,790
202.509,895
203.176,720
204.105,735
204.702,790
205.419,690
206.150,705
206.638,675
207.271,650
208.054,590
208.198,630
208.588,335
209.367,330
210.147,795
210.830,765
211.371,670
212.098,640
212.341,615
212.785,305
213.317,335
213.463,620
213.901,260
214.733,385
214.985,585
215.559,555
216.241,580
216.827,595
217.511,660
218.191,635
218.939,675
219.459,670
219.995,615
220.629,590
220.873,580
221.124,190
221.660,355
222.237,585
222.921,575
223.456,575
224.041,575
224.582,590
225.263,595
225.424,650
225.455,155
225.458,40
225.846,10
226.382,330
227.001,590
227.503,590
227.855,535
228.624,305
228.916,875
229.599,235
229.607,395
229.987,290
230.428,285
231.142,620
231.695,605
232.231,620
233.016,620
233.504,595
234.181,595
234.718,635
235.305,585
235.839,585
236.424,570
237.399,630
238.228,940
239.059,855
239.885,770
240.581,860
241.261,745
241.557,605
242.226,280
243.054,810
243.646,740
244.321,675
244.907,645
245.589,600
246.125,615
246.895,625
247.396,675
248.100,625
248.782,630
249.498,700
250.254,720
250.854,725
251.586,725
252.417,700
253.096,680
253.779,755
254.461,745
255.193,715
255.729,685
256.509,590
257.143,730
257.826,665
258.752,665
259.398,695
260.119,815
260.753,705
261.433,690
262.116,725
262.700,665
263.383,615
264.358,745
265.186,905
266.162,910
266.698,875
267.136,680
267.576,310
268.258,490
268.966,625
269.481,715
270.085,640
270.744,570
271.290,585
272.012,615
272.694,665
273.230,705
273.962,650
274.790,670
275.327,770
276.011,635
276.601,665
277.333,610
277.861,630
278.544,605
279.080,620
279.812,670
280.495,695
281.030,615
281.713,670
282.544,640
283.328,815
284.101,695
284.735,800
285.471,590
286.052,845
286.588,580
287.274,630
287.906,620
288.538,605
289.074,620
289.659,610
290.341,580
291.032,640
291.755,740
292.438,675
293.125,695
293.949,720
294.534,765
295.217,665
295.899,710
296.631,715
297.316,680
297.996,665
298.532,675
299.263,605
299.799,630
300.628,600
301.359,800
302.058,740
302.724,665
303.406,745
304.173,755
304.967,725
305.649,780
306.332,755
307.160,705
307.892,795
308.574,705
309.260,675
309.939,635
310.236,725
310.533,545
311.892,680
312.625,760
313.303,735
313.985,705
314.570,655
315.254,635
315.935,645
316.521,680
317.203,640
317.743,615
318.422,635
319.159,690
