df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,ppg_quality
67.829,107
69.849,110
70.859,113
72.879,116
74.899,117
76.919,115
78.939,111
81.969,112
83.989,112
86.009,109
88.029,107
90.049,107
91.059,107
93.079,94
94.089,87
95.099,82
97.119,73
99.139,64
100.149,63
101.159,59
102.169,61
103.179,62
106.209,61
108.229,64
110.249,79
112.269,79
113.279,81
114.289,85
115.299,91
117.319,107
119.339,107
120.349,103
121.359,104
122.369,110
123.379,114
125.399,116
126.409,116
128.429,112
129.439,111
130.449,110
132.469,106
134.489,103
135.499,104
136.509,107
137.519,109
139.539,112
141.559,111
143.579,110
145.599,110
146.609,110
147.619,109
148.629,112
150.649,115
152.669,118
154.689,120
155.699,119
157.719,118
159.739,108
160.749,101
161.759,98
163.779,98
165.799,97
167.819,97
169.839,102
172.869,118
174.889,117
175.899,116
176.909,116
177.919,114
179.939,110
180.949,109
181.959,108
182.969,109
183.979,112
185.999,115
188.019,117
190.039,116
191.049,117
192.059,115
193.069,114
195.089,106
197.109,104
199.129,104
201.149,103
202.159,102
204.179,104
206.199,104
207.209,103
208.219,101
210.239,88
211.249,83
212.259,80
213.269,75
214.279,74
217.309,69
219.329,78
221.349,90
223.369,91
225.389,87
227.409,79
228.419,71
230.439,71
232.459,63
233.469,61
234.479,64
235.489,65
236.499,68
238.519,80
239.529,78
241.549,80
243.569,91
245.589,87
247.609,85
248.619,86
249.629,83
250.639,86
252.659,87
254.679,90
256.699,86
258.719,88
259.729,91
260.739,89
261.749,91
263.769,91
265.789,95
266.799,96
267.809,90
270.839,56
271.849,51
272.859,48
273.869,47
274.879,45
276.899,47
278.919,59
279.929,72
280.939,81
282.959,88
283.969,89
285.989,90
288.009,64
290.029,50
292.049,51
294.069,47
297.099,57
298.109,74
299.119,90
301.139,96
303.159,97
304.169,99
305.179,98
307.199,99
308.209,96
310.229,93
311.239,94
312.249,91
314.269,76
315.279,72
317.299,69
318.309,70
319.319,67
321.339,66
323.359,74
325.379,76
327.399,73
329.419,63
330.429,58
332.449,54
334.469,60
336.489,63
337.499,67
338.509,70
341.539,82
342.549,80
343.559,79
345.579,78
347.599,77
349.619,81
350.629,82
352.649,81
354.669,85
356.689,90
358.709,89
359.719,87
361.739,87
362.749,89
363.759,87
364.769,88
365.779,87
367.799,85
369.819,89
370.829,91
371.839,93
373.859,97
374.869,98
375.879,101
376.889,102
378.909,100
380.929,102
382.949,103
383.959,100
384.969,97
385.979,95
386.989,92
387.999,93
390.019,91
392.039,85
393.049,86
394.059,88
396.079,89
397.079,90
399.099,92
401.119,93
403.139,94
405.159,91
407.179,83
408.189,81
410.209,78
412.229,75
414.249,74
416.269,82
417.279,77
418.289,73
419.299,66
421.319,62
423.339,71
424.349,59
425.359,48
427.379,34
428.389,30
430.409,55
431.419,47
432.429,42
434.449,55
436.469,68
438.489,80
439.499,75
440.509,61
442.529,61
443.539,59
445.559,65
447.579,78
449.599,96
451.619,109
454.649,115
456.669,117
458.689,115
459.699,114
460.709,115
462.729,116
465.759,113
467.779,114
469.799,114
470.809,112
471.819,112
472.829,111
473.839,110
474.849,109
476.869,109
477.879,108
478.889,108
480.909,103
482.929,94
484.949,87
485.959,85
486.969,78
487.979,70
488.989,62
489.999,60
492.019,68
