df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,temperature
395.409,34.938
396.248,34.906
397.251,34.938
398.555,34.938
399.250,34.938
400.225,34.969
401.249,34.969
402.224,35.000
403.247,35.000
404.228,35.000
405.246,35.031
406.221,35.031
407.248,35.031
408.220,35.062
409.362,35.062
410.223,35.062
411.255,35.094
412.461,35.094
413.245,35.094
414.219,35.062
415.241,35.125
416.264,35.125
417.239,35.125
418.460,35.094
419.237,35.094
420.261,35.125
421.236,35.125
422.260,35.125
423.234,35.125
424.259,35.125
425.305,35.125
426.364,35.250
427.233,35.219
428.256,35.219
429.244,35.250
430.255,35.250
431.230,35.250
432.259,35.250
433.229,35.219
434.252,35.250
435.473,35.219
436.251,35.125
437.258,35.188
438.249,35.188
439.302,35.156
440.249,35.188
441.246,35.156
442.296,35.125
443.222,35.156
444.251,35.156
445.221,35.188
446.245,35.156
447.220,35.125
448.251,35.125
449.219,35.125
450.342,35.125
451.222,35.125
452.266,35.125
453.216,35.094
454.299,35.094
455.264,35.062
456.239,35.062
457.214,35.031
458.237,35.094
459.215,35.094
460.382,35.062
461.211,35.062
462.235,35.094
463.554,35.156
464.293,35.125
465.306,35.156
466.233,35.156
467.267,35.094
468.257,35.062
469.255,35.062
470.230,35.125
471.283,35.094
472.229,35.062
473.252,35.094
474.598,35.125
475.256,35.125
476.226,35.094
477.250,35.188
478.226,35.156
479.248,35.156
480.232,35.156
481.296,35.156
482.346,35.156
483.246,35.094
484.221,35.062
485.245,35.062
486.512,35.062
487.293,35.094
488.219,35.094
489.243,35.094
490.222,35.062
491.241,35.094
