df_hash,22ZHK4.QHHSTC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V73B
person_label,V54
date_time_start,2025-10-31_14-24-46.756000_+03
date_time_start_unix,1761906286.756
date_time_end,2025-10-31_14-33-03.437000_+03
length_difference_noticed,no

time,quality
24.022,69
24.902,67
25.826,75
26.997,75
27.874,77
28.753,74
29.971,77
30.897,75
31.869,72
33.136,73
33.867,75
34.747,51
36.064,58
36.844,65
38.013,66
38.891,62
39.841,75
40.697,76
41.963,78
42.792,79
43.715,76
44.887,75
45.816,64
46.739,57
48.300,70
48.982,80
49.761,59
50.835,43
51.758,32
52.931,28
53.810,30
54.686,24
55.613,41
57.075,34
57.709,40
58.587,26
59.756,53
60.989,76
61.601,69
62.779,72
63.657,56
64.583,33
65.801,28
66.632,45
67.507,51
68.728,53
69.606,43
70.725,48
71.702,56
72.580,56
73.602,63
74.676,69
75.646,72
76.484,66
77.774,76
78.576,60
79.792,60
80.965,62
81.596,64
82.717,68
83.645,73
84.524,72
85.401,77
86.618,69
87.512,45
88.619,41
89.592,41
90.469,46
91.398,45
92.565,52
93.491,43
94.370,59
95.540,72
96.459,70
97.343,71
98.902,72
99.410,78
100.359,79
101.487,79
102.507,72
103.388,62
104.752,45
105.399,35
106.310,56
107.437,63
108.360,61
109.238,59
110.460,56
111.334,60
112.263,60
113.431,47
114.308,34
115.280,47
116.648,59
117.625,72
118.211,54
119.524,59
120.326,73
121.181,75
122.353,65
123.291,65
124.155,56
125.367,72
126.260,73
127.273,74
128.738,72
129.225,74
130.106,74
131.614,74
132.201,74
133.077,79
134.489,77
135.173,80
136.100,78
137.270,82
138.291,80
139.050,80
140.289,79
141.120,78
142.047,74
143.314,67
144.121,67
145.066,71
146.237,68
147.075,59
148.137,58
149.261,62
150.043,72
150.968,66
152.139,68
153.112,66
153.987,69
155.112,63
156.184,56
156.938,46
158.086,49
159.158,39
159.889,21
161.257,24
161.987,36
163.152,26
164.130,34
165.154,40
165.837,57
167.201,69
168.079,72
168.811,69
170.029,72
171.004,70
171.833,51
173.198,30
173.927,57
174.807,74
175.977,81
176.856,80
177.785,79
179.002,75
180.169,72
180.755,70
182.266,61
182.851,63
183.824,57
184.898,54
185.825,62
186.702,65
188.164,66
188.944,60
189.773,70
190.895,57
191.772,45
192.895,48
193.870,39
194.843,30
195.624,44
197.134,42
197.765,54
198.647,75
199.816,72
200.839,73
201.619,73
202.792,77
204.006,71
204.689,73
205.812,62
206.933,58
207.568,58
208.811,46
209.663,60
210.586,51
211.957,47
212.637,36
213.860,25
214.977,26
215.659,27
216.489,30
217.707,29
218.584,48
219.705,47
220.730,65
221.656,55
222.679,51
223.752,59
224.577,78
225.555,69
226.679,67
227.844,67
228.477,48
229.978,48
230.772,49
231.454,48
233.011,48
233.499,56
234.382,72
235.550,75
236.476,75
237.358,67
238.772,34
239.462,33
240.574,4
241.551,58
242.424,78
243.301,77
244.473,65
245.397,39
246.615,32
247.494,45
248.396,75
249.489,76
250.467,70
251.345,66
252.272,68
253.441,82
254.319,88
255.347,83
256.467,69
257.294,64
258.219,63
259.880,74
260.509,57
261.287,70
262.363,74
263.289,69
264.176,65
265.345,52
266.262,29
267.189,34
268.553,53
269.266,34
270.178,27
271.332,23
272.210,18
273.087,57
274.306,55
275.184,47
276.110,65
277.328,69
278.157,62
279.037,57
280.254,64
281.132,70
282.057,68
283.277,59
284.248,57
285.031,45
286.237,48
287.078,49
288.030,37
289.177,39
290.103,42
290.979,66
292.149,66
293.120,58
294.247,53
295.125,71
296.049,81
297.169,78
298.145,69
299.023,70
300.141,68
301.119,61
302.051,51
302.919,45
304.138,57
305.109,70
306.091,77
307.066,78
307.944,84
308.870,79
310.137,68
311.015,52
311.843,53
313.258,60
313.940,57
315.112,60
315.987,63
317.059,68
318.083,76
319.153,82
320.033,84
320.814,82
321.984,67
322.861,51
323.788,32
324.958,38
325.865,46
326.904,56
327.977,71
328.816,60
329.832,57
330.905,74
331.929,75
332.709,74
334.182,82
334.758,85
335.689,77
336.949,83
337.779,81
338.753,76
339.826,71
340.798,72
341.675,44
343.193,43
343.726,58
344.896,54
345.773,55
346.940,60
347.579,69
348.797,65
349.722,73
350.551,73
351.770,72
352.649,76
353.529,71
354.890,64
355.670,56
356.742,74
357.717,81
358.595,71
359.576,35
360.692,39
361.816,53
362.495,74
363.762,73
364.734,76
365.474,74
366.687,62
367.566,68
368.443,50
369.637,72
370.540,72
371.417,64
372.587,60
373.662,77
374.698,78
375.703,77
376.583,68
377.656,67
378.584,42
379.460,42
380.341,53
381.605,40
382.675,43
383.506,70
384.624,79
385.702,85
386.285,84
387.556,82
388.677,83
389.308,81
390.727,74
391.355,71
392.427,76
393.453,78
394.472,74
395.398,78
396.426,79
397.352,78
398.521,74
399.493,70
400.475,39
401.203,48
402.418,54
403.396,33
404.222,29
405.589,59
406.273,77
407.150,71
408.515,71
409.357,73
410.124,74
411.440,73
412.220,70
413.240,68
414.316,66
415.194,55
416.121,56
417.291,41
418.272,25
419.094,0
420.361,0
421.190,0
422.068,0
423.288,0
424.170,0
425.043,26
426.355,25
427.187,21
428.067,0
429.231,27
430.114,29
430.989,35
432.254,39
433.134,42
434.016,29
435.182,33
436.060,66
436.936,47
438.166,43
439.239,44
