df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,ppg_quality
58.255,102
59.265,102
60.275,103
62.295,103
65.325,89
67.345,77
69.365,72
71.385,72
73.405,71
75.425,82
76.435,91
78.455,97
79.465,98
80.475,96
82.495,94
84.515,94
86.535,95
88.555,95
90.575,97
91.585,96
93.605,98
94.615,98
95.625,98
97.645,98
99.665,97
101.685,97
103.705,96
104.715,96
106.735,97
108.755,98
109.765,96
110.775,98
112.795,99
114.815,99
115.825,96
116.835,99
118.855,98
119.865,98
121.885,99
123.905,96
124.915,92
125.925,93
127.945,92
129.965,93
131.985,94
135.015,102
136.025,102
137.035,105
139.055,104
141.075,102
142.085,100
143.095,101
145.115,101
147.135,100
148.145,103
150.165,105
152.185,105
154.205,103
156.225,102
158.245,102
159.255,105
160.265,103
161.275,105
163.295,104
165.315,101
166.325,99
167.335,97
169.355,94
171.375,91
173.395,90
174.405,90
175.415,91
176.425,90
178.445,91
180.465,94
182.485,96
184.505,98
186.525,100
188.545,99
191.575,99
193.595,99
195.615,96
197.635,95
199.655,93
201.675,92
202.685,91
204.705,90
206.725,88
208.745,86
210.765,83
212.785,80
214.805,78
215.815,78
217.835,79
219.855,82
221.875,88
223.895,94
225.915,97
227.935,99
228.945,101
230.965,103
232.985,101
235.005,103
237.025,105
239.045,106
241.065,104
243.085,105
244.095,105
246.115,105
