df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,temperature
5.120,36.125
6.141,36.094
7.116,36.125
8.139,36.156
9.117,36.188
10.142,36.250
11.113,36.219
12.137,36.344
13.112,36.375
14.136,36.406
15.110,36.438
16.134,36.531
17.117,36.562
18.133,36.562
19.108,36.594
20.131,36.562
21.107,36.625
22.130,36.594
23.106,36.625
24.134,36.625
25.104,36.625
26.130,36.625
27.103,36.625
28.144,36.656
29.106,36.656
30.125,36.688
31.100,36.719
32.124,36.719
33.440,36.750
34.123,36.750
35.098,36.750
36.121,36.781
37.294,36.781
38.120,36.844
39.095,36.812
40.119,36.844
41.094,36.844
42.118,36.812
43.093,36.844
44.117,36.844
45.091,36.844
46.164,36.844
47.141,36.844
48.114,36.812
49.089,36.875
50.262,36.875
51.185,36.844
52.111,36.875
53.135,36.781
54.117,36.875
55.133,36.906
56.352,36.938
57.137,36.969
58.107,36.969
59.131,36.969
60.106,36.969
61.129,37.125
62.105,37.094
63.128,37.188
64.152,37.125
65.127,37.125
66.199,37.094
67.226,37.062
68.101,37.094
69.125,37.125
70.099,37.125
71.125,37.062
72.098,37.094
73.142,37.094
74.097,37.094
75.161,37.094
76.097,37.125
77.120,37.125
78.196,37.125
79.118,37.125
80.093,37.125
81.117,37.125
82.238,37.094
83.116,37.094
84.091,37.125
85.114,37.125
86.089,37.125
87.162,37.125
88.090,37.156
89.313,37.156
90.087,37.125
91.159,37.125
92.182,37.156
93.109,37.188
94.084,37.188
95.112,37.188
96.280,37.188
97.155,37.188
98.165,37.188
99.105,37.188
100.136,37.250
101.250,37.312
102.133,37.312
103.200,37.312
104.127,37.344
105.102,37.344
106.158,37.281
107.105,37.281
108.124,37.281
109.103,37.312
110.123,37.312
111.198,37.250
112.122,37.250
113.102,37.250
114.123,37.219
115.393,37.250
116.219,37.312
117.116,37.312
118.118,37.344
119.105,37.312
120.116,37.312
121.094,37.312
122.166,37.344
123.333,37.312
124.114,37.344
125.088,37.312
126.113,37.312
127.088,37.281
128.331,37.281
129.086,37.312
130.116,37.281
131.106,37.281
132.109,37.281
133.084,37.281
134.108,37.281
135.083,37.281
136.106,37.281
137.081,37.312
138.105,37.344
139.080,37.344
140.104,37.312
141.079,37.344
142.349,37.375
143.078,37.375
144.101,37.375
145.078,37.375
146.157,37.344
147.419,37.344
148.147,37.312
149.148,37.312
150.098,37.344
151.121,37.375
152.193,37.344
153.127,37.375
154.095,37.375
155.119,37.406
156.134,37.438
157.118,37.562
158.092,37.594
159.117,37.594
160.092,37.625
161.362,37.625
162.090,37.656
163.115,37.625
164.089,37.656
165.118,37.688
166.187,37.688
167.112,37.562
168.086,37.562
169.112,37.594
170.085,37.531
171.109,37.531
172.085,37.500
173.108,37.500
174.082,37.500
175.133,37.438
176.081,37.500
177.105,37.500
178.395,37.500
179.104,37.469
180.079,37.531
181.103,37.531
182.174,37.500
183.105,37.531
184.076,37.562
185.100,37.594
186.075,37.594
187.102,37.531
188.074,37.562
189.295,37.562
190.095,37.562
191.391,37.531
192.140,37.562
193.152,37.562
194.070,37.531
195.110,37.500
196.094,37.469
197.141,37.469
198.116,37.438
199.091,37.500
200.115,37.500
201.091,37.469
202.114,37.469
203.141,37.500
204.112,37.469
205.087,37.469
206.116,37.531
207.086,37.531
208.137,37.562
209.085,37.562
210.109,37.562
211.084,37.594
212.107,37.562
213.082,37.562
214.166,37.562
215.100,37.594
216.105,37.594
217.180,37.594
218.104,37.594
219.079,37.562
220.102,37.562
221.226,37.562
222.101,37.562
223.083,37.594
224.100,37.594
225.126,37.562
226.109,37.594
227.074,37.625
228.097,37.625
229.192,37.625
230.096,37.625
231.077,37.625
232.104,37.625
233.070,37.625
234.098,37.625
235.069,37.625
236.092,37.594
237.124,37.594
238.140,37.562
239.114,37.688
240.090,37.750
241.065,37.719
242.097,37.719
243.064,37.719
244.092,37.719
245.111,37.719
