df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,ppg_med
5.165,792
5.190,910
5.215,1098
5.240,1199
5.265,1156
5.290,1113
5.315,1221
5.340,1421
5.365,1495
5.390,1369
5.415,1236
5.440,1303
5.465,1489
5.490,1498
5.515,1231
5.540,948
5.565,932
5.590,1070
5.615,969
5.640,494
5.665,0
5.690,-140
5.715,-74
5.740,-323
5.765,-1059
5.790,-1814
5.815,-2096
5.840,-2101
5.865,-2505
5.890,-3526
5.915,-4556
5.940,-4959
5.965,-4987
5.990,-5505
6.015,-6787
6.040,-8054
6.065,-8493
6.090,-8426
6.115,-8949
6.140,-10406
6.165,-11807
6.190,-12128
6.215,-11778
6.240,-12130
6.265,-13613
6.290,-14986
6.315,-14967
6.340,-14069
6.365,-14011
6.390,-15326
6.415,-16468
6.440,-15838
6.465,-14080
6.490,-13338
6.515,-14283
6.540,-14988
6.565,-13463
6.590,-10510
6.615,-8817
6.640,-9231
6.665,-9347
6.690,-6660
6.715,-2179
6.740,698
6.765,882
6.790,1411
6.815,5480
6.840,11814
6.865,16042
6.890,16712
6.915,17747
6.940,23347
6.965,31880
6.990,32767
7.015,32767
7.040,32767
7.065,32767
7.090,32767
7.115,32767
7.140,32767
7.165,32767
7.190,32767
7.215,32767
7.240,32767
7.265,32767
7.290,32767
7.315,32767
7.340,32767
7.365,32767
7.390,32767
7.415,17321
7.440,-32768
7.465,-32768
7.490,-32768
7.515,-32768
7.540,-32768
7.565,-32768
7.590,-32768
7.615,-32768
7.640,-32768
7.665,-32768
7.690,-32768
7.715,-32768
7.740,-32768
7.765,-32768
7.790,-32768
7.815,-32768
7.840,-32768
7.865,-32768
7.890,-28282
7.915,-20784
7.940,-17997
7.965,-17606
7.990,-14709
8.015,-8468
8.040,-2711
8.065,-334
8.090,466
8.115,3335
8.140,8657
8.165,13218
8.190,14713
8.215,14722
8.240,16286
8.265,19700
8.290,22259
8.315,22082
8.340,20702
8.365,21065
8.390,23817
8.415,26763
8.440,27876
8.465,27651
8.490,27877
8.515,28898
8.540,29182
8.565,27604
8.590,25138
8.615,23680
8.640,23687
8.665,23776
8.690,22614
8.715,20453
8.740,18380
8.765,16582
8.790,14084
8.815,10226
8.840,5731
8.865,1898
8.890,-979
8.915,-3853
8.940,-7562
8.965,-11701
8.990,-15065
9.015,-16948
9.040,-17586
9.065,-17403
9.090,-16311
9.115,-14057
9.140,-11054
9.165,-8418
9.190,-7043
9.215,-6863
9.240,-7204
9.265,-7741
9.290,-8818
9.315,-10759
9.340,-13048
9.365,-14426
9.390,-13850
9.415,-11325
9.440,-7823
9.465,-4498
9.490,-1975
9.515,-240
9.540,1022
9.565,2078
9.590,3017
9.615,3818
9.640,4446
9.665,4902
9.690,5226
9.715,5465
9.740,5640
9.765,5734
9.790,5724
9.815,5610
9.840,5420
9.865,5183
9.890,4914
9.915,4614
9.940,4282
9.965,3921
9.990,3508
10.015,3017
10.040,2629
10.065,2527
10.090,2733
10.115,3070
10.140,3299
10.165,3305
10.190,3147
10.215,2953
10.240,2784
10.265,2606
10.290,2362
10.315,2059
10.340,1756
10.365,1504
10.390,1296
10.415,1092
10.440,870
10.465,642
10.490,426
10.515,206
10.540,-45
10.565,-329
10.590,-598
10.615,-814
10.640,-999
10.665,-1210
10.690,-1450
10.715,-1601
10.740,-1499
10.765,-1085
10.790,-503
10.815,-7
10.840,239
10.865,279
10.890,288
10.915,378
10.940,502
10.965,542
10.990,461
11.015,349
11.040,322
11.065,386
11.090,446
11.115,413
11.140,301
11.165,178
11.190,75
11.215,-46
11.240,-216
11.265,-397
11.290,-522
11.315,-600
11.340,-720
11.365,-926
11.390,-1105
11.415,-1048
11.440,-644
11.465,-22
11.490,539
11.515,846
11.540,922
11.565,925
11.590,963
11.615,1001
11.640,960
11.665,843
11.690,739
11.715,716
11.740,743
11.765,732
11.790,643
11.815,511
11.840,379
11.865,238
11.890,58
11.915,-147
11.940,-329
11.965,-474
11.990,-634
12.015,-842
12.040,-1014
12.065,-965
12.090,-590
12.115,3
12.140,553
12.165,857
12.190,930
12.215,934
12.240,985
12.265,1048
12.290,1026
12.315,902
12.340,776
12.365,740
12.390,775
12.415,785
12.440,707
12.465,569
12.490,430
12.515,294
12.540,125
12.565,-77
12.590,-261
12.615,-395
12.640,-532
12.665,-735
12.690,-955
12.715,-1003
12.740,-711
12.765,-123
12.790,503
12.815,904
12.840,1026
12.865,1024
12.890,1060
12.915,1141
12.940,1158
12.965,1053
12.990,903
13.015,823
13.040,835
13.065,851
13.090,792
13.115,664
13.140,525
13.165,391
13.190,223
13.215,11
13.240,-193
13.265,-338
13.290,-461
13.315,-650
13.340,-909
13.365,-1076
13.390,-947
13.415,-479
13.440,136
13.465,628
13.490,863
13.515,917
13.540,932
13.565,964
13.590,964
13.615,889
13.640,775
13.665,697
13.690,680
13.715,682
13.740,649
13.765,567
13.790,445
13.815,288
13.840,104
13.865,-77
13.890,-226
13.915,-363
13.940,-547
13.965,-779
13.990,-930
14.015,-818
14.040,-381
14.065,218
