df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,acc_mag
4.540,0.958
4.570,0.988
4.600,1.029
4.630,1.039
4.660,1.024
4.690,1.006
4.720,1.004
4.750,1.049
4.780,1.031
4.810,0.970
4.840,0.996
4.870,1.006
4.900,1.036
4.930,1.030
4.960,1.021
4.990,1.017
5.020,1.017
5.050,1.012
5.080,1.016
5.110,1.009
5.140,1.000
5.170,1.011
5.200,1.008
5.230,1.008
5.260,1.004
5.290,0.997
5.320,1.005
5.350,1.011
5.380,1.009
5.410,1.023
5.440,1.021
5.470,1.024
5.500,1.016
5.530,1.024
5.560,0.997
5.590,1.009
5.620,1.005
5.650,1.011
5.680,1.013
5.710,1.003
5.740,1.030
5.770,1.001
5.800,1.015
5.830,1.021
5.860,1.041
5.890,1.010
5.920,1.011
5.950,1.001
5.980,0.987
6.010,0.994
6.040,1.033
6.070,0.995
6.100,1.040
6.130,0.995
6.160,1.023
6.190,1.009
6.220,1.047
6.250,0.951
6.280,1.021
6.310,1.040
6.340,1.006
6.370,1.006
6.400,1.000
6.430,1.020
6.460,1.034
6.490,1.003
6.520,1.010
6.550,1.004
6.580,0.988
6.610,0.999
6.640,0.984
6.670,1.032
6.700,1.000
6.730,0.992
6.760,0.996
6.790,1.005
6.820,1.004
6.850,1.019
6.880,1.006
6.910,0.992
6.940,0.998
6.970,1.015
7.000,1.025
7.030,1.005
7.060,1.014
7.090,1.015
7.120,1.009
7.150,1.012
7.180,1.017
7.210,1.012
7.240,1.014
7.270,1.008
7.300,1.007
7.330,1.016
7.360,1.010
7.390,1.015
7.420,1.013
7.450,0.998
7.480,1.009
7.510,1.013
7.540,1.016
7.570,1.010
7.600,1.007
7.630,1.010
7.660,1.006
7.690,1.018
7.720,1.014
7.750,1.013
7.780,1.008
7.810,1.006
7.840,1.014
7.870,1.007
7.900,1.014
7.930,1.007
7.960,1.011
7.990,1.010
8.020,1.016
8.050,1.017
8.080,1.015
8.110,1.019
8.140,1.008
8.170,1.004
8.200,1.019
8.230,1.020
8.260,1.013
8.290,1.016
8.320,1.002
8.350,1.007
8.380,0.998
8.410,1.019
8.440,1.011
8.470,1.015
8.500,1.030
8.530,1.006
8.560,0.995
8.590,1.001
8.620,1.024
8.650,1.005
8.680,1.001
8.710,1.020
8.740,1.003
8.770,1.011
8.800,1.000
8.830,1.019
8.860,1.019
8.890,1.006
8.920,1.007
8.950,1.018
8.980,1.000
9.010,1.017
9.040,1.011
9.070,1.012
9.100,1.013
9.130,1.004
9.160,1.014
9.190,1.015
9.220,1.011
9.250,1.011
9.280,1.017
9.310,1.012
9.340,1.015
9.370,1.014
9.400,1.009
9.430,1.009
9.460,1.001
9.490,1.002
9.520,1.003
9.550,1.016
9.580,1.017
9.610,1.006
9.640,1.006
9.670,1.004
9.700,1.008
9.730,1.022
9.760,1.011
9.790,1.010
9.820,1.009
9.850,1.006
9.880,1.006
9.910,1.012
9.940,1.014
9.970,1.014
10.000,1.013
10.030,1.012
10.060,1.011
10.090,1.015
10.120,1.009
10.150,1.015
10.180,1.011
10.210,1.012
10.240,1.010
10.270,1.017
10.300,1.013
10.330,1.012
10.360,1.012
10.390,1.009
10.420,1.010
10.450,1.016
10.480,1.010
10.510,1.010
10.540,1.007
10.570,1.009
10.600,1.014
10.630,1.014
10.660,1.009
10.690,1.010
10.720,1.007
10.750,1.013
10.780,1.008
10.810,1.018
10.840,1.016
10.870,1.008
10.900,1.015
10.930,1.012
10.960,1.013
10.990,1.015
11.020,1.012
11.050,1.014
11.080,1.007
11.110,1.014
11.140,1.013
11.170,1.013
11.200,1.013
11.230,1.011
11.260,1.008
11.290,1.011
11.320,1.012
11.350,1.009
11.380,1.015
11.410,1.013
11.440,1.015
11.470,1.013
11.500,1.012
11.530,1.010
11.560,1.009
11.590,1.013
11.620,1.009
11.650,1.015
11.680,1.019
11.710,1.008
11.740,1.008
11.770,1.007
11.800,1.010
11.830,1.016
11.860,1.013
11.890,1.011
11.920,1.015
11.950,1.009
11.980,1.009
12.010,1.019
12.040,1.009
12.070,1.010
12.100,1.008
12.130,1.012
12.160,1.009
12.190,1.012
12.220,1.014
12.250,1.014
12.280,1.017
12.310,1.007
12.340,1.010
12.370,1.009
12.400,1.014
12.430,1.015
12.460,1.012
12.490,1.012
12.520,1.009
12.550,1.012
12.580,1.019
12.610,1.013
12.640,1.012
12.670,1.014
12.700,1.009
12.730,1.012
12.760,1.020
12.790,1.014
12.820,1.013
12.850,1.015
12.880,1.016
12.910,1.005
12.940,1.013
12.970,1.021
13.000,1.011
13.030,1.013
13.060,1.013
13.090,1.007
13.120,1.013
13.150,1.014
13.180,1.013
13.210,1.010
13.240,1.013
13.270,1.010
13.300,1.019
13.330,1.011
13.360,1.017
13.390,1.018
13.420,1.017
13.450,1.013
13.480,1.014
13.510,1.011
13.540,1.014
13.570,1.013
13.600,1.016
13.630,1.009
13.660,1.009
13.690,1.015
13.720,1.015
13.750,1.013
13.780,1.011
13.810,1.012
13.840,1.015
13.870,1.011
13.900,1.012
