df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,omega
23.062,0.619
23.502,0.620
24.133,0.619
24.814,0.619
25.305,0.612
26.036,0.605
26.615,0.605
27.352,0.605
27.840,0.602
28.523,0.599
29.105,0.599
29.840,0.599
30.326,0.599
31.012,0.599
31.690,0.597
33.105,0.599
33.933,0.599
34.567,0.599
35.249,0.602
35.883,0.602
36.422,0.602
37.787,0.602
38.189,0.605
38.954,0.607
39.588,0.609
40.267,0.611
40.763,0.613
41.406,0.613
42.077,0.614
42.659,0.614
43.488,0.614
44.116,0.614
44.609,0.614
45.389,0.614
46.127,0.615
46.560,0.614
47.434,0.615
47.827,0.615
48.607,0.615
49.240,0.616
49.971,0.620
50.705,0.620
51.287,0.620
52.070,0.620
52.896,0.620
53.381,0.620
54.116,0.620
55.042,0.623
55.432,0.626
56.065,0.631
56.651,0.631
57.136,0.635
57.918,0.635
58.646,0.635
59.332,0.637
60.065,0.637
61.089,0.637
61.825,0.637
62.259,0.635
62.549,0.632
67.135,0.636
67.716,0.632
68.353,0.636
69.037,0.632
69.715,0.630
70.347,0.630
71.078,0.632
71.675,0.630
72.351,0.629
73.056,0.628
73.761,0.628
74.206,0.626
74.884,0.626
75.615,0.622
76.316,0.618
76.888,0.618
77.561,0.617
78.444,0.614
78.783,0.614
79.566,0.617
80.194,0.615
80.976,0.617
81.655,0.615
82.000,0.613
82.780,0.615
83.464,0.615
83.946,0.614
84.580,0.614
85.170,0.614
85.754,0.615
86.438,0.615
87.019,0.615
87.755,0.616
88.241,0.617
88.922,0.619
89.605,0.620
90.288,0.623
90.872,0.624
91.750,0.625
92.392,0.625
92.922,0.625
93.603,0.626
94.185,0.629
94.772,0.631
95.456,0.629
96.144,0.627
96.787,0.629
97.513,0.629
98.163,0.629
98.676,0.629
99.354,0.629
100.088,0.629
100.720,0.629
101.386,0.627
102.132,0.628
102.637,0.630
103.261,0.630
103.983,0.629
104.717,0.629
105.400,0.629
106.080,0.630
106.566,0.629
107.252,0.629
107.938,0.629
108.670,0.629
109.348,0.630
109.849,0.629
110.521,0.629
111.150,0.630
111.689,0.630
112.517,0.630
113.101,0.630
113.782,0.629
114.321,0.629
115.054,0.628
115.834,0.628
116.294,0.627
116.959,0.627
117.687,0.626
118.320,0.624
118.998,0.623
119.494,0.623
120.172,0.623
120.854,0.622
121.437,0.620
122.165,0.620
124.464,0.620
126.313,0.619
127.044,0.618
127.532,0.618
128.117,0.618
128.847,0.617
129.430,0.616
130.115,0.616
130.752,0.614
131.680,0.614
134.510,0.614
135.188,0.612
135.898,0.612
136.648,0.612
137.330,0.612
137.818,0.612
138.515,0.611
139.183,0.610
139.919,0.607
140.601,0.604
141.377,0.602
142.176,0.599
143.473,0.599
144.207,0.599
144.985,0.599
145.617,0.599
146.154,0.600
146.837,0.600
147.519,0.600
148.213,0.601
148.936,0.607
149.615,0.613
150.299,0.618
150.983,0.620
151.618,0.624
152.543,0.624
153.126,0.626
153.660,0.626
154.344,0.626
155.027,0.627
155.709,0.627
156.392,0.627
157.074,0.627
157.854,0.627
158.436,0.626
159.116,0.626
159.999,0.625
160.438,0.625
161.135,0.625
161.706,0.625
162.487,0.624
163.114,0.623
166.481,0.623
167.111,0.623
167.601,0.623
168.240,0.623
168.877,0.621
169.567,0.621
170.189,0.619
170.822,0.619
171.504,0.618
172.040,0.617
172.671,0.617
173.308,0.616
173.816,0.614
174.478,0.614
175.158,0.612
175.957,0.612
176.674,0.613
177.410,0.613
178.137,0.614
178.869,0.614
179.551,0.613
180.190,0.612
181.013,0.612
181.699,0.612
182.307,0.612
183.104,0.612
183.887,0.612
185.739,0.612
187.007,0.613
187.635,0.613
188.470,0.613
189.152,0.613
189.982,0.613
190.562,0.613
191.152,0.613
191.835,0.610
192.368,0.607
193.149,0.605
194.030,0.603
194.321,0.603
195.050,0.602
195.830,0.603
196.513,0.602
197.249,0.602
197.927,0.602
198.619,0.601
199.445,0.600
200.072,0.598
200.805,0.597
201.538,0.598
203.338,0.600
203.972,0.600
205.315,0.600
205.874,0.598
207.235,0.600
208.506,0.600
209.189,0.600
210.553,0.600
210.992,0.598
211.674,0.595
212.310,0.595
212.942,0.593
213.480,0.592
214.062,0.591
214.989,0.591
215.282,0.590
216.009,0.590
216.741,0.588
217.378,0.590
218.220,0.588
219.718,0.588
220.449,0.588
221.132,0.588
221.815,0.590
222.595,0.590
223.326,0.590
224.069,0.593
224.691,0.593
225.520,0.593
226.008,0.593
226.882,0.593
227.672,0.594
228.349,0.596
229.126,0.596
229.809,0.597
230.589,0.597
231.315,0.596
231.955,0.598
232.637,0.597
233.369,0.598
234.197,0.598
234.834,0.598
235.517,0.597
236.253,0.597
236.975,0.597
237.671,0.598
238.347,0.598
239.078,0.599
239.893,0.598
240.535,0.598
241.272,0.598
241.948,0.598
242.633,0.597
243.361,0.598
244.090,0.598
244.725,0.598
245.514,0.598
