df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,battery
7.993,42
18.035,42
28.059,42
38.023,42
48.016,42
58.010,42
68.006,42
77.997,42
87.991,42
97.984,42
107.978,41
118.026,41
128.026,41
138.009,41
148.001,41
157.995,41
167.989,41
177.982,41
187.976,41
197.972,41
208.024,41
218.011,41
227.999,41
237.993,41
