df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,ppg_med
5.391,587
5.416,675
5.441,814
5.466,889
5.491,860
5.516,829
5.541,910
5.566,1058
5.591,1114
5.616,1023
5.641,927
5.666,977
5.691,1114
5.716,1123
5.741,928
5.766,721
5.791,710
5.816,812
5.841,739
5.866,391
5.891,28
5.916,-74
5.941,-27
5.966,-210
5.991,-751
6.016,-1307
6.041,-1517
6.066,-1525
6.091,-1826
6.116,-2578
6.141,-3339
6.166,-3642
6.191,-3670
6.216,-4057
6.241,-5005
6.266,-5944
6.291,-6278
6.316,-6243
6.341,-6640
6.366,-7721
6.391,-8763
6.416,-9016
6.441,-8778
6.466,-9055
6.491,-10160
6.516,-11188
6.541,-11197
6.566,-10564
6.591,-10544
6.616,-11532
6.641,-12393
6.666,-11959
6.691,-10697
6.716,-10177
6.741,-10892
6.766,-11432
6.791,-10336
6.816,-8191
6.841,-6965
6.866,-7278
6.891,-7370
6.916,-5407
6.941,-2126
6.966,-11
6.991,134
7.016,537
7.041,3537
7.066,8203
7.091,11335
7.116,11871
7.141,12681
7.166,16841
7.191,23161
7.216,27379
7.241,28011
7.266,28906
7.291,32767
7.316,32767
7.341,32767
7.366,32767
7.391,32767
7.416,32767
7.441,32767
7.466,32767
7.491,32767
7.516,32767
7.541,32767
7.566,32767
7.591,32767
7.616,32767
7.641,15553
7.666,-32768
7.691,-32768
7.716,-32768
7.741,-32768
7.766,-32768
7.791,-32768
7.816,-32768
7.841,-32768
7.866,-32768
7.891,-32768
7.916,-32768
7.941,-32768
7.966,-32768
7.991,-32768
8.016,-30179
8.041,-27772
8.066,-27721
8.091,-25114
8.116,-19176
8.141,-13765
8.166,-11830
8.191,-11694
8.216,-9754
8.241,-5381
8.266,-1420
8.291,-90
8.316,-123
8.341,1233
8.366,4443
8.391,7266
8.416,7945
8.441,7477
8.466,8054
8.491,10075
8.516,11785
8.541,11800
8.566,10916
8.591,10887
8.616,12026
8.641,12929
8.666,12491
8.691,11359
8.716,10946
8.741,11494
8.766,11851
8.791,11114
8.816,9811
8.841,9098
8.866,9196
8.891,9186
8.916,8331
8.941,7045
8.966,6261
8.991,6180
9.016,6085
9.041,5381
9.066,4363
9.091,3737
9.116,3641
9.141,3512
9.166,2894
9.191,2024
9.216,1457
9.241,1300
9.266,1128
9.291,602
9.316,-73
9.341,-465
9.366,-502
9.391,-532
9.416,-829
9.441,-1241
9.466,-1430
9.491,-1331
9.516,-1210
9.541,-1303
9.566,-1536
9.591,-1677
9.616,-1648
9.641,-1570
9.666,-1530
9.691,-1445
9.716,-1196
9.741,-836
9.766,-551
9.791,-431
9.816,-355
9.841,-145
9.866,216
9.891,583
9.916,821
9.941,943
9.966,1048
9.991,1172
10.016,1264
10.041,1283
10.066,1274
10.091,1313
10.116,1407
10.141,1491
10.166,1516
10.191,1512
10.216,1508
10.241,1442
10.266,1304
10.291,1105
10.316,892
10.341,722
10.366,619
10.391,558
10.416,498
10.441,413
10.466,314
10.491,221
10.516,137
10.541,38
10.566,-103
10.591,-285
10.616,-474
10.641,-626
10.666,-718
10.691,-753
10.716,-749
10.741,-720
10.766,-681
10.791,-651
10.816,-643
10.841,-656
10.866,-668
10.891,-658
10.916,-634
10.941,-625
10.966,-648
10.991,-676
11.016,-651
11.041,-539
11.066,-361
11.091,-178
11.116,-34
11.141,73
11.166,179
11.191,299
11.216,415
11.241,497
11.266,540
11.291,573
11.316,621
11.341,677
11.366,717
11.391,720
11.416,695
11.441,666
11.466,643
11.491,620
11.516,588
11.541,550
11.566,513
11.591,483
11.616,457
11.641,425
11.666,380
11.691,316
11.716,237
11.741,164
11.766,131
11.791,161
11.816,251
11.841,363
11.866,455
11.891,512
11.916,551
11.941,587
11.966,615
11.991,617
12.016,590
12.041,552
12.066,526
12.091,512
12.116,488
12.141,438
12.166,369
12.191,303
12.216,243
12.241,180
12.266,103
12.291,27
12.316,-28
12.341,-62
12.366,-97
12.391,-157
12.416,-236
12.441,-311
12.466,-372
12.491,-433
12.516,-508
12.541,-579
12.566,-602
12.591,-548
12.616,-449
12.641,-372
12.666,-365
12.691,-408
12.716,-439
12.741,-403
12.766,-298
12.791,-159
12.816,-25
12.841,84
12.866,166
12.891,219
12.916,262
12.941,329
12.966,456
12.991,640
13.016,825
13.041,942
13.066,961
13.091,914
13.116,861
13.141,834
13.166,819
13.191,787
13.216,735
13.241,688
13.266,668
13.291,669
13.316,666
13.341,647
13.366,625
13.391,620
13.416,627
13.441,621
13.466,586
13.491,531
13.516,485
13.541,464
13.566,455
13.591,433
13.616,391
13.641,339
13.666,294
13.691,257
13.716,214
13.741,156
13.766,92
13.791,35
13.816,-11
13.841,-59
13.866,-121
13.891,-185
13.916,-222
13.941,-204
13.966,-135
13.991,-47
14.016,25
14.041,70
14.066,102
14.091,137
14.116,179
14.141,212
14.166,222
14.191,217
14.216,211
14.241,216
14.266,223
14.291,220
14.316,202
14.341,177
14.366,158
14.391,143
14.416,125
14.441,102
14.466,83
14.491,70
14.516,53
14.541,18
14.566,-28
