df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,quality
15.951,61
16.739,75
17.952,62
18.827,57
19.703,52
20.922,45
21.895,32
22.679,20
23.941,0
25.111,0
25.698,0
26.874,0
27.804,32
28.675,45
29.842,62
30.768,66
31.646,65
33.203,70
33.936,70
34.621,71
36.128,73
36.862,67
37.642,64
38.912,67
39.787,66
40.567,57
41.981,42
42.663,63
43.565,62
44.809,49
45.683,46
46.516,50
47.733,51
48.613,45
49.882,56
50.708,21
51.585,17
52.511,16
53.973,16
54.656,18
55.777,20
56.996,54
57.583,53
58.458,52
59.631,51
60.555,49
61.478,50
62.653,49
63.821,52
64.406,69
65.628,75
66.751,75
67.383,74
68.600,77
69.674,81
70.402,78
71.622,76
72.746,72
73.428,62
74.573,74
75.470,77
76.353,16
77.594,0
78.455,0
79.444,0
80.784,0
81.517,25
82.392,28
83.565,65
84.443,73
85.514,76
86.536,80
87.395,74
88.294,64
89.465,56
90.533,40
91.313,21
92.439,18
93.392,16
94.241,14
95.558,17
96.289,17
97.218,0
98.483,33
99.265,28
100.189,13
101.359,0
102.331,0
103.166,19
104.364,0
105.260,0
106.214,58
107.307,72
108.234,78
109.111,77
110.332,75
111.207,77
112.138,73
113.304,77
114.245,78
115.153,76
116.429,23
117.299,15
118.225,14
119.345,16
120.177,14
121.149,24
122.270,62
123.106,72
124.126,76
125.219,74
126.077,15
127.005,24
128.329,0
129.102,28
129.979,0
131.245,0
132.073,0
133.050,20
134.315,54
135.047,64
135.969,69
137.144,61
138.020,64
138.898,59
140.113,55
140.994,52
142.114,36
143.090,25
144.065,29
144.898,29
146.065,30
146.943,28
147.836,42
149.132,66
150.107,69
150.793,45
152.012,17
152.934,0
153.817,0
155.031,23
155.909,0
156.790,0
158.160,49
158.882,71
159.859,71
160.933,64
161.905,58
162.737,62
163.908,59
164.927,63
165.712,66
166.881,82
167.807,84
168.733,15
169.856,19
170.972,19
171.658,18
172.858,17
173.756,17
174.931,0
176.075,43
176.797,71
177.897,67
179.072,73
179.702,79
180.580,81
181.798,82
182.721,84
183.648,81
184.828,75
185.653,81
186.579,80
187.748,80
188.628,81
189.551,86
190.768,81
191.646,77
192.523,79
194.131,75
194.620,70
195.618,80
196.716,81
197.605,80
198.471,77
199.741,77
200.567,72
201.445,66
202.667,42
203.687,40
204.464,21
205.783,23
206.592,21
207.438,20
208.660,18
209.537,17
210.415,0
211.630,30
212.486,53
213.389,51
214.587,42
215.437,39
216.364,45
217.580,52
218.556,77
219.338,75
220.854,80
221.434,77
222.311,75
223.480,79
224.406,77
225.381,77
226.552,75
227.429,75
228.258,74
229.476,71
230.354,75
231.280,74
232.450,66
233.629,53
234.205,35
235.425,34
236.301,32
237.331,1
238.446,34
239.276,43
240.201,40
241.840,26
242.494,2
243.175,0
244.394,0
245.272,0
246.243,0
247.319,4
248.345,3
249.123,18
250.536,6
251.268,2
252.120,14
253.461,28
254.292,11
255.116,0
256.289,0
257.166,24
258.139,16
259.263,32
260.435,2
261.115,0
262.383,0
263.406,0
263.992,27
265.309,36
266.133,40
267.014,24
268.185,41
269.062,42
269.990,36
271.185,44
272.130,41
272.961,39
274.324,56
275.058,38
275.938,37
277.395,48
278.032,58
278.958,51
280.082,62
281.032,54
282.126,44
283.104,40
283.979,46
284.857,37
286.078,38
286.966,40
287.833,34
289.095,37
290.037,0
290.999,0
292.121,4
292.947,0
293.829,0
294.997,0
295.875,1
296.801,5
298.016,5
298.850,0
300.070,7
301.088,9
301.931,0
302.749,0
303.920,37
304.796,55
305.731,0
306.892,8
307.819,21
308.726,30
309.866,49
310.795,60
311.864,42
312.841,28
314.058,23
314.741,0
315.814,35
316.793,44
317.618,42
318.838,37
319.714,28
320.883,42
321.810,46
322.687,49
323.661,56
324.784,41
325.661,44
326.539,40
327.761,28
328.636,21
329.517,25
330.734,0
331.855,0
332.535,0
333.800,0
334.583,0
335.509,41
336.679,37
337.582,28
338.482,0
340.047,50
340.533,34
341.461,29
342.628,0
343.647,33
344.527,46
345.601,26
346.526,0
347.696,0
348.623,0
349.504,0
350.621,0
351.597,0
352.520,10
353.352,38
354.571,45
355.448,37
356.624,38
357.545,40
358.472,4
359.327,7
360.761,0
361.541,0
362.323,0
363.683,8
364.668,0
365.296,37
366.465,39
367.343,48
368.364,46
369.536,0
370.317,0
371.243,0
372.464,0
373.340,28
374.217,22
375.387,20
376.315,23
377.194,24
378.360,0
379.533,0
380.166,4
381.383,5
382.553,17
383.139,0
384.649,0
385.383,34
386.404,22
387.331,27
388.210,27
389.088,29
390.499,40
391.183,36
392.105,40
393.279,17
394.451,47
395.079,45
396.349,39
397.132,33
398.056,11
399.226,13
400.393,7
401.030,0
402.446,0
403.077,0
404.125,23
405.514,33
406.149,31
407.025,23
408.294,0
409.074,3
409.953,7
411.361,9
412.050,0
412.972,0
414.143,0
415.118,0
415.899,29
417.163,0
417.995,0
419.113,0
420.137,3
421.063,0
421.846,24
423.118,26
423.987,31
424.820,24
426.039,25
427.062,0
427.797,23
433.772,54
435.013,41
