df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,acc_mag
5.663,1.029
5.693,1.025
5.723,1.019
5.753,1.021
5.783,1.022
5.813,1.025
5.843,1.024
5.873,1.026
5.903,1.026
5.933,1.023
5.963,1.025
5.993,1.026
6.023,1.027
6.053,1.023
6.083,1.021
6.113,1.019
6.143,1.027
6.173,1.031
6.203,1.023
6.233,1.021
6.263,1.024
6.293,1.025
6.323,1.022
6.353,1.025
6.383,1.025
6.413,1.022
6.443,1.026
6.473,1.023
6.503,1.021
6.533,1.021
6.563,1.029
6.593,1.026
6.623,1.024
6.653,1.025
6.683,1.023
6.713,1.024
6.743,1.025
6.773,1.024
6.803,1.026
6.833,1.023
6.863,1.025
6.893,1.026
6.923,1.028
6.953,1.026
6.983,1.024
7.013,1.023
7.043,1.024
7.073,1.023
7.103,1.022
7.133,1.033
7.163,1.020
7.193,1.030
7.223,1.031
7.253,1.023
7.283,1.021
7.313,1.021
7.343,1.025
7.373,1.024
7.403,1.025
7.433,1.024
7.463,1.027
7.493,1.030
7.523,1.028
7.553,1.020
7.583,1.023
7.613,1.022
7.643,1.033
7.673,1.023
7.703,1.024
7.733,1.029
7.763,1.025
7.793,1.024
7.823,1.022
7.853,1.025
7.883,1.021
7.913,1.027
7.943,1.025
7.973,1.022
8.003,1.021
8.033,1.026
8.063,1.025
8.093,1.023
8.123,1.023
8.153,1.027
8.183,1.026
8.213,1.022
8.243,1.027
8.273,1.028
8.303,1.024
8.333,1.023
8.363,1.023
8.393,1.029
8.423,1.027
8.453,1.022
8.483,1.027
8.513,1.022
8.543,1.025
8.573,1.024
8.603,1.021
8.633,1.024
8.663,1.025
8.693,1.028
8.723,1.028
8.753,1.023
8.783,1.026
8.813,1.025
8.843,1.025
8.873,1.023
8.903,1.026
8.933,1.026
8.963,1.025
8.993,1.024
9.023,1.025
9.053,1.028
9.083,1.028
9.113,1.031
9.143,1.025
9.173,1.021
9.203,1.035
9.233,1.025
9.263,1.023
9.293,1.023
9.323,1.029
9.353,1.024
9.383,1.029
9.413,1.030
9.443,1.025
9.473,1.024
9.503,1.025
9.533,1.024
9.563,1.023
9.593,1.026
9.623,1.027
9.653,1.023
9.683,1.025
9.713,1.027
9.743,1.027
9.773,1.024
9.803,1.028
9.833,1.024
9.863,1.022
9.893,1.021
9.923,1.024
9.953,1.031
9.983,1.030
10.013,1.024
10.043,1.021
10.073,1.025
10.103,1.029
10.133,1.024
10.163,1.026
10.193,1.028
10.223,1.025
10.253,1.027
10.283,1.022
10.313,1.023
10.343,1.022
10.373,1.023
10.403,1.026
10.433,1.026
10.463,1.025
10.493,1.026
10.523,1.025
10.553,1.025
10.583,1.025
10.613,1.031
10.643,1.025
10.673,1.020
10.703,1.023
10.733,1.026
10.763,1.027
10.793,1.028
10.823,1.023
10.853,1.025
10.883,1.024
10.913,1.023
10.943,1.029
10.973,1.025
11.003,1.028
11.033,1.024
11.063,1.024
11.093,1.021
11.123,1.024
11.153,1.029
11.183,1.027
11.213,1.025
11.243,1.025
11.273,1.027
11.303,1.026
11.333,1.024
11.363,1.026
11.393,1.023
11.423,1.027
11.453,1.027
11.483,1.023
11.513,1.024
11.543,1.027
11.573,1.030
11.603,1.028
11.633,1.026
11.663,1.026
11.693,1.028
11.723,1.025
11.753,1.028
11.783,1.026
11.813,1.021
11.843,1.028
11.873,1.026
11.903,1.022
11.933,1.025
11.963,1.023
11.993,1.024
12.023,1.027
12.053,1.024
12.083,1.024
12.113,1.027
12.143,1.028
12.173,1.026
12.203,1.022
12.233,1.026
12.263,1.028
12.293,1.025
12.323,1.022
12.353,1.024
12.383,1.026
12.413,1.029
12.443,1.026
12.473,1.024
12.503,1.027
12.533,1.025
12.563,1.023
12.593,1.023
12.623,1.027
12.653,1.022
12.683,1.027
12.713,1.028
12.743,1.023
12.773,1.018
12.803,1.027
12.833,1.027
12.863,1.027
12.893,1.028
12.923,1.022
12.953,1.023
12.983,1.031
13.013,1.030
13.043,1.027
13.073,1.027
13.103,1.025
13.133,1.028
13.163,1.028
13.193,1.024
13.223,1.027
13.253,1.031
13.283,1.029
13.313,1.022
13.343,1.024
13.373,1.025
13.403,1.025
13.433,1.025
13.463,1.024
13.493,1.022
13.523,1.024
13.553,1.030
13.583,1.024
13.613,1.026
13.643,1.027
13.673,1.025
13.703,1.025
13.733,1.025
13.763,1.027
13.793,1.027
13.823,1.021
13.853,1.022
13.883,1.029
13.913,1.029
13.943,1.026
13.973,1.027
14.003,1.024
14.033,1.027
14.063,1.023
14.093,1.025
14.123,1.027
14.153,1.023
14.183,1.026
14.213,1.026
14.243,1.024
14.273,1.025
14.303,1.026
14.333,1.026
14.363,1.028
14.393,1.025
14.423,1.025
14.453,1.026
14.483,1.028
14.513,1.024
14.543,1.023
14.573,1.029
14.603,1.027
14.633,1.027
14.663,1.026
14.693,1.032
14.723,1.026
14.753,1.027
14.783,1.024
14.813,1.025
14.843,1.024
14.873,1.024
14.903,1.028
14.933,1.023
14.963,1.026
14.993,1.028
15.023,1.022
