df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,temperature
6.198,30.625
7.122,30.656
8.195,30.688
9.317,30.734
10.205,30.734
11.168,30.766
12.143,30.812
13.167,30.859
14.142,30.875
15.165,30.906
16.435,30.953
17.164,30.953
18.147,30.969
19.212,31.078
20.139,31.156
21.408,31.125
22.234,31.141
23.160,31.172
24.136,31.203
25.191,31.234
26.183,31.266
27.158,31.281
28.179,31.297
29.157,31.188
30.135,31.188
31.155,31.250
32.525,31.281
33.209,31.297
34.129,31.297
35.174,31.312
36.132,31.297
37.152,31.328
38.127,31.375
39.345,31.391
40.126,31.406
41.149,31.391
42.374,31.391
43.148,31.391
44.123,31.422
45.150,31.422
46.122,31.469
47.146,31.516
48.169,31.484
49.144,31.516
50.121,31.547
51.151,31.578
52.118,31.625
53.388,31.641
54.117,31.672
55.141,31.672
56.118,31.641
57.140,31.625
58.163,31.656
59.138,31.688
60.162,31.656
61.137,31.656
62.161,31.688
63.135,31.688
64.160,31.703
65.135,31.719
66.232,31.781
67.147,31.797
68.206,31.859
69.132,31.828
70.156,31.938
71.131,31.938
72.154,31.906
73.199,31.953
74.255,31.891
75.128,31.906
76.152,31.844
77.127,31.844
78.202,31.812
79.126,31.844
80.150,31.781
81.417,31.797
82.149,31.812
83.124,31.797
84.148,31.844
85.317,31.875
86.146,31.891
87.220,31.922
88.145,31.938
89.120,31.922
90.144,31.906
91.119,31.906
92.316,31.922
93.118,31.922
94.141,31.922
95.311,31.938
96.189,31.938
97.115,31.953
98.142,31.969
99.114,32.000
100.140,32.031
101.161,32.031
102.137,32.062
103.111,32.062
104.187,32.094
105.110,32.125
106.429,32.125
107.109,32.125
108.204,32.125
109.156,32.125
110.132,32.125
111.155,32.156
112.166,32.125
113.155,32.125
114.153,32.125
115.157,32.156
116.274,32.219
117.151,32.219
118.321,32.188
119.151,32.312
120.125,32.312
121.154,32.312
122.124,32.344
123.149,32.344
124.174,32.375
125.146,32.375
126.122,32.312
127.343,32.312
128.318,32.344
129.144,32.250
130.119,32.250
131.192,32.250
132.167,32.281
133.142,32.281
134.165,32.281
135.144,32.312
136.116,32.375
137.386,32.375
138.116,32.375
139.187,32.375
140.119,32.406
141.137,32.406
142.163,32.438
143.142,32.438
144.111,32.406
145.139,32.406
146.111,32.375
147.133,32.406
148.213,32.406
149.140,32.406
150.112,32.406
151.131,32.406
152.133,32.375
153.178,32.438
154.205,32.469
155.150,32.438
156.154,32.438
157.127,32.438
158.168,32.438
159.174,32.438
160.151,32.438
161.124,32.469
162.224,32.469
163.124,32.469
164.306,32.500
165.320,32.500
166.146,32.531
167.487,32.500
168.148,32.625
169.120,32.594
170.144,32.594
171.119,32.594
172.143,32.656
173.140,32.656
174.141,32.656
175.116,32.656
176.141,32.656
177.115,32.688
178.139,32.625
179.248,32.625
180.138,32.656
181.113,32.656
182.136,32.594
183.455,32.562
184.142,32.594
185.159,32.594
186.134,32.625
187.109,32.625
188.141,32.594
189.406,32.625
190.132,32.594
191.107,32.625
192.179,32.625
193.105,32.625
194.226,32.594
195.104,32.562
196.128,32.562
197.152,32.531
198.126,32.594
199.107,32.562
200.126,32.594
201.113,32.562
202.146,32.594
203.104,32.594
204.123,32.625
205.121,32.656
206.171,32.625
207.146,32.625
208.121,32.625
209.244,32.594
210.119,32.594
211.143,32.594
212.119,32.594
213.193,32.594
214.119,32.625
215.141,32.688
216.146,32.719
217.139,32.781
218.225,32.750
219.138,32.812
220.261,32.844
221.137,32.844
222.112,32.812
223.136,32.844
224.156,32.812
225.135,32.750
226.110,32.750
227.133,32.719
228.108,32.719
229.155,32.688
230.107,32.688
231.131,32.719
232.154,32.750
233.134,32.781
234.105,32.781
235.227,32.781
236.103,32.812
237.229,32.812
238.394,32.812
239.125,32.844
240.101,32.844
241.138,32.812
242.149,32.781
243.123,32.750
244.103,32.750
245.122,32.750
246.168,32.719
247.121,32.750
248.119,32.781
249.168,32.750
250.095,32.750
251.119,32.781
252.191,32.781
253.117,32.812
254.164,32.812
255.121,32.844
256.140,32.750
257.115,32.750
258.143,32.719
259.114,32.750
260.137,32.781
261.125,32.781
262.140,32.812
263.111,32.812
264.135,32.812
265.110,32.781
266.138,32.844
267.354,32.844
268.133,32.875
269.108,32.844
270.131,32.844
271.107,32.875
272.136,32.844
273.105,32.844
274.128,32.875
275.104,32.875
276.140,32.875
277.102,32.875
278.127,32.875
279.102,32.906
280.174,32.906
281.100,32.875
282.181,32.875
283.199,32.844
284.123,32.844
285.098,32.844
286.122,32.875
287.124,32.875
288.169,32.906
289.146,32.875
290.119,32.875
291.111,32.875
292.414,32.875
293.096,32.875
294.216,32.906
295.093,32.906
296.116,32.875
297.140,32.875
298.163,32.875
299.089,32.906
300.113,32.906
301.093,32.906
302.160,32.969
303.136,32.938
304.111,32.938
305.134,32.969
306.109,32.969
307.133,32.938
308.257,32.938
309.182,32.938
310.111,32.906
311.147,32.906
312.167,32.906
313.130,32.938
314.130,32.969
315.128,32.938
316.103,32.938
317.142,33.000
318.248,33.000
