df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,ppg_quality
57.265,71
59.285,64
60.295,63
62.315,75
64.335,82
65.345,85
66.355,84
67.365,86
68.375,89
70.385,89
72.405,85
74.415,89
76.435,95
78.455,98
80.475,109
81.485,113
82.495,117
83.505,117
84.515,116
85.525,115
86.535,116
87.545,117
89.565,113
90.575,110
91.585,120
93.605,94
95.625,93
97.645,87
98.655,85
99.665,83
101.685,69
103.705,85
104.715,91
105.725,84
106.735,81
107.745,72
108.755,69
109.765,70
110.775,77
111.785,79
112.795,78
113.805,65
114.815,60
116.835,65
117.845,68
119.865,75
120.875,66
122.895,69
123.905,86
125.925,96
127.935,103
128.945,102
129.955,103
131.975,103
133.985,94
136.005,81
137.015,73
138.025,61
139.035,54
140.045,50
141.055,49
143.075,56
145.095,52
146.105,58
147.115,65
149.135,81
151.155,75
153.175,79
155.195,67
156.205,61
157.215,53
158.225,53
159.235,48
160.245,58
161.255,59
162.265,54
164.285,64
166.305,72
167.315,80
168.325,84
169.335,87
171.355,83
172.365,83
173.375,86
175.395,94
177.415,84
179.435,62
182.465,22
192.565,1
194.585,25
196.605,42
197.615,49
198.625,57
199.635,70
200.645,85
201.655,96
203.675,94
205.695,109
206.705,106
207.715,94
208.725,93
209.735,94
210.745,91
211.755,91
212.765,90
214.785,80
215.795,78
216.805,83
218.825,96
219.835,99
220.845,102
222.865,101
223.875,102
224.885,101
226.905,91
228.925,79
229.935,73
230.945,70
232.965,75
234.985,81
237.005,96
239.025,105
240.035,106
241.045,105
242.055,102
243.065,102
245.085,97
247.105,48
248.115,32
249.125,32
251.145,43
252.155,48
253.165,43
254.175,44
255.185,47
256.195,66
257.205,85
258.215,100
260.235,96
261.245,95
262.255,94
263.265,102
264.275,105
266.295,109
268.315,114
269.325,115
270.335,116
271.345,115
272.355,114
274.375,106
275.385,106
276.395,110
277.405,109
278.415,105
280.435,100
281.445,88
282.455,75
285.485,48
287.505,26
288.515,22
289.525,19
290.535,24
291.545,35
292.555,48
294.575,70
295.585,69
296.595,72
297.605,73
298.615,76
300.635,53
302.655,46
304.675,39
306.695,37
308.715,47
310.735,48
311.745,41
313.765,30
315.785,27
317.805,20
319.825,25
320.835,34
321.845,39
323.865,31
324.875,31
325.885,37
327.905,38
328.915,38
329.925,42
330.935,41
331.945,35
332.955,30
333.965,28
336.995,14
338.005,12
339.015,11
341.035,9
343.055,35
344.065,44
345.075,54
346.085,63
347.095,66
348.105,68
350.125,67
351.135,66
352.145,60
353.155,59
354.165,57
355.175,57
356.185,45
357.195,42
358.205,47
360.225,40
362.245,22
363.255,13
364.265,10
366.285,4
368.305,5
369.315,19
370.325,34
371.335,46
372.345,61
374.365,80
376.385,101
377.395,106
379.415,104
381.435,106
383.455,113
384.465,113
385.475,113
386.485,113
387.495,114
389.515,91
391.535,81
392.545,76
393.555,73
394.565,72
395.575,71
397.595,62
398.605,65
400.625,68
401.635,64
402.645,63
403.655,62
404.665,57
405.675,45
406.685,29
408.705,23
410.725,24
411.735,23
413.755,17
414.765,18
415.775,31
416.785,48
417.795,58
419.815,66
420.825,73
421.835,82
423.855,88
425.875,88
426.885,87
427.895,87
429.915,88
431.935,49
432.945,35
433.955,28
435.975,16
436.985,6
441.025,3
443.045,31
445.065,46
447.085,54
449.105,57
451.125,68
453.145,82
454.155,89
455.165,89
456.175,85
457.185,85
458.195,88
459.205,87
460.215,75
462.235,75
463.245,73
464.255,69
465.265,75
466.275,83
468.295,92
470.315,105
472.335,77
473.345,78
474.355,76
475.365,71
476.375,65
477.385,61
478.395,58
479.405,52
481.425,73
483.445,73
484.455,71
485.465,75
486.475,78
487.485,78
488.495,78
489.505,73
491.525,70
492.535,72
493.545,75
494.555,77
495.565,77
496.575,77
498.595,77
499.605,75
500.615,76
501.625,72
502.635,75
504.655,75
506.675,81
508.695,83
510.715,70
511.725,58
512.735,42
513.745,36
514.755,26
515.765,10
516.775,5
517.785,7
518.795,8
521.825,17
522.835,36
523.845,49
524.855,58
525.865,75
527.885,63
529.905,59
530.915,56
531.925,60
532.935,45
533.945,31
535.965,16
537.985,25
538.995,32
541.015,50
543.035,67
545.055,40
547.075,45
549.095,70
551.105,48
553.125,38
555.145,66
557.165,61
