df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,heart_rate
14.574,83
15.552,83
16.670,83
17.548,82
18.474,80
19.647,78
20.521,80
21.448,83
22.618,83
23.515,83
24.421,82
25.591,82
26.518,81
27.739,82
28.614,82
29.594,81
30.369,81
31.696,81
32.467,81
33.342,81
34.513,81
35.460,81
36.316,81
37.535,82
38.412,82
39.290,83
40.509,84
41.386,84
42.319,84
43.483,83
44.376,83
45.237,82
46.456,82
47.334,82
48.260,82
49.430,82
50.311,82
51.234,82
52.422,82
53.281,82
54.207,82
55.377,82
56.255,82
57.181,82
58.403,83
59.277,83
60.155,84
61.377,84
62.258,84
63.132,84
64.347,83
65.225,83
66.102,83
67.321,83
68.199,83
69.076,83
70.295,82
71.238,82
72.056,82
73.269,82
74.165,82
75.075,82
76.242,82
77.123,82
78.047,81
79.216,81
80.340,80
81.020,79
82.190,78
83.067,78
83.994,77
85.164,77
86.093,77
86.967,78
88.141,78
89.067,79
89.948,80
91.111,82
92.039,80
92.915,80
94.137,80
95.306,80
95.889,80
97.107,80
97.985,80
98.862,82
100.081,82
100.961,82
101.839,82
103.072,82
103.932,82
104.827,82
106.028,82
107.004,81
107.832,81
109.020,81
109.896,81
110.918,81
111.976,81
112.904,74
113.780,78
114.999,76
115.882,77
116.753,76
117.925,85
118.850,85
119.727,88
120.897,88
121.823,89
122.701,89
123.920,89
124.803,88
125.871,88
126.894,87
127.793,86
128.648,86
129.867,85
130.745,85
131.671,85
132.841,85
133.751,85
134.658,85
135.832,85
136.696,85
137.618,85
138.788,85
139.666,84
140.592,83
141.762,82
142.737,82
143.566,82
144.736,82
145.711,84
146.540,82
147.710,82
148.636,82
149.513,82
150.683,82
151.610,82
152.782,82
153.709,75
154.584,79
155.461,71
156.696,65
157.557,76
158.437,83
159.653,86
160.531,86
161.516,88
162.628,88
163.505,87
164.431,87
165.601,87
166.480,87
167.404,87
168.574,88
169.488,89
170.381,90
171.567,91
172.500,92
173.401,93
174.525,94
175.475,94
176.332,93
177.520,93
178.427,93
179.299,93
180.469,93
181.396,87
182.274,83
183.443,80
184.388,78
185.247,77
186.491,78
187.343,77
188.224,77
189.439,77
190.317,77
191.194,77
192.428,77
193.291,77
194.224,77
195.392,78
196.273,77
197.191,77
198.361,77
199.238,77
200.185,77
201.334,77
202.212,77
203.141,77
204.308,77
205.237,77
206.115,77
207.300,77
208.208,77
209.150,77
210.258,79
211.182,80
212.059,80
213.262,80
214.204,79
215.050,78
216.252,77
217.425,76
218.013,76
219.243,75
220.104,75
220.981,75
222.202,75
223.077,76
223.973,76
225.229,75
226.312,75
226.977,75
228.264,75
229.028,79
229.951,81
231.153,81
232.347,81
232.973,81
234.213,80
234.972,80
235.915,80
237.073,80
238.014,80
238.872,80
240.091,80
240.968,80
241.845,81
243.064,81
243.984,82
244.845,81
246.038,81
246.917,81
247.793,81
249.015,81
249.889,81
251.011,85
251.985,86
252.932,87
253.789,88
255.016,88
255.837,88
256.860,88
257.933,88
258.830,87
259.737,86
261.005,85
261.801,84
262.711,84
263.902,83
264.811,83
265.684,83
266.854,83
267.780,83
268.658,83
269.929,83
270.754,83
271.680,84
272.899,85
273.757,85
274.605,85
275.824,85
276.706,85
277.582,85
278.798,85
279.725,85
280.590,85
281.827,85
282.662,80
283.575,82
284.749,85
285.623,83
286.549,83
287.721,83
288.597,83
289.523,83
290.693,83
291.619,83
292.497,83
293.667,87
294.593,88
295.470,90
296.689,88
297.566,88
298.444,86
299.614,85
300.589,84
301.664,84
302.636,83
303.514,84
304.393,83
305.610,83
306.488,83
307.370,83
308.637,83
309.462,83
310.339,78
311.558,80
312.435,79
313.365,79
314.534,79
315.499,79
316.384,79
317.609,79
318.384,79
319.458,79
320.481,79
321.405,79
322.283,79
323.473,79
324.379,79
325.256,79
326.428,79
327.353,85
328.252,86
329.449,88
330.330,87
331.204,87
332.423,86
333.302,85
334.183,85
335.399,86
336.421,87
337.200,87
338.385,87
339.248,87
340.194,87
341.344,87
342.270,88
343.150,87
344.321,87
345.246,87
346.121,87
347.291,92
348.218,94
349.095,92
350.267,92
351.191,92
352.072,92
353.288,92
354.165,92
355.141,92
356.261,92
357.434,92
358.030,92
359.479,92
360.164,92
361.088,92
362.209,94
363.151,95
364.013,94
365.478,94
366.060,94
366.986,94
368.156,94
369.034,94
369.965,94
371.130,94
372.157,91
372.934,90
374.104,88
375.030,87
376.006,86
377.078,85
378.250,85
378.885,85
380.100,85
380.977,85
381.855,85
383.074,84
384.009,84
384.829,83
386.049,82
386.925,82
387.865,82
389.025,82
389.899,82
390.828,82
392.006,83
392.873,83
393.799,83
394.988,83
395.895,83
396.773,83
397.980,82
398.874,82
399.746,82
400.916,82
401.843,82
402.869,83
403.939,83
404.816,82
405.695,82
406.962,82
407.790,82
408.667,82
409.912,82
410.764,82
411.741,82
412.860,81
413.739,81
414.664,81
415.853,81
416.714,81
417.638,82
418.807,82
419.734,82
420.611,82
421.927,82
422.708,82
423.603,83
424.853,83
425.828,83
426.559,84
427.851,83
428.655,83
