df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,temperature
5.019,32.906
6.043,32.938
7.018,32.906
8.091,32.906
9.020,32.875
10.041,32.875
11.019,32.906
12.107,32.906
13.017,32.969
14.038,32.938
15.013,33.000
16.086,33.000
17.012,33.000
18.036,33.031
19.011,33.062
20.051,33.094
21.009,33.125
22.033,33.125
23.008,33.125
24.032,33.125
25.007,33.094
26.034,33.125
27.054,33.094
28.029,33.062
29.058,33.094
30.031,33.062
31.052,33.000
32.027,33.000
33.052,33.031
34.025,33.031
35.049,33.094
36.173,33.094
37.066,33.250
38.026,33.250
39.046,33.219
40.040,33.250
41.045,33.281
42.020,33.281
43.071,33.281
44.019,33.281
45.042,33.250
46.067,33.281
47.063,33.188
48.017,33.188
49.040,33.219
50.164,33.250
51.058,33.250
52.088,33.250
53.086,33.219
54.015,33.219
55.037,33.250
56.157,33.219
57.036,33.219
58.010,33.250
59.059,33.250
60.013,33.219
61.081,33.219
62.251,33.250
63.080,33.312
64.006,33.344
65.040,33.312
66.007,33.344
67.130,33.344
68.004,33.344
69.028,33.344
70.052,33.312
71.026,33.312
72.050,33.312
73.026,33.281
74.000,33.250
75.027,33.281
76.047,33.281
77.081,33.312
78.060,33.281
79.022,33.312
80.045,33.250
81.029,33.312
82.044,33.219
83.019,33.250
84.047,33.312
85.018,33.312
86.041,33.312
87.263,33.312
88.040,33.375
89.064,33.375
90.099,33.469
91.017,33.438
92.158,33.500
93.030,33.531
94.036,33.438
95.358,33.438
96.035,33.438
97.010,33.469
98.034,33.438
99.009,33.406
100.034,33.438
101.013,33.438
102.048,33.469
103.058,33.469
104.079,33.500
105.105,33.500
106.226,33.500
107.016,33.500
108.127,33.469
109.051,33.531
110.026,33.531
111.060,33.500
112.025,33.531
113.243,33.500
114.024,33.531
115.011,33.500
116.025,33.531
116.998,33.531
118.170,33.531
119.149,33.500
120.022,33.500
120.995,33.500
122.019,33.500
123.289,33.500
124.115,33.500
125.041,33.500
126.016,33.469
127.066,33.500
128.015,33.531
129.039,33.500
130.014,33.469
131.037,33.500
132.029,33.500
133.036,33.531
134.011,33.531
135.035,33.594
136.011,33.594
137.053,33.594
138.057,33.594
139.279,33.625
140.254,33.625
141.031,33.594
142.006,33.594
143.030,33.594
144.005,33.562
145.029,33.562
146.029,33.562
147.030,33.562
148.002,33.594
149.172,33.625
150.050,33.625
151.025,33.625
152.000,33.656
153.023,33.688
153.999,33.688
155.023,33.688
155.997,33.688
157.047,33.656
157.996,33.625
159.023,33.656
160.000,33.625
161.019,33.656
161.994,33.688
163.018,33.688
164.012,33.688
165.262,33.688
165.991,33.688
167.015,33.750
167.990,33.719
169.013,33.719
170.040,33.625
171.012,33.594
171.987,33.562
173.011,33.531
174.034,33.500
175.010,33.500
176.034,33.469
177.009,33.469
178.032,33.500
179.019,33.500
180.031,33.562
181.006,33.594
182.030,33.625
183.005,33.625
184.028,33.656
185.003,33.656
186.027,33.719
187.002,33.719
188.026,33.688
189.004,33.656
190.024,33.719
191.000,33.719
192.123,33.688
193.099,33.688
194.022,33.688
194.997,33.688
196.267,33.719
197.039,33.688
198.020,33.750
199.044,33.750
200.029,33.781
200.994,33.750
202.017,33.750
203.138,33.781
204.016,33.750
204.991,33.781
206.112,33.750
207.138,33.719
208.030,33.688
208.989,33.688
210.012,33.688
210.987,33.719
212.011,33.688
212.990,33.688
214.010,33.719
214.985,33.719
216.011,33.750
217.032,33.750
218.010,33.750
218.982,33.781
220.006,33.781
221.081,33.812
222.088,33.812
223.028,33.750
224.008,33.750
225.035,33.750
226.008,33.750
227.026,33.656
228.001,33.688
229.024,33.688
230.000,33.656
231.088,33.656
232.342,33.656
233.022,33.719
233.997,33.750
235.022,33.719
236.001,33.719
237.068,33.781
238.043,33.750
239.023,33.781
240.016,33.781
241.017,33.750
241.992,33.750
243.016,33.750
244.048,33.719
245.076,33.750
245.990,33.750
247.018,33.781
247.988,33.781
249.012,33.781
249.988,33.781
251.018,33.812
252.037,33.812
253.010,33.812
253.985,33.812
255.024,33.781
255.983,33.812
257.016,33.812
257.982,33.812
259.006,33.812
259.981,33.781
261.013,33.781
261.985,33.781
263.171,33.750
263.978,33.750
265.002,33.750
266.077,33.781
267.001,33.781
268.025,33.719
269.026,33.719
269.975,33.750
271.013,33.719
272.022,33.781
272.997,33.781
274.025,33.781
274.996,33.750
276.021,33.781
277.019,33.750
278.089,33.812
278.993,33.812
280.114,33.781
280.992,33.781
282.016,33.750
282.991,33.781
284.015,33.781
285.086,33.781
286.013,33.750
286.989,33.781
288.012,33.750
289.282,33.719
290.011,33.750
291.003,33.750
292.024,33.750
292.986,33.812
294.008,33.812
295.279,33.812
296.011,33.812
296.982,33.781
298.010,33.812
299.033,33.844
300.005,33.781
300.979,33.812
302.033,33.812
302.978,33.781
304.002,33.812
305.272,33.781
306.003,33.781
306.976,33.812
308.000,33.812
308.975,33.844
310.196,33.875
311.070,33.875
312.146,33.875
312.975,33.812
314.000,33.812
315.116,33.781
315.995,33.781
316.982,33.750
318.013,33.781
