df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,omega
77.650,0.491
78.769,0.485
79.497,0.480
80.914,0.485
81.742,0.480
84.248,0.475
98.418,0.480
101.635,0.475
102.802,0.473
110.258,0.471
110.845,0.459
124.609,0.459
126.984,0.438
128.138,0.426
129.084,0.409
129.808,0.405
133.515,0.401
134.585,0.401
135.417,0.401
135.904,0.407
160.667,0.407
224.730,0.407
225.696,0.411
226.817,0.411
227.767,0.411
228.822,0.422
232.821,0.416
239.306,0.411
242.034,0.416
263.335,0.432
278.990,0.446
279.572,0.455
283.287,0.459
287.072,0.479
311.260,0.459
316.385,0.450
325.978,0.459
328.273,0.469
345.245,0.479
354.259,0.486
358.255,0.469
388.477,0.504
391.817,0.496
399.100,0.499
406.764,0.496
