df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,spo2
77.499,99
78.474,99
79.396,99
80.862,99
81.691,99
84.178,99
98.126,99
101.585,99
102.706,99
110.063,99
110.649,100
124.494,100
126.931,100
127.907,100
128.882,100
129.710,100
133.464,100
134.484,100
135.170,100
135.854,100
160.472,100
224.629,100
225.647,100
226.674,100
227.701,100
228.625,100
232.720,100
239.298,100
241.982,100
263.288,100
278.840,100
279.520,100
283.273,100
287.062,99
310.963,100
316.374,100
325.878,100
328.221,100
345.231,99
354.205,99
358.203,100
388.425,99
391.791,99
399.052,99
406.758,99
