df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,rr_int
376.042,300
376.285,535
376.968,270
377.261,710
377.801,225
378.236,505
378.675,520
379.510,385
380.332,850
381.161,765
381.472,840
381.720,280
381.843,510
383.940,1000
384.866,1005
385.597,900
386.572,900
387.547,915
388.376,920
389.231,880
390.034,830
390.862,805
391.766,845
392.569,875
393.543,885
394.519,920
395.347,955
396.322,940
397.151,880
397.979,890
398.957,920
399.938,910
400.759,930
401.295,905
402.465,500
403.158,1130
403.976,765
404.951,865
406.026,970
406.754,895
407.730,915
408.705,945
410.101,1015
410.904,1405
411.630,780
411.727,905
413.287,305
414.262,1180
414.804,960
415.102,885
416.066,720
416.749,290
417.139,705
417.431,320
418.552,380
419.674,1095
420.651,1105
421.039,880
421.331,785
422.344,685
422.843,330
423.573,495
424.110,735
425.088,620
426.210,885
427.037,1210
427.477,615
428.693,650
428.993,1170
429.423,240
430.399,540
431.325,990
431.913,895
432.305,610
433.275,340
433.302,795
434.009,265
434.544,715
434.839,810
435.420,555
435.517,10
435.663,280
437.472,895
437.785,910
438.150,345
439.275,410
439.953,1050
440.835,690
441.757,885
442.635,1000
443.756,875
445.413,1030
446.098,1640
446.389,705
447.754,390
448.610,1305
449.558,950
450.094,965
450.825,465
451.653,680
452.483,955
453.457,835
453.755,890
455.261,325
456.382,1550
457.358,1045
457.625,1110
457.796,140
457.801,25
457.807,10
458.479,10
459.454,900
459.605,955
459.608,175
461.160,685
462.332,840
463.208,975
464.429,1115
465.402,1110
466.668,1180
467.790,1145
469.161,1210
469.203,1020
469.330,430
471.397,380
473.055,1730
474.176,1780
474.468,1055
474.472,315
475.122,10
475.980,545
476.858,935
477.787,850
478.759,955
479.319,1000
479.734,610
480.319,440
480.709,535
481.716,405
482.809,985
483.070,1055
483.217,465
484.492,325
485.291,930
486.266,855
487.318,960
487.978,920
488.074,755
488.112,220
489.874,1095
