df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,ppg_quality
58.343,76
59.353,78
60.363,83
61.373,80
63.393,83
65.413,87
67.433,88
69.453,71
71.473,61
72.483,64
74.503,68
76.523,72
78.543,89
80.563,103
82.583,100
83.593,99
85.613,93
87.633,86
88.643,87
89.653,87
91.673,87
93.693,79
95.713,78
96.723,76
97.733,70
98.743,58
100.763,53
101.773,58
102.783,66
103.793,71
104.803,80
106.823,81
109.853,101
111.873,87
112.883,80
113.893,68
115.913,49
116.923,43
117.933,38
118.943,29
119.953,24
121.973,34
122.983,43
125.003,70
127.023,77
129.043,96
131.063,109
132.073,112
134.093,107
136.113,94
138.133,77
140.153,56
142.173,53
143.183,47
145.203,34
147.223,44
149.243,74
151.263,77
153.283,79
155.303,88
156.313,91
157.323,93
158.333,70
159.343,64
160.353,54
161.363,44
162.373,36
164.393,24
166.413,22
168.433,21
171.463,36
173.483,52
175.503,64
177.523,103
179.543,129
180.553,125
182.573,103
183.583,92
186.613,78
188.633,52
189.643,51
190.653,56
192.673,72
193.683,84
194.693,85
197.723,54
198.733,56
199.743,46
200.753,42
201.763,31
202.773,30
204.793,19
205.803,42
208.833,34
210.853,32
211.863,41
212.873,48
214.893,62
216.913,45
218.933,61
219.943,71
221.963,82
223.983,81
226.003,82
227.013,86
229.033,92
231.053,92
233.073,93
235.093,96
237.113,105
239.133,128
240.143,134
242.163,128
244.183,122
246.203,114
248.223,68
251.253,42
252.263,41
255.293,31
257.313,25
258.323,35
260.343,53
261.353,51
262.363,56
263.373,59
264.383,66
266.403,81
268.423,92
270.443,83
271.453,79
272.463,71
273.473,62
274.483,56
276.503,56
277.513,49
279.533,54
281.553,62
283.573,80
284.583,83
286.603,79
287.613,90
288.623,90
290.643,83
292.663,58
294.683,42
296.703,41
297.713,34
298.723,23
299.733,15
300.743,9
301.753,4
303.773,17
305.793,20
306.803,25
307.813,29
309.833,45
310.843,57
311.853,70
312.863,79
313.873,83
314.883,87
315.893,88
316.903,84
318.923,79
319.933,81
320.943,76
322.963,69
323.973,70
325.993,67
328.013,69
329.023,74
331.043,95
332.053,98
333.063,96
334.073,82
335.083,77
337.103,61
339.123,41
341.143,10
342.153,11
343.163,10
344.173,8
346.193,5
348.213,16
350.233,42
352.253,41
353.263,42
354.273,49
355.283,54
357.303,54
358.313,61
359.323,67
361.343,77
363.363,83
365.383,93
366.393,90
368.413,74
370.433,49
372.453,41
374.473,28
376.493,26
377.503,36
379.523,43
380.533,37
381.543,31
382.553,28
383.563,27
384.573,35
385.583,45
386.593,46
387.593,51
388.603,51
389.613,62
391.633,81
392.643,90
394.663,95
396.683,102
398.703,97
400.723,100
401.733,102
402.743,102
403.753,108
405.773,117
407.793,113
409.813,117
411.833,122
413.853,114
414.863,102
416.883,100
417.893,100
418.903,91
420.923,63
422.943,60
423.953,65
424.963,59
425.973,47
426.983,43
427.993,41
430.013,50
431.023,55
432.033,53
434.053,42
435.063,48
437.083,59
438.093,58
439.103,54
440.113,52
441.123,50
443.143,38
445.163,47
447.183,53
449.203,64
451.223,65
452.233,63
454.253,77
456.273,69
457.283,64
458.293,60
459.303,57
461.323,71
462.333,77
463.343,74
465.363,68
467.383,67
469.403,65
471.423,62
472.433,58
473.443,52
476.473,54
478.493,60
480.513,67
481.523,70
483.543,88
484.553,92
485.563,85
487.583,72
488.593,68
489.603,76
491.623,92
