df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,perfusion_ir
77.644,0.390
78.765,0.390
79.399,0.390
80.910,0.390
81.739,0.380
84.229,0.390
98.411,0.380
101.629,0.390
102.796,0.390
110.073,0.390
110.841,0.390
124.591,0.390
126.979,0.390
128.104,0.390
129.077,0.390
129.805,0.390
133.509,0.390
134.488,0.390
135.413,0.380
135.901,0.370
160.663,0.370
224.724,0.370
225.652,0.360
226.683,0.360
227.746,0.380
228.819,0.380
232.816,0.380
239.301,0.360
242.030,0.360
263.331,0.330
278.983,0.320
279.568,0.310
283.279,0.320
287.065,0.330
311.256,0.320
316.380,0.320
325.883,0.320
328.269,0.310
345.234,0.320
354.255,0.320
358.251,0.310
388.473,0.310
391.803,0.310
399.057,0.310
406.761,0.310
