df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,quality
14.562,59
15.440,89
16.609,85
17.584,70
18.461,67
19.485,78
20.555,82
21.437,71
22.408,66
23.486,56
24.547,59
25.485,58
26.603,50
27.383,50
28.261,51
29.528,37
30.500,41
31.237,66
32.504,73
33.675,87
34.210,90
35.476,89
36.305,84
37.230,82
38.401,77
39.324,55
40.208,62
41.388,40
42.301,31
43.204,24
44.540,27
45.320,29
46.344,31
47.371,21
48.345,23
49.176,23
50.346,33
51.273,26
52.109,0
53.341,0
54.196,0
55.426,2
56.294,0
57.170,27
58.099,60
59.315,62
60.195,54
61.074,41
62.266,45
63.360,62
64.092,79
65.308,79
66.237,77
67.039,38
68.869,38
69.114,30
70.040,29
71.210,29
72.209,41
73.205,61
74.378,56
75.061,66
76.033,78
77.158,84
78.084,87
78.961,82
80.176,76
81.057,66
81.982,44
83.248,32
84.035,54
84.909,53
86.420,50
87.007,65
88.028,65
89.101,57
90.075,59
91.148,35
92.075,36
93.025,31
93.879,30
95.490,24
95.976,48
96.852,27
98.024,0
98.994,23
99.924,0
101.048,0
102.117,56
102.845,50
104.262,46
104.942,59
105.823,67
106.993,82
108.013,81
108.845,79
110.262,85
110.892,32
111.821,39
113.134,35
114.107,0
114.746,29
116.108,0
117.038,40
117.718,40
118.936,57
119.818,44
120.835,46
122.053,35
122.789,31
123.716,45
125.127,46
125.859,64
126.831,78
127.858,76
128.784,66
129.661,69
130.926,79
131.758,83
132.781,75
133.948,76
134.732,80
135.706,71
136.974,48
137.705,55
138.823,57
139.845,59
140.709,54
141.608,43
142.775,33
143.701,49
144.627,51
145.799,60
146.720,63
147.842,46
148.768,51
149.709,23
150.527,22
151.745,0
152.622,0
153.549,3
154.768,3
155.647,2
156.569,0
157.788,24
158.571,26
159.499,0
160.815,40
161.593,32
162.470,38
163.686,39
164.567,42
165.490,38
166.663,36
167.540,55
168.713,55
169.637,40
170.515,40
171.735,41
172.610,50
173.488,50
174.414,43
175.629,37
176.511,36
177.388,30
178.632,37
179.484,48
180.507,53
181.531,65
182.461,53
183.578,41
184.700,48
185.432,8
186.309,13
187.625,43
188.455,30
189.441,0
190.502,37
191.720,47
192.306,29
193.475,38
194.378,39
195.425,0
196.546,31
197.379,36
198.302,41
199.569,41
200.352,27
201.234,36
202.443,20
203.372,23
204.450,17
205.565,27
206.297,39
207.174,4
208.393,0
209.272,34
210.148,37
211.367,39
212.295,48
213.171,74
214.341,80
215.270,79
216.193,72
217.315,61
218.241,72
219.166,83
220.376,85
221.409,86
222.094,89
223.262,88
224.190,83
225.069,81
226.622,80
227.164,82
228.041,87
229.307,92
230.184,96
231.305,92
232.232,89
233.405,88
233.987,89
235.208,84
236.088,82
237.013,76
238.225,52
239.203,31
240.031,37
241.591,32
242.280,40
243.103,36
244.224,37
245.004,26
245.931,25
247.147,31
248.124,29
249.051,29
250.078,23
251.056,24
252.265,25
253.050,21
253.975,31
255.047,28
256.071,31
256.949,30
257.969,41
259.093,35
259.950,19
261.048,32
262.413,24
263.139,0
263.773,29
264.994,47
265.915,55
266.847,64
268.011,63
268.846,75
269.818,82
271.001,42
271.866,31
272.744,0
273.913,14
274.885,26
275.812,9
276.887,16
277.813,0
278.693,31
279.909,71
280.789,81
281.668,76
282.884,81
283.761,65
284.638,69
285.857,73
286.735,72
287.615,72
288.925,75
289.803,74
290.636,76
292.201,69
292.684,64
293.657,65
294.827,73
295.802,62
296.587,43
297.761,52
298.679,47
299.556,42
300.726,44
301.653,55
302.530,55
303.749,50
304.844,60
305.549,79
306.722,69
307.600,70
308.478,70
309.697,63
310.574,55
311.451,55
312.671,78
313.742,85
314.572,87
315.694,85
316.911,72
317.449,58
318.694,43
319.543,38
320.421,39
321.592,39
322.522,29
323.395,24
324.565,48
325.539,54
326.369,43
327.588,58
328.465,81
329.342,39
330.561,32
331.679,31
332.318,36
333.537,36
334.412,36
335.488,36
336.510,0
337.411,27
338.313,36
339.562,31
340.362,32
341.291,26
342.456,30
343.528,43
344.262,38
345.430,37
346.307,42
347.282,52
348.451,42
349.477,52
350.499,56
351.378,67
352.304,75
353.182,82
354.351,89
355.326,87
356.399,82
357.325,80
358.595,77
359.129,41
360.347,29
361.225,24
362.102,0
363.367,0
364.199,0
365.170,0
366.295,0
367.173,25
368.144,29
369.270,41
370.343,41
371.073,48
372.270,52
373.191,51
374.046,57
375.603,0
376.096,0
377.022,5
378.192,7
379.213,0
379.996,0
381.453,47
382.090,50
382.973,60
384.141,57
385.405,51
385.943,53
387.115,66
388.135,70
388.915,78
390.134,83
391.063,72
391.889,75
393.108,80
393.986,80
394.865,77
396.178,78
396.959,80
397.885,79
399.116,79
400.289,83
400.862,87
402.275,25
403.149,25
403.832,24
405.003,24
405.933,24
407.147,30
408.269,70
408.903,70
409.781,73
410.962,32
411.880,32
412.800,33
413.973,35
415.091,31
415.731,34
416.946,30
418.119,45
418.701,41
420.212,44
420.946,38
421.675,38
423.137,33
423.821,25
424.747,26
426.062,45
426.937,29
427.673,0
428.988,0
