df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,acc_mag
5.258,0.991
5.288,0.999
5.318,0.986
5.348,0.993
5.378,0.983
5.408,0.997
5.438,0.989
5.468,0.996
5.498,1.000
5.528,0.986
5.558,0.987
5.588,0.991
5.618,0.992
5.648,0.991
5.678,0.996
5.708,0.985
5.738,1.001
5.768,0.993
5.798,0.990
5.828,0.985
5.858,0.995
5.888,0.992
5.918,0.993
5.948,0.995
5.978,0.990
6.008,0.991
6.038,0.990
6.068,0.990
6.098,0.993
6.128,0.992
6.158,0.992
6.188,0.989
6.218,0.993
6.248,0.996
6.278,0.986
6.308,1.006
6.338,0.987
6.368,0.987
6.398,0.997
6.428,0.990
6.458,0.989
6.488,0.995
6.518,0.985
6.548,1.000
6.578,0.991
6.608,0.989
6.638,0.987
6.668,0.994
6.698,0.990
6.728,0.991
6.758,0.993
6.788,1.000
6.818,0.991
6.848,0.993
6.878,0.988
6.908,0.991
6.938,0.988
6.968,0.992
6.998,0.991
7.028,0.988
7.058,0.991
7.088,0.998
7.118,0.991
7.148,0.984
7.178,0.996
7.208,0.995
7.238,0.989
7.268,0.989
7.298,0.981
7.328,0.995
7.358,0.999
7.388,0.988
7.418,0.986
7.448,0.990
7.478,0.991
7.508,0.994
7.538,0.990
7.568,0.998
7.598,0.992
7.628,0.990
7.658,0.989
7.688,0.987
7.718,0.985
7.748,0.995
7.778,0.996
7.808,0.993
7.838,0.992
7.868,0.995
7.898,0.995
7.928,0.984
7.958,0.997
7.988,0.995
8.018,0.988
8.048,0.992
8.078,0.993
8.108,0.991
8.138,0.986
8.168,0.995
8.198,0.989
8.228,0.993
8.258,0.991
8.288,0.989
8.318,0.984
8.348,0.995
8.378,0.995
8.408,0.991
8.438,0.994
8.468,0.991
8.498,0.988
8.528,0.990
8.558,0.986
8.588,0.990
8.618,0.990
8.648,0.992
8.678,0.992
8.708,0.992
8.738,0.992
8.768,0.992
8.798,0.990
8.828,0.982
8.858,0.990
8.888,0.994
8.918,0.986
8.948,0.992
8.978,0.996
9.008,0.994
9.038,0.986
9.068,0.995
9.098,0.993
9.128,0.992
9.158,0.988
9.188,0.994
9.218,0.992
9.248,0.991
9.278,0.993
9.308,0.992
9.338,0.993
9.368,0.991
9.398,0.992
9.428,0.990
9.458,0.993
9.488,0.992
9.518,0.994
9.548,0.990
9.578,0.992
9.608,0.991
9.638,0.990
9.668,0.994
9.698,0.991
9.728,0.989
9.758,0.991
9.788,1.002
9.818,0.986
9.848,0.992
9.878,0.991
9.908,0.992
9.938,0.996
9.968,0.991
9.998,0.992
10.028,0.994
10.058,0.994
10.088,0.990
10.118,0.989
10.148,0.995
10.178,0.994
10.208,0.992
10.238,0.993
10.268,0.991
10.298,0.990
10.328,0.987
10.358,0.990
10.388,0.989
10.418,0.989
10.448,0.992
10.478,0.992
10.508,0.997
10.538,0.993
10.568,0.993
10.598,0.995
10.628,0.993
10.658,0.995
10.688,0.997
10.718,0.994
10.748,0.990
10.778,1.001
10.808,0.990
10.838,0.995
10.868,0.992
10.898,0.993
10.928,0.993
10.958,0.989
10.988,0.989
11.018,0.992
11.048,0.997
11.078,0.990
11.108,0.995
11.138,0.997
11.168,0.994
11.198,0.995
11.228,0.996
11.258,0.994
11.288,0.992
11.318,0.996
11.348,0.998
11.378,0.994
11.408,0.994
11.438,0.992
11.468,0.996
11.498,0.991
11.528,0.993
11.558,0.993
11.588,0.997
11.618,0.994
11.648,0.992
11.678,0.997
11.708,0.995
11.738,0.995
11.768,0.993
11.798,0.984
11.828,0.994
11.858,0.997
11.888,0.993
11.918,0.995
11.948,0.996
11.978,0.995
12.008,0.992
12.038,0.994
12.068,0.996
12.098,0.991
12.128,0.994
12.158,0.991
12.188,0.992
12.218,0.991
12.248,0.999
12.278,0.996
12.308,0.994
12.338,0.995
12.368,0.999
12.398,0.997
12.428,0.993
12.458,0.994
12.488,0.990
12.518,0.996
12.548,0.997
12.578,0.991
12.608,0.994
12.638,0.998
12.668,0.998
12.698,0.996
12.728,0.984
12.758,0.995
12.788,0.988
12.818,0.997
12.848,0.998
12.878,0.994
12.908,0.990
12.938,0.993
12.968,0.993
12.998,0.989
13.028,0.998
13.058,0.996
13.088,0.992
13.118,0.998
13.148,0.993
13.178,0.992
13.208,0.995
13.238,0.998
13.268,0.990
13.298,0.990
13.328,0.995
13.358,0.993
13.388,0.992
13.418,0.996
13.448,0.994
13.478,0.993
13.508,0.994
13.538,0.990
13.568,0.995
13.598,0.995
13.628,0.996
13.658,0.991
13.688,0.993
13.718,1.005
13.748,0.988
13.778,0.996
13.808,0.996
13.838,0.993
13.868,0.992
13.898,0.999
13.928,0.995
13.958,0.995
13.988,1.000
14.018,0.985
14.048,0.998
14.078,1.000
14.108,0.989
14.138,0.992
14.168,0.997
14.198,0.994
14.228,0.998
14.258,0.999
14.288,0.996
14.318,0.995
14.348,0.993
14.378,0.996
14.408,0.993
14.438,0.993
14.468,1.000
14.498,0.995
14.528,0.993
14.558,0.981
14.588,0.997
14.618,0.995
