df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,quality
15.518,55
16.698,59
17.672,53
18.452,58
19.717,54
20.594,62
21.475,57
22.647,62
23.574,66
24.449,61
25.724,59
26.497,58
27.429,59
28.594,62
29.767,68
30.398,66
31.713,71
32.524,62
33.371,68
34.542,55
35.764,48
36.346,42
37.565,43
38.443,44
39.368,49
40.540,54
41.465,62
42.391,66
43.512,73
44.390,75
45.316,74
46.486,74
47.364,72
48.294,71
49.462,73
50.636,77
51.311,70
52.629,69
53.361,70
54.333,66
55.408,71
56.339,70
57.359,75
58.574,71
59.600,67
60.188,67
61.454,61
62.283,64
63.308,66
64.381,65
65.257,54
66.183,19
67.429,22
68.231,23
69.181,24
70.376,24
71.254,31
72.181,32
73.350,62
74.227,65
75.106,69
76.324,65
77.205,60
78.319,59
79.299,61
80.323,63
81.053,60
82.321,62
83.293,60
84.173,56
85.295,59
86.132,54
87.050,50
88.370,61
89.099,60
90.170,62
91.195,67
92.120,47
92.998,49
94.207,44
95.096,43
95.973,50
97.191,50
98.069,62
99.238,69
100.217,60
101.043,59
101.923,62
103.140,56
104.065,58
104.943,66
106.304,68
107.030,70
107.917,61
109.087,54
110.013,50
111.046,45
112.160,28
113.087,35
113.872,40
115.330,35
116.156,35
116.841,49
118.070,55
118.935,53
119.812,54
121.324,59
122.006,57
122.786,57
124.005,54
124.932,61
125.810,66
127.174,65
127.859,63
128.785,66
130.200,73
130.835,66
131.796,67
132.928,69
133.931,70
134.731,69
136.048,66
136.828,69
137.710,63
138.981,64
139.802,64
140.680,62
141.900,63
142.776,68
143.654,68
144.884,62
145.752,66
146.703,69
147.846,67
148.725,66
149.650,68
151.116,72
151.747,64
152.943,62
153.799,63
154.725,54
155.893,53
156.911,55
157.695,58
158.572,57
159.793,49
160.669,49
161.787,37
162.765,31
163.935,33
164.715,32
165.740,34
166.618,36
167.644,45
168.759,51
169.608,64
170.565,68
172.078,65
172.614,65
173.523,59
175.003,61
175.588,56
176.465,59
177.685,61
178.562,63
179.439,59
180.707,58
181.538,57
182.661,57
183.632,62
184.558,68
185.728,70
186.703,66
187.520,65
188.389,61
189.545,62
190.749,70
191.522,68
192.490,71
193.410,65
194.282,66
195.543,64
196.610,48
197.347,54
198.456,49
199.525,53
200.253,48
201.465,64
202.345,60
203.172,65
204.438,61
205.266,51
206.188,53
207.357,61
208.233,59
209.158,65
210.518,73
211.541,76
212.128,78
213.442,72
214.270,73
215.194,70
216.314,69
217.440,70
218.165,66
219.289,27
220.167,0
221.046,0
222.308,0
223.186,2
224.067,5
225.240,0
226.116,4
227.042,0
228.305,26
229.138,26
230.109,25
231.246,29
232.063,26
232.988,31
234.158,27
235.035,24
235.962,29
237.131,0
238.152,0
238.983,0
240.105,0
241.030,29
241.910,41
243.077,35
244.196,24
244.881,25
246.051,0
246.979,11
247.856,11
249.267,12
250.141,15
250.833,31
252.045,36
252.922,42
253.800,42
255.019,16
255.895,15
256.870,11
258.183,10
259.014,0
259.794,5
261.155,4
273.842,50
274.706,50
276.168,41
276.753,23
277.775,18
278.848,0
279.725,26
280.602,0
282.067,0
282.699,0
283.620,28
284.794,0
285.674,0
286.644,0
287.769,0
288.646,0
289.716,0
290.743,0
291.620,0
292.547,0
293.717,34
294.644,0
295.716,18
296.691,10
297.618,19
298.495,15
299.717,0
300.835,0
301.518,0
302.843,23
303.565,0
304.443,25
305.662,0
306.537,0
326.525,50
327.695,44
328.329,47
329.544,32
330.468,20
331.302,16
332.474,20
333.449,17
334.372,0
335.445,0
336.662,0
337.248,0
338.565,28
339.390,19
340.270,26
341.489,33
342.317,30
343.486,0
344.705,0
345.290,0
346.262,0
347.626,0
348.313,8
349.432,6
350.405,2
351.505,11
352.208,8
353.426,3
354.553,0
355.136,39
356.351,38
357.233,22
358.158,0
359.327,0
360.204,19
361.127,19
362.302,10
363.177,0
364.054,0
365.572,0
366.245,0
367.126,38
368.246,32
369.169,33
370.120,36
371.413,24
372.143,22
373.024,0
374.191,5
375.409,0
375.995,26
377.166,0
378.141,0
379.111,0
380.285,0
381.064,0
381.990,0
383.159,35
384.036,41
384.915,45
386.524,40
387.010,31
387.987,45
389.105,33
390.028,34
390.908,29
392.078,36
392.957,39
393.882,37
395.050,33
395.927,40
397.145,44
398.069,15
399.095,2
399.827,0
400.996,0
401.970,0
403.091,29
403.971,29
405.138,31
406.018,27
406.990,35
407.914,22
408.745,0
409.989,0
410.986,0
411.815,7
412.937,9
413.815,15
414.742,14
415.913,15
416.790,13
417.716,15
418.887,0
419.814,1
420.692,0
422.008,33
422.791,31
423.669,25
424.836,27
425.812,0
426.642,30
427.960,27
429.030,11
429.810,0
430.837,0
432.005,34
432.641,33
433.816,27
434.928,31
435.662,29
437.122,23
437.714,31
438.592,48
439.759,45
440.782,49
441.565,52
442.779,52
443.662,68
444.537,65
445.759,71
446.931,75
447.511,60
448.731,39
449.705,30
450.534,25
451.705,34
452.582,42
453.508,59
454.680,58
455.654,47
456.482,31
457.653,49
458.579,62
459.553,65
460.627,71
