df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,acc_mag
4.442,1.026
4.472,1.029
4.502,1.026
4.532,1.032
4.562,1.032
4.592,1.034
4.622,1.030
4.652,1.033
4.682,1.029
4.712,1.020
4.742,1.026
4.772,1.033
4.802,1.036
4.832,1.036
4.862,1.022
4.892,1.019
4.922,1.026
4.952,1.032
4.982,1.038
5.012,1.032
5.042,1.028
5.072,1.033
5.102,1.032
5.132,1.028
5.162,1.033
5.192,1.029
5.222,1.027
5.252,1.029
5.282,1.030
5.312,1.034
5.342,1.032
5.372,1.031
5.402,1.025
5.432,1.024
5.462,1.028
5.492,1.029
5.522,1.034
5.552,1.037
5.582,1.023
5.612,1.023
5.642,1.027
5.672,1.032
5.702,1.036
5.732,1.026
5.762,1.026
5.792,1.025
5.822,1.029
5.852,1.030
5.882,1.027
5.912,1.028
5.942,1.028
5.972,1.025
6.002,1.027
6.032,1.032
6.062,1.029
6.092,1.028
6.122,1.031
6.152,1.032
6.182,1.030
6.212,1.025
6.242,1.025
6.272,1.029
6.302,1.034
6.332,1.036
6.362,1.026
6.392,1.026
6.422,1.025
6.452,1.031
6.482,1.032
6.512,1.033
6.542,1.034
6.572,1.023
6.602,1.036
6.632,1.029
6.662,1.026
6.692,1.030
6.722,1.028
6.752,1.028
6.782,1.032
6.812,1.031
6.842,1.031
6.872,1.029
6.902,1.027
6.932,1.031
6.962,1.033
6.992,1.029
7.022,1.024
7.052,1.029
7.082,1.032
7.112,1.038
7.142,1.033
7.172,1.023
7.202,1.023
7.232,1.027
7.262,1.035
7.292,1.035
7.322,1.034
7.352,1.021
7.382,1.035
7.412,1.037
7.442,1.029
7.472,1.026
7.502,1.027
7.532,1.031
7.562,1.034
7.592,1.031
7.622,1.028
7.652,1.027
7.682,1.029
7.712,1.030
7.742,1.029
7.772,1.021
7.802,1.026
7.832,1.032
7.862,1.037
7.892,1.037
7.922,1.025
7.952,1.021
7.982,1.028
8.012,1.032
8.042,1.035
8.072,1.034
8.102,1.026
8.132,1.028
8.162,1.033
8.192,1.026
8.222,1.025
8.252,1.031
8.282,1.029
8.312,1.030
8.342,1.031
8.372,1.029
8.402,1.035
8.432,1.035
8.462,1.033
8.492,1.028
8.522,1.024
8.552,1.030
8.582,1.034
8.612,1.037
8.642,1.030
8.672,1.021
8.702,1.025
8.732,1.028
8.762,1.034
8.792,1.032
8.822,1.029
8.852,1.027
8.882,1.032
8.912,1.030
8.942,1.027
8.972,1.032
9.002,1.027
9.032,1.030
9.062,1.030
9.092,1.030
9.122,1.032
9.152,1.030
9.182,1.031
9.212,1.029
9.242,1.022
9.272,1.025
9.302,1.031
9.332,1.040
9.362,1.038
9.392,1.024
9.422,1.023
9.452,1.027
9.482,1.036
9.512,1.033
9.542,1.032
9.572,1.027
9.602,1.032
9.632,1.033
9.662,1.027
9.692,1.029
9.722,1.030
9.752,1.031
9.782,1.028
9.812,1.029
9.842,1.026
9.872,1.027
9.902,1.032
9.932,1.032
9.962,1.030
9.992,1.022
10.022,1.021
10.052,1.027
10.082,1.034
10.112,1.034
10.142,1.030
10.172,1.024
10.202,1.028
10.232,1.032
10.262,1.033
10.292,1.031
10.322,1.035
10.352,1.026
10.382,1.031
10.412,1.032
10.442,1.028
10.472,1.030
10.502,1.025
10.532,1.028
10.562,1.029
10.592,1.025
10.622,1.030
10.652,1.030
10.682,1.031
10.712,1.026
10.742,1.032
10.772,1.031
10.802,1.031
10.832,1.025
10.862,1.025
10.892,1.027
10.922,1.038
10.952,1.036
10.982,1.023
11.012,1.022
11.042,1.028
11.072,1.032
11.102,1.035
11.132,1.032
11.162,1.027
11.192,1.026
11.222,1.033
11.252,1.030
11.282,1.030
11.312,1.029
11.342,1.026
11.372,1.030
11.402,1.032
11.432,1.033
11.462,1.030
11.492,1.029
11.522,1.027
11.552,1.028
11.582,1.033
11.612,1.029
11.642,1.022
11.672,1.025
11.702,1.029
11.732,1.039
11.762,1.042
11.792,1.027
11.822,1.022
11.852,1.024
11.882,1.030
11.912,1.033
11.942,1.031
11.972,1.030
12.002,1.025
12.032,1.036
12.062,1.034
12.092,1.024
12.122,1.032
12.152,1.031
12.182,1.029
12.212,1.029
12.242,1.031
12.272,1.030
12.302,1.035
12.332,1.031
12.362,1.028
12.392,1.026
12.422,1.030
12.452,1.034
12.482,1.035
12.512,1.038
12.542,1.022
12.572,1.021
12.602,1.027
12.632,1.032
12.662,1.037
12.692,1.036
12.722,1.026
12.752,1.033
12.782,1.034
12.812,1.031
12.842,1.031
12.872,1.032
12.902,1.029
12.932,1.027
12.962,1.029
12.992,1.034
13.022,1.036
13.052,1.036
13.082,1.030
13.112,1.022
13.142,1.031
13.172,1.031
13.202,1.042
13.232,1.032
13.262,1.020
13.292,1.021
13.322,1.030
13.352,1.035
13.382,1.037
13.412,1.035
13.442,1.029
13.472,1.031
13.502,1.028
13.532,1.029
13.562,1.028
13.592,1.030
13.622,1.029
13.652,1.028
13.682,1.030
13.712,1.032
13.742,1.027
13.772,1.027
13.802,1.033
