df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,acc_mag
5.656,1.025
5.686,1.029
5.716,1.033
5.746,1.043
5.776,1.039
5.806,1.027
5.836,1.032
5.866,1.038
5.896,1.035
5.926,1.034
5.956,1.036
5.986,1.022
6.016,1.030
6.046,1.031
6.076,1.038
6.106,1.034
6.136,1.018
6.166,1.072
6.196,0.975
6.226,1.125
6.256,1.027
6.286,1.029
6.316,1.021
6.346,1.055
6.376,1.032
6.406,1.029
6.436,1.028
6.466,1.037
6.496,1.031
6.526,1.026
6.556,1.035
6.586,1.025
6.616,1.026
6.646,1.032
6.676,1.016
6.706,1.021
6.736,1.030
6.766,1.033
6.796,1.035
6.826,1.044
6.856,1.070
6.886,1.084
6.916,1.034
6.946,1.020
6.976,1.026
7.006,0.986
7.036,1.015
7.066,1.063
7.096,1.011
7.126,1.037
7.156,1.076
7.186,1.010
7.216,1.027
7.246,1.062
7.276,1.042
7.306,1.048
7.336,1.065
7.366,1.068
7.396,1.060
7.426,1.077
7.456,1.040
7.486,1.018
7.516,1.059
7.546,1.077
7.576,1.049
7.606,1.014
7.636,1.043
7.666,1.052
7.696,1.039
7.726,1.061
7.756,1.067
7.786,1.023
7.816,1.015
7.846,1.032
7.876,1.037
7.906,1.020
7.936,1.023
7.966,1.046
7.996,1.040
8.026,1.034
8.056,1.026
8.086,1.038
8.116,1.032
8.146,1.030
8.176,1.040
8.206,1.040
8.236,1.046
8.266,1.041
8.296,1.047
8.326,1.045
8.356,1.039
8.386,1.033
8.416,1.037
8.446,1.035
8.476,1.039
8.506,1.036
8.536,1.039
8.566,1.042
8.596,1.043
8.626,1.034
8.656,1.035
8.686,1.042
8.716,1.038
8.746,1.036
8.776,1.034
8.806,1.035
8.836,1.034
8.866,1.034
8.896,1.039
8.926,1.042
8.956,1.045
8.986,1.037
9.016,1.032
9.046,1.033
9.076,1.037
9.106,1.044
9.136,1.050
9.166,1.035
9.196,1.019
9.226,1.031
9.256,1.045
9.286,1.039
9.316,1.035
9.346,1.034
9.376,1.032
9.406,1.038
9.436,1.042
9.466,1.041
9.496,1.035
9.526,1.042
9.556,1.050
9.586,1.026
9.616,1.045
9.646,1.037
9.676,1.013
9.706,1.028
9.736,1.019
9.766,1.045
9.796,1.048
9.826,1.063
9.856,1.045
9.886,1.025
9.916,1.039
9.946,1.022
9.976,1.038
10.006,1.025
10.036,1.033
10.066,1.046
10.096,1.023
10.126,1.006
10.156,1.027
10.186,1.027
10.216,1.037
10.246,1.041
10.276,1.020
10.306,1.034
10.336,1.119
10.366,1.048
10.396,1.036
10.426,1.037
10.456,1.044
10.486,1.021
10.516,0.996
10.546,1.015
10.576,1.027
10.606,1.049
10.636,1.018
10.666,1.104
10.696,1.079
10.726,1.034
10.756,1.044
10.786,1.030
10.816,1.017
10.846,1.030
10.876,1.036
10.906,1.045
10.936,1.051
10.966,1.047
10.996,1.014
11.026,0.980
11.056,1.039
11.086,1.033
11.116,1.036
11.146,1.018
11.176,1.025
11.206,1.017
11.236,1.044
11.266,1.067
11.296,1.079
11.326,1.092
11.356,1.058
11.386,1.029
11.416,1.018
11.446,1.019
11.476,1.036
11.506,1.056
11.536,1.057
11.566,1.073
11.596,1.053
11.626,1.041
11.656,1.027
11.686,1.034
11.716,1.042
11.746,1.040
11.776,1.032
11.806,1.053
11.836,1.060
11.866,1.054
11.896,1.053
11.926,1.053
11.956,1.036
11.986,1.023
12.016,1.029
12.046,1.025
12.076,1.024
12.106,1.027
12.136,1.021
12.166,1.036
12.196,1.040
12.226,1.040
12.256,1.039
12.286,1.037
12.316,1.042
12.346,1.039
12.376,1.037
12.406,1.048
12.436,1.054
12.466,1.041
12.496,1.033
12.526,1.026
12.556,1.024
12.586,1.031
12.616,1.029
12.646,1.047
12.676,1.046
12.706,1.040
12.736,1.034
12.766,1.033
12.796,1.037
12.826,1.040
12.856,1.037
12.886,1.035
12.916,1.036
12.946,1.033
12.976,1.037
13.006,1.038
13.036,1.041
13.066,1.038
13.096,1.037
13.126,1.037
13.156,1.039
13.186,1.033
13.216,1.031
13.246,1.035
13.276,1.036
13.306,1.038
13.336,1.038
13.366,1.040
13.396,1.042
13.426,1.041
13.456,1.039
13.486,1.051
13.516,1.040
13.546,1.037
13.576,1.027
13.606,1.034
13.636,1.042
13.666,1.039
13.696,1.035
13.726,1.022
13.756,1.029
13.786,1.039
13.816,1.028
13.846,1.016
13.876,1.063
13.906,1.046
13.936,1.024
13.966,1.051
13.996,1.103
14.026,1.015
14.056,1.032
14.086,1.054
14.116,1.017
14.146,1.047
14.176,1.018
14.206,1.043
14.236,1.117
14.266,1.047
14.296,1.076
14.326,1.076
14.356,1.011
14.386,1.028
14.416,1.015
14.446,1.012
14.476,1.020
14.506,1.031
14.536,1.065
14.566,1.033
14.596,1.012
14.626,1.061
14.656,0.932
14.686,0.911
14.716,1.040
14.746,1.005
14.776,1.010
14.806,0.927
14.836,0.979
14.866,1.062
14.896,1.024
14.926,1.027
14.956,1.086
14.986,1.042
15.016,1.051
