df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,rr_int
10.682,4195
11.365,655
11.660,720
11.757,265
11.760,10
12.049,10
12.586,320
13.328,630
13.851,655
14.534,615
14.828,590
15.264,395
15.947,415
17.327,630
18.141,1430
19.559,830
21.066,1345
21.749,1580
22.480,730
23.308,715
23.991,785
24.674,695
25.405,705
26.127,685
26.623,700
27.355,660
28.037,680
28.866,730
29.549,765
30.672,775
31.109,750
31.791,720
32.619,750
33.306,755
34.131,795
35.008,835
35.886,845
36.667,845
37.494,845
38.376,835
39.006,765
39.835,760
40.566,770
41.395,785
42.226,785
42.955,780
43.588,775
44.417,725
45.148,805
45.831,710
46.660,695
47.345,760
48.037,715
48.756,750
49.591,750
50.267,725
50.950,705
51.681,725
52.512,800
53.338,820
54.167,820
54.850,770
55.532,710
56.266,715
56.946,695
57.628,720
58.317,730
59.042,670
59.754,680
60.407,680
61.090,715
61.821,710
62.357,675
62.894,620
63.625,605
64.161,570
64.990,645
65.818,845
66.648,835
67.526,840
68.451,875
69.329,905
70.256,925
71.133,910
72.111,905
72.936,875
73.769,870
74.593,850
75.422,840
76.105,810
76.934,800
77.762,805
78.596,795
79.335,795
80.154,805
81.126,840
81.955,870
82.783,860
83.615,855
84.344,830
85.123,800
85.855,760
86.689,745
87.366,750
88.195,780
89.050,845
89.999,885
90.827,900
91.656,875
92.490,860
93.366,815
94.045,790
94.878,795
95.702,830
96.531,830
97.400,850
98.189,840
99.028,855
99.895,845
100.724,810
101.552,795
102.381,810
103.242,825
104.039,840
104.867,860
105.696,845
106.499,810
107.305,785
107.939,760
108.767,755
109.598,800
110.425,855
111.254,885
112.082,835
112.911,795
113.799,850
114.618,870
115.446,865
116.281,855
117.109,820
117.786,770
118.518,735
119.346,750
120.175,785
120.857,795
121.688,805
122.515,800
123.201,790
123.930,760
124.669,740
125.297,685
126.025,675
126.708,695
127.390,690
127.926,660
128.686,655
129.486,695
130.170,720
130.851,765
131.681,750
132.411,740
133.121,735
133.776,710
134.459,690
135.190,710
136.034,740
136.701,750
137.530,770
138.213,790
138.895,755
139.630,710
140.455,705
141.298,765
142.113,820
142.994,860
143.770,865
144.501,820
145.186,750
146.061,730
146.841,750
147.677,835
148.499,845
149.328,860
150.181,880
151.012,850
151.863,845
152.789,870
153.680,885
154.495,875
155.324,860
156.153,820
156.985,840
157.859,870
158.643,860
159.468,815
160.345,780
161.125,825
162.123,880
162.691,815
163.514,765
164.530,845
165.320,925
166.293,925
166.975,855
167.706,715
168.390,715
169.072,715
169.900,745
170.583,785
171.314,755
171.996,705
172.825,720
173.800,810
174.629,920
175.604,925
176.433,905
177.115,795
177.798,730
178.531,725
179.359,745
180.187,775
181.015,815
181.705,860
182.575,805
183.223,740
183.954,720
184.769,735
185.598,790
186.427,835
187.255,870
187.938,795
188.808,790
189.644,795
190.482,805
191.182,815
191.984,825
192.959,845
193.642,845
194.470,830
195.202,805
195.884,725
196.762,715
197.444,725
198.224,770
199.062,815
199.882,840
200.613,845
201.442,765
202.124,710
202.807,710
203.684,740
204.370,805
205.195,815
205.919,760
206.853,770
207.683,865
208.510,885
209.346,885
210.168,820
210.997,795
211.825,845
212.703,840
213.533,850
214.361,815
215.189,830
216.019,840
216.847,855
217.534,830
218.417,770
219.236,815
220.064,815
220.750,810
221.576,765
222.449,800
223.136,825
223.818,780
224.543,715
225.329,720
226.012,720
226.841,745
227.669,790
228.401,835
229.231,810
229.912,760
230.741,795
231.569,820
232.451,840
233.281,845
234.109,835
234.787,775
235.619,770
236.444,805
237.277,845
238.102,840
238.833,755
239.516,720
240.380,760
241.224,795
242.002,825
242.684,850
243.517,780
244.099,775
244.782,630
245.463,710
246.195,650
246.877,640
247.559,735
248.155,720
248.830,620
249.510,650
250.192,675
250.924,675
251.756,795
252.581,790
253.263,820
253.946,750
254.677,695
255.506,720
256.337,790
257.017,790
257.700,765
258.534,735
259.260,735
260.088,745
260.771,780
261.611,800
262.428,820
263.257,815
264.111,815
264.963,850
265.646,815
265.992,740
266.280,250
266.477,285
267.304,275
268.281,825
268.815,780
268.967,770
269.159,160
269.498,15
270.229,560
271.059,770
271.742,740
272.431,725
273.007,660
273.836,685
274.562,710
275.348,780
276.030,770
276.761,770
277.443,695
278.126,690
278.808,725
279.654,740
280.372,755
281.076,765
281.733,715
282.416,675
283.245,725
283.976,760
284.805,785
285.492,765
286.170,700
287.024,740
287.765,765
288.415,735
289.095,675
289.777,710
290.508,720
291.341,755
291.873,720
292.556,680
293.287,680
294.116,710
294.801,745
295.481,780
296.212,725
297.041,715
297.723,755
298.552,770
299.381,800
300.063,795
300.795,730
301.477,700
302.160,715
302.989,750
303.817,780
304.503,780
305.339,780
306.060,760
306.742,755
307.437,705
308.193,685
308.839,720
309.673,760
310.499,785
311.178,810
312.032,765
312.836,760
313.567,810
314.396,810
315.079,750
315.909,785
316.736,800
317.565,800
318.335,810
319.125,790
319.811,750
320.490,735
321.324,780
322.175,820
322.735,745
323.415,690
324.101,670
324.829,670
325.511,710
326.388,735
