df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,heart_rate
25.599,82
26.822,84
27.696,84
28.573,85
29.795,85
30.965,85
31.547,84
32.770,83
33.655,82
34.571,82
35.810,80
36.617,79
37.839,77
38.713,76
39.593,75
40.517,75
41.687,76
42.565,77
43.491,77
44.710,78
45.587,78
46.465,79
48.025,79
48.561,80
49.464,80
50.608,80
51.535,81
52.412,81
53.631,81
54.512,80
55.386,79
56.605,79
57.482,80
58.460,80
59.589,81
60.702,82
61.333,83
62.552,84
63.430,85
64.610,84
65.526,87
66.403,85
67.330,85
68.500,80
69.377,78
70.303,75
71.473,73
72.649,70
73.277,69
74.447,68
75.330,69
76.263,70
77.421,71
78.302,72
79.225,74
80.399,75
81.272,75
82.204,74
83.369,73
84.252,72
85.319,72
86.361,73
87.269,74
88.146,76
89.335,77
90.247,76
91.120,74
92.297,72
93.220,71
94.098,71
95.264,71
96.190,73
97.067,74
98.297,74
99.226,73
100.041,72
101.260,72
102.137,73
103.019,74
104.264,74
105.113,74
106.014,73
107.256,73
108.090,74
108.962,75
110.181,76
111.060,76
111.985,75
113.157,73
114.032,72
114.959,72
116.150,72
117.026,71
117.932,71
119.102,73
119.980,75
120.911,76
122.076,77
123.002,77
123.880,77
125.083,77
125.976,78
126.862,79
128.028,81
128.950,83
129.829,84
131.293,85
131.924,84
132.802,84
133.973,83
134.978,83
135.783,83
137.013,83
137.905,83
138.749,82
139.968,82
140.845,82
141.723,81
142.945,81
144.114,79
144.696,78
145.915,77
146.793,77
147.729,77
148.889,77
149.777,76
150.693,74
152.256,72
152.740,71
153.668,70
154.836,70
155.714,70
156.645,70
157.810,70
158.698,70
159.619,71
160.802,71
161.661,72
162.627,73
163.758,73
164.660,73
165.562,72
166.732,71
167.658,70
168.538,70
169.754,70
170.927,75
171.515,78
172.679,80
173.605,81
174.483,80
175.653,80
176.579,77
177.457,75
178.626,74
179.555,75
180.430,76
181.645,78
182.526,77
183.404,76
184.574,76
185.500,77
186.378,78
187.597,77
188.474,77
189.380,76
190.571,76
191.448,75
192.329,75
193.544,74
194.422,74
195.304,74
196.518,74
197.396,75
198.521,77
199.492,79
200.369,78
201.247,77
202.465,77
203.351,77
204.269,78
205.444,78
206.317,78
207.243,77
208.413,76
209.295,75
210.315,73
211.388,72
212.313,72
213.190,72
214.415,73
215.292,72
216.168,72
217.338,72
218.260,73
219.138,73
220.314,74
221.234,74
222.112,75
223.331,75
224.208,75
225.086,76
226.307,78
227.182,80
228.062,79
229.378,79
230.157,78
231.033,77
232.252,77
233.178,76
234.058,76
235.287,75
236.107,75
237.029,75
238.199,75
239.077,75
240.083,76
241.173,76
242.056,77
242.977,77
244.147,76
245.024,76
245.951,76
247.123,76
248.144,82
248.925,82
250.094,84
251.021,85
251.922,85
253.071,84
254.241,83
254.875,82
256.074,81
256.968,81
257.857,81
259.016,81
259.942,81
260.825,80
261.989,80
262.916,79
263.804,78
265.256,77
265.890,76
266.767,76
267.986,75
268.865,75
269.741,76
270.959,77
271.837,78
272.715,79
273.938,80
275.106,81
275.886,81
276.916,81
277.785,81
278.662,81
279.881,81
280.758,81
281.637,81
282.876,81
283.732,81
284.610,81
285.855,81
286.706,81
287.654,81
288.803,81
289.680,81
290.615,82
291.776,82
292.670,83
293.580,83
294.750,83
295.631,83
296.578,83
297.781,83
298.654,82
299.527,82
300.697,81
301.629,81
302.501,81
303.671,81
304.636,81
305.507,81
306.645,80
307.652,80
308.448,80
309.619,81
310.793,81
311.422,81
312.641,80
313.519,79
314.499,78
315.615,78
316.492,77
317.370,77
318.591,77
319.469,77
320.344,77
321.562,77
322.440,77
323.317,78
324.536,79
325.414,80
326.340,81
327.512,82
328.387,82
329.314,82
330.484,81
331.384,80
332.291,79
333.486,78
334.384,78
335.261,78
336.437,78
337.358,78
338.235,78
339.479,78
340.331,78
341.209,78
342.387,78
343.306,78
344.201,79
345.401,79
346.478,79
347.213,78
348.376,78
349.252,78
350.277,78
351.353,78
352.226,78
353.104,78
354.322,78
355.207,78
356.146,78
357.296,78
358.312,78
359.100,78
360.424,77
361.148,77
362.074,77
363.244,78
364.121,79
365.052,80
366.218,81
367.193,81
368.021,81
369.191,81
370.118,81
371.000,80
372.165,80
373.091,80
373.976,81
375.188,81
376.080,82
377.238,82
378.187,82
379.088,81
379.916,81
381.135,81
382.020,81
382.890,81
384.109,82
385.004,82
385.913,82
387.084,82
387.961,82
388.892,82
390.058,81
390.934,81
391.863,81
393.035,81
393.956,81
394.834,81
396.248,80
396.930,80
397.849,80
399.030,80
399.912,80
400.787,80
402.000,79
402.878,79
403.760,79
404.976,79
405.856,80
406.729,80
407.948,80
408.835,80
409.752,80
410.925,80
411.807,80
412.725,81
413.917,82
414.822,83
415.699,84
416.899,84
417.796,85
418.682,85
419.843,85
420.769,85
421.658,84
423.109,84
423.743,83
424.625,82
425.839,82
426.717,82
427.621,82
428.813,82
429.695,82
430.572,82
431.985,82
432.664,82
433.588,83
434.760,84
435.638,84
436.564,85
437.734,84
438.615,84
439.545,84
440.709,83
441.609,83
442.512,82
443.719,82
444.608,82
445.489,83
446.669,84
447.582,85
448.459,86
449.642,86
450.556,85
451.433,84
452.617,84
453.530,84
454.407,85
