df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,omega
31.842,0.574
32.769,0.564
33.360,0.563
34.284,0.563
35.064,0.559
36.087,0.555
36.687,0.559
37.550,0.555
38.428,0.555
39.110,0.555
40.820,0.559
41.450,0.555
42.253,0.554
42.965,0.554
46.712,0.554
47.399,0.554
49.793,0.555
50.371,0.554
51.003,0.552
51.779,0.550
52.715,0.550
53.491,0.552
54.223,0.552
54.918,0.550
55.686,0.552
57.789,0.554
58.366,0.554
59.244,0.555
60.462,0.561
61.151,0.561
61.876,0.561
62.511,0.568
62.956,0.580
63.678,0.589
64.366,0.589
65.145,0.585
67.576,0.585
75.623,0.585
76.258,0.585
77.089,0.585
77.818,0.585
78.667,0.585
79.375,0.585
80.306,0.585
81.183,0.571
82.203,0.565
82.939,0.564
83.671,0.567
84.362,0.564
85.179,0.564
85.909,0.561
86.794,0.557
87.427,0.556
88.296,0.556
89.086,0.556
90.246,0.556
90.980,0.559
91.715,0.561
92.542,0.562
93.419,0.563
94.097,0.565
94.980,0.567
95.814,0.568
96.593,0.568
97.413,0.569
98.296,0.571
99.120,0.572
99.959,0.573
100.879,0.573
101.713,0.576
102.439,0.578
103.259,0.580
104.202,0.582
104.923,0.583
105.751,0.585
106.535,0.586
107.503,0.586
108.088,0.588
108.931,0.588
109.626,0.590
110.480,0.591
111.306,0.593
112.238,0.593
112.966,0.595
113.848,0.597
114.864,0.600
115.647,0.600
116.346,0.600
117.306,0.600
117.843,0.600
118.573,0.600
119.597,0.603
120.278,0.603
120.910,0.601
121.708,0.603
122.570,0.606
123.253,0.609
123.941,0.609
124.767,0.612
125.351,0.612
126.126,0.612
126.857,0.610
127.692,0.612
128.027,0.612
128.710,0.613
129.541,0.613
130.195,0.615
131.008,0.616
131.732,0.621
132.466,0.626
133.157,0.627
133.928,0.631
134.611,0.636
135.250,0.636
136.081,0.636
136.855,0.637
137.588,0.637
138.284,0.638
139.050,0.637
139.649,0.638
140.511,0.638
141.353,0.638
142.311,0.638
143.090,0.638
143.825,0.638
144.557,0.638
145.293,0.638
146.119,0.637
147.096,0.637
147.728,0.637
148.564,0.637
149.394,0.636
150.314,0.636
151.041,0.636
151.933,0.636
152.944,0.635
153.726,0.634
154.554,0.634
155.429,0.631
156.333,0.629
157.045,0.629
158.106,0.629
158.697,0.629
159.618,0.629
160.357,0.629
161.328,0.629
162.139,0.629
162.841,0.629
163.667,0.629
164.659,0.630
165.338,0.630
166.345,0.633
167.033,0.637
167.953,0.641
168.412,0.641
169.127,0.641
170.004,0.641
170.639,0.641
171.371,0.641
172.152,0.641
172.883,0.641
173.812,0.641
177.135,0.640
177.950,0.637
178.563,0.636
179.409,0.636
180.242,0.634
181.324,0.632
182.049,0.630
182.678,0.626
183.258,0.618
184.196,0.613
184.924,0.610
185.649,0.607
186.483,0.606
187.311,0.605
188.189,0.602
188.919,0.602
189.700,0.600
190.531,0.600
191.213,0.599
192.283,0.597
193.014,0.597
193.713,0.595
194.526,0.595
195.257,0.595
195.940,0.595
196.847,0.595
197.691,0.594
198.279,0.594
199.213,0.594
199.937,0.594
200.667,0.594
201.500,0.594
202.180,0.595
202.961,0.595
203.931,0.598
204.434,0.598
205.297,0.600
205.937,0.601
206.864,0.602
207.738,0.603
208.810,0.603
209.494,0.603
210.225,0.603
211.053,0.603
211.980,0.604
212.862,0.604
213.557,0.604
214.414,0.603
215.291,0.603
216.166,0.602
216.902,0.601
217.594,0.600
218.468,0.600
219.290,0.599
220.220,0.599
220.779,0.599
221.632,0.598
222.701,0.597
223.202,0.597
223.879,0.596
224.559,0.596
225.398,0.596
226.070,0.597
226.895,0.597
227.681,0.596
228.557,0.597
229.313,0.597
230.064,0.597
230.798,0.597
231.625,0.597
232.555,0.597
233.335,0.597
234.163,0.597
234.844,0.598
235.691,0.598
236.750,0.598
237.342,0.598
238.153,0.598
238.888,0.599
239.671,0.599
240.420,0.600
241.271,0.599
242.055,0.600
242.837,0.600
243.718,0.601
247.713,0.601
248.300,0.602
253.317,0.601
254.005,0.602
255.758,0.602
256.359,0.602
257.169,0.602
257.855,0.602
258.685,0.601
259.320,0.599
260.242,0.599
260.823,0.598
261.666,0.582
262.630,0.563
263.310,0.559
264.140,0.559
266.044,0.559
273.937,0.556
274.579,0.556
275.695,0.556
276.277,0.555
276.851,0.555
277.499,0.556
278.181,0.556
278.866,0.556
279.696,0.556
280.428,0.558
281.114,0.560
281.893,0.560
282.572,0.562
283.300,0.562
284.034,0.561
284.859,0.559
285.587,0.559
286.225,0.561
287.068,0.559
287.838,0.557
288.471,0.557
289.150,0.556
289.934,0.556
290.612,0.556
291.399,0.553
292.205,0.551
292.667,0.551
293.342,0.550
294.269,0.550
295.100,0.548
295.630,0.548
296.315,0.548
297.205,0.548
297.780,0.548
298.653,0.548
299.438,0.547
300.216,0.548
300.923,0.547
301.628,0.548
302.213,0.547
303.173,0.546
303.874,0.547
304.597,0.546
305.435,0.546
306.116,0.544
306.797,0.544
307.555,0.542
308.261,0.542
308.994,0.542
309.795,0.544
