df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,ppg_med
15.661,-1567
15.686,-1627
15.711,-1630
15.736,-1624
15.761,-1660
15.786,-1745
15.811,-1857
15.836,-1980
15.861,-2094
15.886,-2156
15.911,-2121
15.936,-2011
15.961,-1903
15.986,-1838
16.011,-1715
16.036,-1354
16.061,-664
16.086,243
16.111,1157
16.136,1956
16.161,2688
16.186,3431
16.211,4154
16.236,4760
16.261,5264
16.286,5824
16.311,6517
16.336,7096
16.361,7088
16.386,6241
16.411,4903
16.436,3891
16.461,3898
16.486,4925
16.511,6262
16.536,6994
16.561,6632
16.586,5393
16.611,4027
16.636,3356
16.661,3801
16.686,5123
16.711,6526
16.736,7130
16.761,6534
16.786,5029
16.811,3240
16.836,1489
16.861,-479
16.886,-3106
16.911,-6343
16.936,-9431
16.961,-11430
16.986,-11991
17.011,-11559
17.036,-10843
17.061,-10144
17.086,-9275
17.111,-8085
17.136,-6913
17.161,-6429
17.186,-7040
17.211,-8527
17.236,-10248
17.261,-11574
17.286,-12084
17.311,-11499
17.336,-9718
17.361,-7084
17.386,-4432
17.411,-2518
17.436,-1173
17.461,881
17.486,5101
17.511,11817
17.536,19835
17.561,27392
17.586,32767
17.611,32767
17.636,32767
17.661,32767
17.686,32767
17.711,27486
17.736,15208
17.761,2783
17.786,-7009
17.811,-13125
17.836,-16180
17.861,-17321
17.886,-17315
17.911,-16521
17.936,-15296
17.961,-14099
17.986,-13197
18.011,-12458
18.036,-11583
18.061,-10449
18.086,-9151
18.111,-7756
18.136,-6204
18.161,-4545
18.186,-3150
18.211,-2498
18.236,-2685
18.261,-3253
18.286,-3606
18.311,-3589
18.336,-3548
18.361,-3814
18.386,-4232
18.411,-4301
18.436,-3734
18.461,-2758
18.486,-1813
18.511,-1052
18.536,-253
18.561,783
18.586,1903
18.611,2741
18.636,3152
18.661,3385
18.686,3784
18.711,4402
18.736,4981
18.761,5280
18.786,5334
18.811,5355
18.836,5451
18.861,5543
18.886,5530
18.911,5449
18.936,5407
18.961,5399
18.986,5290
19.011,4982
19.036,4541
19.061,4113
19.086,3740
19.111,3341
19.136,2863
19.161,2399
19.186,2088
19.211,1921
19.236,1720
19.261,1335
19.286,816
19.311,351
19.336,44
19.361,-179
19.386,-430
19.411,-665
19.436,-710
19.461,-466
19.486,-50
19.511,312
19.536,502
19.561,584
19.586,678
19.611,802
19.636,866
19.661,807
19.686,672
19.711,563
19.736,517
19.761,492
19.786,432
19.811,329
19.836,212
19.861,84
19.886,-86
19.911,-332
19.936,-663
19.961,-1073
19.986,-1548
20.011,-2067
20.036,-2608
20.061,-3178
20.086,-3818
20.111,-4541
20.136,-5252
20.161,-5761
20.186,-5915
20.211,-5740
20.236,-5418
20.261,-5113
20.286,-4818
20.311,-4399
20.336,-3769
20.361,-2975
20.386,-2104
20.411,-1137
20.436,46
20.461,1501
20.486,3072
20.511,4453
20.536,5398
20.561,5862
20.586,5970
20.611,5875
20.636,5674
20.661,5420
20.686,5153
20.711,4891
