df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,perfusion_ir
31.797,0.500
32.766,0.500
33.356,0.500
34.280,0.500
35.060,0.510
36.084,0.510
36.682,0.510
37.546,0.520
38.425,0.520
39.106,0.530
40.812,0.550
41.447,0.520
42.242,0.550
42.961,0.550
46.708,0.570
47.394,0.570
49.788,0.570
50.364,0.570
50.998,0.570
51.734,0.570
52.712,0.570
53.488,0.580
54.218,0.580
54.904,0.570
55.681,0.560
57.777,0.560
58.363,0.550
59.240,0.530
60.459,0.520
61.144,0.510
61.872,0.510
62.506,0.500
62.945,0.490
63.674,0.480
64.359,0.460
65.139,0.460
67.542,0.460
75.620,0.480
76.251,0.490
77.084,0.500
77.814,0.500
78.654,0.490
79.371,0.490
80.302,0.490
81.178,0.490
82.198,0.500
82.933,0.500
83.667,0.510
84.355,0.510
85.175,0.510
85.906,0.500
86.787,0.500
87.420,0.500
88.293,0.500
89.080,0.500
90.242,0.510
90.976,0.510
91.708,0.510
92.537,0.500
93.415,0.500
94.093,0.500
94.977,0.490
95.803,0.500
96.584,0.500
97.407,0.500
98.286,0.500
99.115,0.500
99.948,0.500
100.873,0.500
101.702,0.500
102.433,0.500
103.251,0.510
104.188,0.520
104.919,0.520
105.747,0.520
106.531,0.520
107.311,0.520
108.085,0.520
108.919,0.520
109.622,0.520
110.476,0.520
111.303,0.520
112.232,0.510
112.963,0.500
113.843,0.500
114.625,0.500
115.644,0.490
116.338,0.490
117.302,0.480
117.838,0.480
118.569,0.470
119.593,0.470
120.273,0.470
120.906,0.470
121.705,0.470
122.567,0.460
123.250,0.460
123.936,0.450
124.764,0.450
125.348,0.440
126.031,0.430
126.854,0.430
127.686,0.420
128.024,0.420
128.707,0.420
129.538,0.420
130.187,0.420
131.002,0.420
131.687,0.420
132.463,0.420
133.150,0.420
133.925,0.410
134.608,0.400
135.242,0.390
136.075,0.390
136.850,0.390
137.581,0.390
138.265,0.390
139.044,0.390
139.643,0.390
140.507,0.380
141.346,0.380
142.308,0.390
143.002,0.390
143.822,0.400
144.553,0.390
145.290,0.390
146.113,0.380
147.090,0.380
147.724,0.380
148.552,0.380
149.383,0.380
150.308,0.390
151.034,0.390
151.919,0.390
152.938,0.400
153.718,0.400
154.547,0.410
155.424,0.410
156.314,0.410
157.039,0.410
157.866,0.410
158.692,0.410
159.614,0.410
160.354,0.410
161.322,0.410
162.134,0.420
162.837,0.420
163.663,0.420
164.646,0.410
165.335,0.410
166.342,0.410
167.027,0.410
167.713,0.410
168.405,0.400
169.123,0.390
170.001,0.390
170.635,0.380
171.366,0.370
172.146,0.370
172.877,0.370
173.807,0.370
177.121,0.360
177.947,0.360
178.551,0.360
179.365,0.350
180.238,0.350
181.311,0.350
182.045,0.350
182.582,0.350
183.230,0.340
184.191,0.340
184.920,0.330
185.611,0.340
186.478,0.340
187.307,0.340
188.184,0.340
188.916,0.340
189.696,0.340
190.528,0.340
191.206,0.340
192.279,0.340
193.011,0.350
193.695,0.350
194.522,0.360
195.253,0.360
195.936,0.360
196.818,0.360
197.467,0.350
198.273,0.360
199.208,0.360
199.933,0.370
200.664,0.370
201.490,0.370
202.176,0.360
202.957,0.360
203.696,0.360
204.430,0.360
205.293,0.350
205.933,0.350
206.859,0.330
207.733,0.330
208.806,0.330
209.491,0.330
210.220,0.330
211.048,0.320
211.975,0.330
212.854,0.340
213.553,0.350
214.409,0.350
215.287,0.350
216.027,0.350
216.898,0.350
217.589,0.370
218.464,0.380
219.285,0.380
220.213,0.390
220.772,0.400
221.627,0.400
222.462,0.400
223.190,0.400
223.870,0.410
224.550,0.410
225.383,0.410
226.063,0.410
226.892,0.410
227.677,0.410
228.550,0.410
229.282,0.410
230.061,0.410
230.794,0.400
231.621,0.400
232.551,0.400
233.330,0.400
234.159,0.400
234.840,0.400
235.684,0.400
236.743,0.400
237.335,0.400
238.109,0.400
238.885,0.400
239.665,0.390
240.401,0.390
241.230,0.390
242.051,0.390
242.833,0.390
243.715,0.370
247.708,0.350
248.296,0.350
253.312,0.350
254.000,0.350
255.752,0.350
256.352,0.350
257.166,0.350
257.848,0.350
258.681,0.350
259.315,0.350
260.237,0.350
260.819,0.350
261.663,0.350
262.626,0.360
263.306,0.360
264.135,0.360
266.009,0.360
273.933,0.360
274.574,0.370
275.691,0.380
276.274,0.380
276.815,0.390
277.495,0.380
278.178,0.380
278.862,0.380
279.692,0.390
280.422,0.390
281.108,0.400
281.883,0.400
282.565,0.400
283.296,0.400
284.027,0.400
284.853,0.400
285.556,0.390
286.221,0.390
287.061,0.390
287.810,0.400
288.467,0.400
289.146,0.390
289.930,0.380
290.606,0.380
291.394,0.380
292.172,0.380
292.654,0.380
293.336,0.370
294.265,0.370
295.097,0.370
295.627,0.370
296.312,0.370
297.191,0.370
297.776,0.380
298.650,0.380
299.433,0.380
300.213,0.380
300.900,0.380
301.623,0.380
302.209,0.380
303.140,0.380
303.870,0.390
304.554,0.390
305.429,0.400
306.111,0.400
306.794,0.400
307.515,0.400
308.257,0.400
308.988,0.400
