df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,quality
25.605,54
27.065,71
27.700,69
28.577,73
29.995,71
30.974,57
31.550,64
32.918,76
33.892,78
34.582,74
35.814,65
36.620,70
37.842,79
38.718,77
39.691,79
40.524,73
41.693,78
42.568,82
43.494,80
44.713,82
45.591,76
46.468,79
48.029,82
48.569,83
49.584,81
50.612,77
51.538,79
52.417,79
53.635,70
54.560,67
55.390,74
56.608,68
57.486,59
58.463,70
59.725,71
60.705,75
61.337,76
62.556,79
63.433,70
64.618,46
65.529,49
66.407,29
67.333,40
68.503,53
69.381,73
70.307,82
71.477,78
72.653,82
73.281,84
74.451,82
75.333,80
76.300,82
77.424,77
78.591,83
79.228,82
80.410,83
81.276,80
82.252,80
83.372,81
84.295,83
85.322,85
86.683,71
87.272,68
88.149,80
89.611,72
90.294,60
91.123,68
92.485,77
93.225,84
94.289,77
95.267,73
96.203,79
97.071,85
98.386,81
99.310,87
100.048,85
101.266,83
102.143,82
103.066,79
104.283,82
105.314,79
106.281,84
107.260,80
108.234,76
108.966,70
110.185,78
111.159,73
111.988,68
113.204,80
114.036,80
114.962,81
116.275,81
117.104,82
117.937,81
119.106,62
119.984,69
121.009,83
122.080,78
123.006,84
123.883,83
125.150,74
125.980,66
126.954,63
128.075,72
128.954,80
129.880,82
131.297,73
131.927,65
132.815,77
134.220,85
135.047,77
136.019,78
137.240,80
137.972,77
138.755,78
139.972,84
140.849,77
141.728,76
142.990,64
144.119,56
144.700,71
145.918,74
146.797,64
147.819,70
148.892,69
150.061,67
150.700,77
152.261,85
152.746,83
153.676,86
154.840,87
155.717,83
156.692,82
157.816,82
158.788,83
159.909,83
161.030,79
161.665,81
162.685,78
163.761,81
164.785,77
165.565,69
166.735,66
167.661,64
168.785,44
169.757,38
170.931,56
171.707,80
172.684,82
173.609,80
174.486,63
175.659,40
176.582,50
177.462,66
178.630,47
179.755,47
180.434,68
181.698,73
182.543,73
183.407,73
184.578,69
185.504,67
186.381,74
187.607,59
188.478,74
189.384,82
190.578,82
191.451,83
192.621,81
193.547,85
194.425,83
195.307,88
196.523,69
197.399,58
198.525,74
199.495,71
200.372,65
201.255,77
202.469,69
203.640,61
204.272,65
205.882,73
206.325,73
207.247,80
208.430,76
209.339,68
210.318,77
211.731,79
212.318,80
213.194,83
214.656,85
215.338,86
216.172,83
217.529,86
218.264,85
219.141,82
220.457,81
221.240,82
222.117,85
223.353,84
224.211,81
225.089,79
226.453,72
227.187,71
228.257,72
229.384,63
230.302,76
231.036,79
232.257,82
233.197,80
234.104,79
235.291,81
236.299,76
237.033,80
238.203,79
239.081,77
240.296,73
241.177,71
242.151,76
242.980,70
244.150,76
245.028,54
245.954,38
247.267,34
248.148,60
248.929,65
250.099,63
251.025,68
252.001,57
253.119,48
254.244,60
255.082,71
256.194,71
256.971,76
257.994,78
259.019,76
259.947,80
260.920,81
261.993,75
262.920,78
263.860,83
265.259,79
265.893,83
266.772,68
267.990,65
268.961,64
269.746,63
270.963,68
271.841,69
272.718,77
274.082,67
275.109,70
275.889,70
277.007,65
277.788,69
278.666,73
279.884,76
280.764,79
281.643,78
283.196,81
283.744,82
284.615,76
285.929,76
286.709,79
287.738,82
288.806,80
289.683,81
290.658,85
291.783,81
292.851,82
293.586,80
294.753,81
295.776,77
296.849,77
298.019,80
298.706,85
299.531,79
300.700,80
301.919,78
302.504,72
303.675,77
304.893,79
305.624,81
306.648,87
307.866,84
308.452,71
309.622,75
310.800,77
311.426,67
312.646,78
313.522,83
314.545,87
315.618,81
316.496,85
317.373,85
318.835,84
319.665,84
320.347,80
321.568,83
322.443,79
323.321,81
324.543,64
325.417,59
326.343,69
327.805,71
328.393,70
329.317,80
330.487,83
331.390,84
332.294,82
333.558,85
334.387,80
335.267,81
336.483,80
337.362,85
338.239,86
339.484,85
340.335,88
341.212,83
342.479,87
343.316,85
344.280,81
345.405,84
346.481,83
347.256,82
348.570,86
349.256,82
350.282,85
351.646,81
352.232,84
353.109,88
354.327,79
355.252,86
356.273,85
357.300,84
358.350,85
359.104,85
360.497,88
361.151,82
362.077,82
363.247,73
364.125,76
365.148,80
366.221,83
367.215,81
368.025,81
369.197,78
370.122,82
371.096,83
372.168,83
373.097,85
374.020,81
375.191,84
376.263,81
377.244,80
378.259,82
379.091,82
379.921,84
381.138,81
382.061,82
382.894,82
384.112,78
385.280,81
385.918,83
387.093,79
387.968,79
389.036,84
390.157,86
390.939,88
391.960,85
393.084,84
393.959,83
394.837,82
396.252,79
396.934,89
397.856,81
399.075,85
400.004,84
400.882,82
402.007,87
402.881,84
403.807,86
405.023,84
406.002,83
406.732,84
407.955,82
408.929,83
409.760,83
411.019,84
411.851,81
412.729,75
414.045,77
414.825,82
415.703,86
416.969,85
417.802,85
418.773,86
419.850,86
420.775,84
421.698,82
423.112,81
423.746,84
424.629,87
425.845,85
426.727,84
427.694,85
428.817,87
429.799,86
430.619,81
431.987,81
432.668,82
433.592,82
434.766,84
435.641,85
436.570,85
437.737,85
438.663,85
439.785,84
440.713,79
441.612,74
442.515,70
443.831,65
444.612,59
445.635,55
446.756,64
447.587,69
448.463,73
449.681,66
450.559,71
451.437,82
452.847,78
453.534,64
454.411,53
