df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,temperature
6.298,36.125
7.319,36.125
8.293,36.125
9.317,36.125
10.292,36.125
11.316,36.125
12.291,36.156
13.586,36.156
14.438,36.156
15.314,36.188
16.292,36.156
17.312,36.188
18.310,36.125
19.311,36.156
20.286,36.219
21.359,36.188
22.285,36.219
23.314,36.250
24.332,36.219
25.307,36.219
26.331,36.250
27.306,36.219
28.330,36.250
29.305,36.250
30.329,36.156
31.304,36.188
32.327,36.219
33.302,36.219
34.326,36.375
35.301,36.438
36.325,36.438
37.300,36.438
38.372,36.438
39.337,36.469
40.322,36.531
41.298,36.531
42.361,36.531
43.297,36.562
44.320,36.438
45.295,36.406
46.329,36.406
47.342,36.375
48.317,36.438
49.292,36.438
50.373,36.469
51.315,36.438
52.315,36.406
53.290,36.406
54.335,36.375
55.350,36.344
56.313,36.375
57.288,36.375
58.311,36.375
59.582,36.344
60.310,36.312
61.291,36.344
62.313,36.344
63.298,36.375
64.605,36.406
65.331,36.438
66.306,36.438
67.281,36.438
68.305,36.406
69.280,36.469
70.550,36.438
71.280,36.438
72.303,36.438
73.475,36.406
74.301,36.438
75.325,36.375
76.306,36.344
77.324,36.344
78.299,36.375
79.324,36.406
80.307,36.406
81.322,36.469
82.296,36.469
83.320,36.469
84.305,36.469
85.329,36.562
86.326,36.562
87.318,36.562
88.298,36.562
89.316,36.500
90.538,36.500
91.315,36.469
92.290,36.469
93.362,36.500
94.293,36.469
95.313,36.438
96.288,36.438
97.312,36.406
98.391,36.375
99.315,36.406
100.334,36.406
101.341,36.375
102.284,36.344
103.307,36.344
104.289,36.344
105.407,36.344
106.286,36.375
107.504,36.406
108.280,36.438
109.364,36.438
110.328,36.406
111.308,36.438
112.670,36.469
113.304,36.438
114.277,36.469
115.303,36.469
116.716,36.469
117.307,36.469
118.274,36.469
119.298,36.469
120.279,36.438
121.297,36.438
122.321,36.438
123.641,36.469
124.339,36.469
125.294,36.469
126.318,36.375
127.293,36.375
128.317,36.406
129.292,36.375
130.316,36.406
131.634,36.375
132.314,36.406
133.289,36.375
134.313,36.375
135.288,36.375
136.312,36.438
137.287,36.438
138.317,36.406
139.314,36.500
140.309,36.469
141.579,36.469
142.312,36.469
143.283,36.500
144.307,36.500
145.295,36.500
146.309,36.500
147.281,36.469
148.304,36.469
149.279,36.406
150.317,36.406
151.278,36.406
152.302,36.406
153.278,36.406
154.301,36.375
155.276,36.375
156.640,36.375
157.274,36.375
158.314,36.375
159.273,36.344
160.320,36.375
161.330,36.344
162.296,36.344
163.271,36.312
164.294,36.312
165.269,36.344
166.347,36.344
167.319,36.344
168.313,36.375
169.267,36.406
170.290,36.406
171.509,36.438
172.290,36.438
173.313,36.438
174.288,36.469
175.312,36.438
176.312,36.406
177.311,36.406
178.299,36.375
179.309,36.406
180.286,36.406
181.554,36.375
182.283,36.375
183.307,36.344
184.285,36.344
185.305,36.344
186.282,36.344
187.551,36.344
188.309,36.375
189.303,36.312
190.473,36.344
191.302,36.344
192.325,36.344
193.301,36.375
194.276,36.375
195.301,36.375
196.274,36.406
197.298,36.406
198.282,36.438
199.332,36.438
200.274,36.406
201.296,36.406
202.314,36.438
203.300,36.406
204.367,36.406
205.299,36.406
206.269,36.406
207.334,36.406
208.288,36.375
209.291,36.375
210.323,36.406
211.289,36.438
212.265,36.438
213.289,36.469
214.264,36.469
215.344,36.500
216.270,36.469
217.335,36.500
218.410,36.469
219.291,36.469
220.308,36.406
221.284,36.375
222.310,36.344
223.287,36.312
224.306,36.312
225.281,36.281
226.304,36.312
227.280,36.250
228.304,36.344
229.393,36.344
230.307,36.375
231.277,36.406
232.302,36.438
233.338,36.438
234.300,36.438
235.616,36.469
236.312,36.469
237.273,36.531
238.297,36.469
239.272,36.469
240.304,36.469
241.272,36.406
242.295,36.406
243.513,36.438
244.296,36.438
245.269,36.375
246.295,36.375
247.272,36.375
248.301,36.375
249.268,36.344
250.291,36.344
251.288,36.406
252.289,36.406
253.318,36.406
254.314,36.375
255.263,36.375
256.286,36.375
257.556,36.375
258.531,36.375
259.321,36.375
260.307,36.344
261.259,36.344
262.282,36.344
263.311,36.312
264.282,36.375
265.264,36.406
266.285,36.406
267.255,36.406
268.525,36.406
269.302,36.375
270.281,36.406
271.301,36.375
272.276,36.406
273.300,36.406
274.275,36.375
275.299,36.406
276.279,36.406
277.298,36.438
278.273,36.438
279.296,36.594
280.271,36.562
281.326,36.562
282.270,36.531
283.443,36.531
284.300,36.531
285.293,36.531
286.271,36.500
287.317,36.500
288.266,36.469
289.290,36.344
290.265,36.344
291.289,36.375
292.264,36.375
293.345,36.344
294.460,36.375
295.286,36.312
296.464,36.375
297.285,36.344
298.315,36.375
299.285,36.375
300.262,36.375
301.282,36.344
302.258,36.344
303.281,36.312
304.281,36.344
305.292,36.375
306.255,36.344
307.425,36.344
308.262,36.344
309.278,36.375
310.496,36.344
311.276,36.344
312.259,36.344
313.275,36.375
314.251,36.375
315.274,36.375
316.249,36.375
317.273,36.375
318.296,36.375
319.466,36.375
