df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,quality
7.697,100
13.598,50
14.620,64
15.393,81
16.572,72
17.494,72
18.374,66
19.546,59
20.423,60
21.349,79
22.518,78
23.420,76
24.517,79
25.493,79
26.516,80
27.297,80
28.467,81
29.636,78
30.270,80
31.586,85
32.366,85
33.290,84
34.463,84
35.341,86
36.321,88
37.486,83
38.612,84
39.249,84
40.422,85
41.484,84
42.507,83
43.385,79
44.266,76
45.189,80
46.600,79
47.285,77
48.186,75
49.528,83
50.332,88
51.201,83
52.453,80
53.239,83
54.157,84
55.332,75
56.210,72
57.086,70
58.304,71
59.181,68
60.203,77
61.278,76
62.176,74
63.082,75
64.254,68
65.132,58
66.150,60
67.272,63
68.150,69
69.052,57
70.201,65
71.126,65
72.248,68
73.276,66
74.100,64
74.978,69
76.148,77
77.079,78
77.954,80
79.217,71
80.146,70
80.926,72
82.146,68
83.023,55
84.192,55
85.119,61
86.018,69
86.874,75
88.139,61
88.970,55
89.994,53
91.067,53
91.945,40
92.871,32
94.070,25
94.919,33
95.846,49
97.016,27
97.942,34
98.820,51
100.039,66
100.915,63
102.085,65
103.011,71
103.986,70
104.800,67
105.986,66
106.864,75
107.935,69
108.960,65
109.837,67
110.715,61
111.934,61
112.958,69
113.689,69
114.908,69
115.789,72
116.714,74
117.881,72
118.805,73
119.688,71
120.856,63
121.734,36
122.708,28
123.830,26
124.759,0
125.729,30
126.804,40
127.730,56
128.608,65
129.778,57
130.704,46
131.583,46
132.801,43
133.678,35
134.556,49
135.785,59
136.652,65
137.530,70
138.749,65
139.626,68
140.747,54
141.723,51
142.846,60
143.673,56
144.794,60
145.575,66
146.503,63
147.719,57
148.597,59
149.476,77
151.138,77
151.573,78
152.790,82
153.620,81
154.691,75
155.425,76
156.643,77
157.616,78
158.689,74
159.617,76
160.505,77
161.617,81
162.733,58
163.467,57
164.344,61
165.563,65
166.441,61
167.369,61
168.537,66
169.470,64
170.341,62
171.657,66
172.391,71
173.322,64
174.487,63
175.412,54
176.290,58
177.460,71
178.386,70
179.274,69
180.434,68
181.364,65
182.530,62
183.503,59
184.334,50
185.214,43
186.432,50
187.309,59
188.186,53
189.404,45
190.574,48
191.159,70
192.473,51
193.256,49
194.182,51
195.352,57
196.279,58
197.156,49
198.326,51
199.255,69
200.328,71
201.398,75
202.229,63
203.106,33
204.280,42
205.446,0
206.078,42
207.643,49
208.175,43
209.196,66
210.271,45
211.344,38
212.026,40
213.489,56
214.122,64
215.241,65
216.220,63
217.138,70
218.036,60
219.195,46
220.072,34
221.001,36
222.174,37
223.093,32
223.971,51
225.141,38
226.068,34
226.945,0
228.213,17
229.185,15
229.944,19
231.151,16
232.016,15
232.893,13
234.112,0
234.989,0
235.867,31
237.088,39
237.964,27
238.936,32
240.060,0
240.987,0
241.879,7
243.131,2
243.914,40
244.839,46
246.008,45
247.029,56
247.861,49
249.031,54
249.909,55
250.807,57
252.209,42
252.892,41
253.761,31
255.074,35
255.856,5
256.734,5
257.953,0
258.974,3
259.709,6
260.930,39
261.948,34
262.683,30
263.910,33
264.779,19
265.707,29
267.021,1
267.801,0
268.825,31
269.946,36
270.727,36
271.653,47
272.823,42
273.701,43
274.627,36
275.838,41
276.769,30
277.610,32
278.802,38
279.699,38
280.577,39
281.794,0
282.768,27
283.548,35
284.768,46
285.645,0
286.766,42
287.742,55
288.719,53
289.501,53
290.715,55
291.594,58
292.520,41
293.691,36
294.618,35
295.494,36
296.666,45
297.542,42
298.468,25
299.638,28
300.569,27
301.442,18
302.612,31
303.538,61
304.416,59
305.635,24
306.566,0
307.630,0
308.610,0
309.487,9
310.364,5
311.583,0
312.509,0
313.363,23
314.609,50
315.436,38
316.363,36
317.533,26
318.502,35
319.578,33
320.505,42
321.382,40
322.308,54
323.479,57
324.405,49
325.283,49
326.453,39
327.380,31
328.351,6
329.427,0
330.353,36
331.279,32
332.449,26
333.327,35
334.433,46
335.423,53
336.301,43
337.179,44
338.646,34
339.375,40
340.153,34
341.371,44
342.299,53
343.133,44
344.491,53
345.317,35
346.162,35
347.417,37
348.199,57
349.123,48
350.294,44
351.220,40
352.101,56
353.365,71
354.240,72
355.073,70
356.249,65
357.168,58
358.094,45
359.654,34
360.143,26
361.020,38
362.580,28
363.117,33
363.994,45
365.212,46
366.090,58
367.017,40
368.187,45
369.118,30
369.992,34
371.164,30
372.038,34
372.965,36
374.134,34
375.061,32
375.939,24
377.108,41
378.035,31
378.958,40
380.225,42
381.009,41
381.900,55
383.056,44
384.272,26
384.861,0
386.080,0
386.957,0
387.835,0
389.054,26
389.931,29
390.859,53
392.028,54
392.905,52
393.975,49
395.003,52
395.892,63
397.050,62
397.983,65
398.997,74
399.780,73
400.952,72
401.921,75
402.753,78
403.926,72
404.849,71
405.780,62
406.897,53
407.825,62
408.701,65
409.920,62
410.800,54
411.775,57
413.038,50
413.774,50
414.652,42
415.868,0
416.747,0
417.678,0
419.185,0
419.719,0
420.649,0
421.819,0
422.702,0
423.620,0
424.792,0
425.722,1
426.595,31
