df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,ppg_quality
57.405,89
59.425,89
60.435,92
62.455,96
64.475,89
66.495,82
68.505,92
69.515,96
71.535,93
73.555,96
75.575,100
76.585,98
77.595,89
79.615,73
82.645,74
84.665,73
86.685,82
88.705,93
89.715,90
90.725,82
91.735,70
93.755,45
95.775,36
97.795,37
99.815,44
101.825,65
104.855,99
106.875,102
108.895,103
110.915,100
112.935,104
115.965,102
117.985,103
120.005,109
121.015,108
122.025,105
124.045,85
125.055,75
127.075,65
128.085,51
129.095,41
131.115,33
133.125,44
134.135,53
135.145,64
137.165,77
138.175,88
140.195,101
142.215,101
144.235,101
146.255,101
149.285,101
151.305,103
152.315,104
153.325,104
154.335,104
155.345,104
157.365,103
159.385,104
160.395,104
162.415,103
164.435,100
166.455,89
168.475,83
169.485,83
170.495,83
171.505,86
173.525,88
175.545,92
177.565,99
179.585,102
181.605,100
182.615,98
184.635,100
185.645,103
186.655,104
188.675,105
190.695,106
191.705,105
192.715,103
193.725,98
195.745,86
197.765,89
198.775,88
199.785,85
200.795,86
201.805,88
203.825,91
204.835,91
206.855,88
208.875,84
210.895,82
212.915,85
214.935,94
215.945,94
217.965,102
219.985,91
222.005,82
224.025,76
225.035,70
226.045,59
227.055,56
228.065,18
231.095,38
232.105,21
233.115,30
234.125,18
235.135,8
237.155,17
239.175,43
240.185,35
242.205,44
244.225,43
245.235,49
246.245,50
247.255,45
248.265,43
250.285,55
251.295,59
253.315,47
255.335,58
257.355,66
259.375,62
261.395,60
262.405,66
264.425,70
266.445,53
268.465,58
270.485,48
271.495,48
272.505,46
273.515,43
275.535,57
277.555,61
279.575,57
281.595,57
283.615,48
284.625,46
286.645,35
288.665,37
290.685,37
292.705,43
293.715,47
294.725,56
295.735,66
297.755,74
299.775,55
301.795,43
303.815,53
305.835,17
306.845,5
308.865,13
310.885,15
312.905,8
314.925,27
316.945,45
318.965,32
319.975,37
321.995,34
324.015,26
326.035,6
331.085,18
332.095,19
333.105,25
335.125,30
337.145,44
339.165,62
341.185,58
342.195,64
344.215,70
346.235,68
348.255,57
350.275,46
353.305,39
355.325,31
356.335,39
357.345,45
359.365,53
361.385,64
363.405,58
364.415,61
366.435,75
368.455,73
370.475,55
372.495,61
373.505,65
375.525,65
377.545,56
379.565,72
381.585,84
382.595,73
383.605,67
386.635,69
388.655,72
389.665,69
390.675,65
392.695,72
393.705,79
394.715,79
395.725,73
397.745,74
399.765,69
401.785,75
403.805,71
404.815,65
405.825,68
408.855,55
410.875,59
411.885,51
412.895,49
413.905,51
414.915,51
415.925,43
416.935,38
417.945,47
419.965,42
421.985,41
424.005,21
426.025,33
428.045,35
429.055,26
430.065,19
431.075,12
433.095,43
434.105,52
435.115,44
437.135,60
439.155,83
442.185,78
443.195,82
444.205,85
445.215,98
446.225,88
448.245,74
449.255,64
451.275,88
453.295,85
454.305,83
455.315,82
457.335,88
459.355,106
461.375,101
464.405,107
465.415,109
466.425,108
468.445,103
470.465,102
471.475,104
472.485,101
474.505,93
475.515,87
477.535,93
479.555,94
481.575,73
483.595,62
484.605,64
485.615,66
486.625,62
487.635,57
488.645,54
490.665,54
492.685,74
