df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,heart_rate
7.599,54
13.593,71
14.476,71
15.389,69
16.567,69
17.445,69
18.371,68
19.541,67
20.419,65
21.345,62
22.515,62
23.417,61
24.322,61
25.489,60
26.418,60
27.293,60
28.463,60
29.510,60
30.267,60
31.500,61
32.364,62
33.244,63
34.460,63
35.338,64
36.218,65
37.438,65
38.607,65
39.238,65
40.408,64
41.289,63
42.217,63
43.382,63
44.260,63
45.186,64
46.361,65
47.282,66
48.182,67
49.401,68
50.328,68
51.167,68
52.361,68
53.231,68
54.109,68
55.327,68
56.205,69
57.083,69
58.301,69
59.179,68
60.058,66
61.275,65
62.172,66
63.079,66
64.249,66
65.127,68
66.054,70
67.249,72
68.101,73
69.049,72
70.197,71
71.123,70
72.245,69
73.271,68
74.097,68
74.975,67
76.145,67
77.071,67
77.949,67
79.138,67
80.143,68
80.923,69
82.142,70
83.019,72
83.899,74
85.116,76
86.015,78
86.871,78
88.096,77
88.967,77
89.896,75
91.064,73
91.941,74
92.868,74
94.066,74
94.915,73
95.842,81
97.012,78
97.938,77
98.816,77
100.035,77
100.912,76
101.795,76
103.009,75
103.903,75
104.795,74
105.983,73
106.861,72
107.742,71
108.957,69
109.834,68
110.712,68
111.931,68
112.954,69
113.686,69
114.905,69
115.782,69
116.709,69
117.879,70
118.757,70
119.683,69
120.853,69
121.730,69
122.658,69
123.827,69
124.753,69
125.651,69
126.801,67
127.727,67
128.605,67
129.775,67
130.701,68
131.579,71
132.797,71
133.675,70
134.553,66
135.772,64
136.649,63
137.527,62
138.745,62
139.623,61
140.504,61
141.720,62
142.844,64
143.539,64
144.712,64
145.571,64
146.498,63
147.675,62
148.594,61
149.471,59
151.134,59
151.568,59
152.454,60
153.616,60
154.582,60
155.419,60
156.638,61
157.519,61
158.397,61
159.612,61
160.490,61
161.614,61
162.589,62
163.464,63
164.341,64
165.560,64
166.438,64
167.364,64
168.534,65
169.466,66
170.338,67
171.520,68
172.386,67
173.313,66
174.482,65
175.409,66
176.286,67
177.456,68
178.383,69
179.264,70
180.431,70
181.357,70
182.238,71
183.456,71
184.331,70
185.208,70
186.427,69
187.305,68
188.182,67
189.401,67
190.306,64
191.156,61
192.378,61
193.253,62
194.179,63
195.349,66
196.230,67
197.153,65
198.323,64
199.253,62
200.322,61
201.300,61
202.224,61
203.101,61
204.271,61
205.218,61
206.075,69
207.639,74
208.172,77
209.074,81
210.268,82
211.199,80
212.023,77
213.245,76
214.120,75
215.002,74
216.216,73
217.104,72
218.020,71
219.190,71
220.068,71
220.994,71
222.164,71
223.090,71
223.969,70
225.138,70
226.064,70
226.942,70
228.210,70
229.038,70
229.941,70
231.135,70
232.013,70
232.890,70
234.109,70
234.986,70
235.864,65
237.083,74
237.960,78
238.887,78
240.057,75
240.983,75
241.861,75
243.034,75
243.909,73
244.835,72
246.005,71
246.998,71
247.858,72
249.028,73
249.905,73
250.804,73
252.199,72
252.879,72
253.757,72
254.987,72
255.853,72
256.731,72
257.950,72
258.830,72
259.705,72
260.924,76
261.901,78
262.679,79
263.898,80
264.775,79
265.702,79
266.876,79
267.790,79
268.686,79
269.866,75
270.723,74
271.650,72
272.820,70
273.697,71
274.624,73
275.832,74
276.723,73
277.598,72
278.797,72
279.694,72
280.572,67
281.791,68
282.670,68
283.546,59
284.765,55
285.642,58
286.546,59
287.739,74
288.716,81
289.497,83
290.713,83
291.590,82
292.517,83
293.687,82
294.613,82
295.491,82
296.661,79
297.538,79
298.465,79
299.635,79
300.561,79
301.439,79
302.609,78
303.535,77
304.413,77
305.631,77
306.559,77
307.414,77
308.606,77
309.483,77
310.361,77
311.579,77
312.475,77
313.358,77
314.553,76
315.431,76
316.357,78
317.527,77
318.414,82
319.346,82
320.502,84
321.379,83
322.305,82
323.475,82
324.402,81
325.279,81
326.449,81
327.376,81
328.256,81
329.423,81
330.350,81
331.231,81
332.446,81
333.324,81
334.394,81
335.420,81
336.298,81
337.175,79
338.431,80
339.372,78
340.149,79
341.368,79
342.249,79
343.128,79
344.349,78
345.224,78
346.146,78
347.355,78
348.194,82
349.120,83
350.290,84
351.217,82
352.094,81
353.267,79
354.194,79
355.068,78
356.238,79
357.165,79
358.047,78
359.298,78
360.139,78
361.016,72
362.239,74
363.113,74
363.990,79
365.209,80
366.087,81
367.013,81
368.183,80
369.110,80
369.987,80
371.157,80
372.035,80
372.961,74
374.131,77
375.058,76
375.935,76
377.105,75
378.032,81
378.910,81
380.101,83
381.006,83
381.883,83
383.053,84
383.985,83
384.857,83
386.076,83
386.953,83
387.831,83
389.050,83
389.927,83
390.854,85
392.024,85
392.902,86
393.855,87
394.998,89
395.876,90
396.847,90
397.972,90
398.876,89
399.776,89
400.946,88
401.872,88
402.750,87
403.920,86
404.846,86
405.724,85
406.894,86
407.821,86
408.698,87
409.917,87
410.795,88
411.772,88
412.896,88
413.768,88
414.646,88
415.865,88
416.742,88
417.669,88
418.877,88
419.716,88
420.643,88
421.813,88
422.690,88
423.617,88
424.787,88
425.713,88
