df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,respiration_rate
59.145,19
63.545,20
67.675,20
72.195,20
76.795,20
81.025,20
85.565,20
89.845,20
120.195,20
124.745,19
129.085,17
134.505,16
138.545,16
143.185,16
167.295,18
171.845,17
176.375,18
180.735,17
185.905,16
191.065,8
195.205,8
199.275,8
204.705,9
208.915,9
213.075,9
217.395,8
477.025,10
484.635,10
489.955,9
