df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,rr_int
10.864,6350
11.692,10
11.696,845
11.985,10
12.521,230
13.496,625
13.499,915
14.626,10
15.203,935
15.212,815
16.031,10
17.008,810
18.127,995
18.957,1045
19.931,905
19.936,965
21.007,10
22.028,1035
22.954,1090
22.957,960
23.930,10
25.051,960
25.054,1065
26.075,10
27.147,1055
27.976,1005
28.951,920
30.072,1005
30.902,1020
31.194,895
31.889,225
32.074,690
32.705,10
33.680,945
34.509,895
35.485,915
36.459,940
37.288,985
38.267,880
39.293,935
40.262,1005
41.192,1010
42.017,895
42.992,895
43.967,950
44.796,970
45.722,870
46.604,850
47.478,895
48.307,905
49.281,850
49.338,895
50.111,10
50.988,935
51.915,840
52.744,875
53.718,960
54.401,855
55.235,775
56.216,890
57.180,990
57.230,895
57.473,10
58.030,240
58.984,600
59.979,1020
60.007,970
60.788,10
61.082,795
61.668,225
62.640,685
62.649,940
63.518,10
64.153,770
64.980,720
65.956,900
66.157,890
66.638,230
67.467,530
68.442,850
69.271,990
69.612,860
70.100,200
70.978,570
71.956,910
72.927,1000
73.171,910
73.756,240
74.732,615
74.735,940
74.882,10
74.885,210
75.219,15
75.560,25
76.535,665
77.364,965
78.193,845
79.022,810
80.045,840
80.825,910
80.972,830
80.975,205
81.023,10
81.071,15
81.085,10
81.508,15
82.240,440
82.922,725
83.754,790
84.580,830
85.263,765
86.093,730
86.920,780
87.216,850
87.895,300
88.041,700
88.627,130
89.456,595
90.284,920
90.431,735
90.723,185
90.730,250
90.771,15
90.775,10
90.778,10
90.823,10
90.826,20
90.967,25
90.971,205
92.917,1360
93.648,665
94.333,660
94.528,635
95.013,10
95.989,745
96.671,905
97.451,810
98.231,710
99.061,740
99.888,825
100.718,900
101.403,775
101.448,750
102.231,10
103.058,815
104.050,875
104.764,930
105.593,795
105.596,820
106.568,10
107.543,940
108.518,990
109.200,910
110.031,785
110.858,800
111.835,910
112.664,960
112.963,855
113.491,225
114.326,570
115.295,865
116.124,925
116.855,830
117.830,795
118.812,950
119.635,955
120.463,880
121.145,830
121.291,635
121.295,150
121.341,10
121.343,10
122.267,10
122.560,955
122.807,325
123.095,495
124.218,875
124.222,255
124.904,10
124.948,700
125.192,10
125.735,240
126.703,635
126.706,995
127.000,10
127.145,185
127.679,15
128.507,700
128.800,840
129.242,320
129.921,385
130.750,745
131.874,880
132.993,1115
133.968,1055
134.796,925
135.820,845
136.893,1055
137.868,1090
138.794,1040
139.526,895
139.529,795
140.501,10
141.478,860
142.548,1035
143.426,1050
144.255,860
145.230,865
146.303,1015
147.424,1105
148.275,1095
149.279,930
150.644,965
151.324,1045
152.299,1060
153.274,960
154.542,895
155.371,1025
156.200,1065
157.175,935
158.150,890
159.178,1050
160.249,1025
161.075,1020
161.757,840
162.737,780
163.854,1010
164.683,1005
165.658,955
166.487,905
167.322,810
168.291,900
169.156,1000
169.949,865
170.924,825
172.045,955
173.020,1060
173.702,950
174.532,770
175.506,830
176.384,930
176.437,900
177.213,10
177.896,780
178.888,775
179.845,925
179.998,960
180.528,240
181.508,560
182.187,745
183.161,810
184.136,1040
184.965,975
185.696,800
185.701,775
186.671,10
187.744,950
188.719,1085
189.699,1070
190.133,925
190.186,355
190.962,10
191.108,860
191.498,220
192.478,420
193.302,990
194.228,815
195.252,820
196.374,1100
197.350,1090
198.179,955
199.152,925
200.476,1025
201.249,1060
201.687,920
201.692,465
201.932,10
202.760,270
203.589,795
203.735,885
203.740,190
203.885,20
203.933,10
203.939,10
203.944,10
204.320,15
205.003,440
205.008,735
205.685,10
206.515,715
206.660,740
206.664,245
206.806,15
206.811,10
207.782,375
208.613,670
209.439,755
210.415,905
211.146,935
211.389,810
211.974,175
212.803,580
213.633,815
214.608,895
215.436,945
215.439,815
216.275,10
216.414,835
217.160,10
217.679,925
218.215,490
219.044,530
219.049,920
219.336,10
219.775,290
220.702,425
221.141,960
221.677,400
221.969,540
222.603,235
222.606,600
223.240,10
223.429,780
223.437,10
223.530,85
223.553,170
225.041,460
225.189,1015
226.308,205
226.991,1125
227.576,680
228.816,520
230.599,1215
231.232,1810
231.236,580
231.238,15
231.284,15
231.428,225
232.500,290
232.939,795
233.671,460
234.357,735
236.010,765
236.014,1460
236.160,220
236.180,10
236.187,15
236.205,20
236.209,25
236.213,15
236.216,15
236.352,20
236.596,120
236.985,315
236.988,320
238.665,10
239.257,1390
240.008,850
240.012,760
240.888,10
241.570,835
241.595,885
242.007,10
242.011,315
242.544,10
243.373,570
244.348,890
244.932,940
244.936,510
245.177,10
245.469,320
245.908,310
246.746,455
247.565,820
248.394,740
248.397,795
249.226,10
250.057,890
250.062,750
250.230,10
251.027,295
251.031,830
251.075,15
251.079,10
251.082,10
251.670,15
252.294,330
252.977,875
252.984,670
253.709,15
254.927,720
254.930,1180
255.080,255
255.516,400
256.195,10
256.341,705
256.439,190
258.979,1425
259.419,1150
260.095,375
261.073,790
261.168,730
261.171,335
261.216,10
261.230,10
261.317,50
261.460,190
262.447,940
263.020,20
