df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,omega
31.270,0.552
33.735,0.558
34.564,0.560
35.640,0.562
36.568,0.560
37.437,0.562
38.321,0.560
40.314,0.562
42.169,0.562
43.047,0.562
44.022,0.561
44.851,0.561
45.924,0.561
46.657,0.559
49.335,0.561
49.398,0.562
54.018,0.562
54.463,0.563
57.228,0.563
57.238,0.563
60.056,0.563
62.701,0.561
66.212,0.558
68.744,0.558
69.717,0.561
72.014,0.558
73.032,0.558
73.223,0.558
74.881,0.558
79.080,0.559
80.100,0.562
83.813,0.569
84.829,0.562
88.095,0.569
101.458,0.568
104.182,0.563
105.655,0.563
107.695,0.559
108.670,0.563
110.913,0.559
111.851,0.559
112.818,0.559
113.110,0.563
116.248,0.561
121.200,0.561
128.566,0.569
135.921,0.569
136.949,0.561
138.850,0.556
142.603,0.553
143.535,0.549
147.671,0.549
148.402,0.549
152.451,0.549
153.331,0.551
156.257,0.549
161.225,0.551
162.057,0.552
162.790,0.552
169.172,0.552
175.659,0.552
176.436,0.551
176.490,0.549
179.996,0.545
180.051,0.542
183.216,0.540
187.814,0.540
190.185,0.540
199.208,0.542
209.544,0.542
211.198,0.535
211.445,0.535
215.492,0.530
244.496,0.530
247.620,0.530
264.117,0.536
268.488,0.536
271.468,0.536
288.623,0.536
297.496,0.542
299.010,0.555
313.002,0.555
341.083,0.717
379.846,0.730
454.094,0.636
455.163,0.633
456.971,0.627
458.775,0.627
459.657,0.613
460.738,0.594
461.749,0.574
462.973,0.559
463.552,0.547
464.285,0.547
465.081,0.533
466.185,0.524
467.155,0.519
468.097,0.519
469.947,0.519
473.304,0.520
474.227,0.514
481.644,0.514
