df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,temperature
384.279,35.406
385.347,35.375
386.271,35.375
387.249,35.375
388.225,35.406
389.197,35.406
390.220,35.375
391.488,35.344
392.223,35.375
393.292,35.344
394.218,35.344
395.194,35.344
396.238,35.344
397.192,35.344
398.216,35.312
399.198,35.312
400.215,35.312
401.239,35.344
402.607,35.344
403.192,35.312
404.213,35.312
405.237,35.344
406.211,35.375
407.242,35.344
408.211,35.344
409.235,35.344
410.211,35.375
411.234,35.406
412.364,35.406
413.233,35.438
414.208,35.406
415.231,35.375
416.207,35.406
417.230,35.406
418.205,35.438
419.229,35.438
420.253,35.438
421.255,35.406
422.203,35.406
423.229,35.406
424.202,35.406
425.226,35.375
426.201,35.375
427.225,35.438
428.200,35.438
429.224,35.406
430.199,35.375
431.223,35.375
432.198,35.438
433.225,35.406
434.346,35.406
435.221,35.438
436.196,35.438
437.219,35.469
438.491,35.438
439.219,35.438
440.294,35.469
441.217,35.469
442.194,35.438
443.216,35.406
444.484,35.438
445.215,35.438
446.191,35.438
447.219,35.375
448.189,35.438
449.213,35.438
450.192,35.438
451.224,35.406
452.187,35.438
453.211,35.438
454.235,35.406
455.502,35.406
456.234,35.375
457.209,35.406
458.476,35.312
459.354,35.312
460.231,35.344
461.208,35.375
462.231,35.406
463.206,35.406
464.286,35.406
465.208,35.438
466.228,35.531
467.203,35.562
468.227,35.625
469.494,35.594
470.226,35.562
471.201,35.531
472.225,35.500
473.200,35.531
474.229,35.531
475.199,35.500
476.223,35.406
477.198,35.406
478.222,35.438
479.246,35.469
480.289,35.500
481.197,35.469
482.220,35.500
483.205,35.531
484.218,35.531
485.194,35.500
486.218,35.469
487.193,35.469
488.217,35.469
489.394,35.469
490.361,35.406
491.194,35.438
