df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,perfusion_ir
31.247,0.200
33.732,0.200
34.560,0.200
35.633,0.200
36.559,0.200
37.434,0.200
38.316,0.200
40.311,0.200
42.166,0.200
43.044,0.200
44.019,0.200
44.848,0.200
45.920,0.200
46.654,0.200
49.330,0.200
49.389,0.200
54.013,0.200
54.452,0.200
57.186,0.200
57.235,0.190
60.014,0.190
62.698,0.190
66.207,0.190
68.737,0.190
69.712,0.190
72.007,0.190
73.028,0.190
73.220,0.190
74.835,0.190
79.075,0.190
80.096,0.190
83.807,0.190
84.826,0.190
88.090,0.190
101.455,0.190
104.084,0.190
105.649,0.180
107.692,0.180
108.667,0.180
110.910,0.180
111.845,0.180
112.814,0.180
113.107,0.180
116.223,0.180
121.197,0.180
128.562,0.180
135.826,0.180
136.944,0.180
138.846,0.180
142.600,0.180
143.523,0.180
147.668,0.190
148.309,0.190
152.445,0.190
153.326,0.200
156.251,0.210
161.222,0.210
162.053,0.220
162.787,0.220
169.169,0.220
175.655,0.220
176.432,0.220
176.487,0.230
179.992,0.230
180.047,0.230
183.210,0.230
187.804,0.230
190.182,0.230
199.205,0.220
209.540,0.220
211.194,0.220
211.441,0.220
215.488,0.210
244.354,0.210
247.617,0.210
264.103,0.200
268.485,0.200
271.464,0.200
288.619,0.200
297.492,0.200
299.004,0.200
312.996,0.190
341.079,0.180
379.842,0.180
454.091,0.200
454.923,0.200
456.967,0.210
458.771,0.220
459.652,0.220
460.725,0.220
461.745,0.220
462.967,0.230
463.546,0.230
464.281,0.230
465.073,0.230
466.182,0.230
467.145,0.240
468.088,0.250
469.941,0.250
473.300,0.260
474.224,0.280
481.640,0.280
