Time (s),Resistance (Ω),Stage
1,19460.43,Calibration
2,20697.15,Calibration
3,22422.8,Calibration
4,22838.81,Calibration
5,22345.97,Calibration
6,21046.25,Calibration
7,21597.22,Calibration
8,22345.97,Calibration
9,22017.2,Calibration
10,21842.92,Calibration
11,22891.57,Calibration
12,23620.69,Calibration
13,22891.57,Calibration
14,22397.15,Calibration
15,22397.15,Calibration
16,22017.2,Calibration
17,23050.85,Calibration
18,24039.9,Calibration
19,24039.9,Calibration
20,23927.09,Normal
21,25210.66,Normal
22,24644.67,Normal
23,24125,Normal
24,23483.24,Normal
25,23238.64,Normal
26,24125,Normal
27,24732.82,Normal
28,24039.9,Normal
29,23565.57,Normal
30,23703.7,Normal
31,23731.46,Normal
32,24674.01,Normal
33,24068.22,Normal
34,24469.7,Normal
35,24382.87,Normal
36,26142.98,Normal
37,25516.04,Normal
38,24910.49,Normal
39,24153.46,Normal
40,24970.11,Normal
41,24762.31,Normal
42,24762.31,Normal
43,24732.82,Normal
44,24096.59,Normal
45,25029.94,Normal
46,25332.18,Normal
47,25240.96,Normal
48,25732.98,Normal
49,26562.5,Normal
50,25984.18,Normal
51,25577.76,Normal
52,25120.07,Normal
53,25546.88,Normal
54,25516.04,Normal
55,26079.29,Normal
56,27159.71,Normal
57,28632.08,Normal
58,27881.59,Normal
59,27126.02,Normal
60,26925.16,Normal
61,26627.91,Normal
62,25732.98,Normal
63,25577.76,Normal
64,26726.46,Normal
65,27126.02,Normal
66,26792.45,Normal
67,26367.67,Normal
68,26047.54,Normal
69,26335.4,Normal
70,26047.54,Normal
71,27126.02,Normal
72,27126.02,Normal
73,29488.91,Normal
74,28925.86,Normal
75,28199.63,Normal
76,27193.46,Normal
77,27058.82,Normal
78,27126.02,Normal
79,27092.39,Normal
80,27092.39,Normal
81,28164.03,Normal
82,27846.58,Normal
83,27951.81,Normal
84,26891.89,Normal
85,30029.33,Normal
86,30029.33,Normal
87,30265.49,Normal
88,29037.18,Normal
89,28199.63,Normal
90,27363.14,Normal
91,27465.69,Normal
92,29111.75,Normal
93,29186.6,Normal
94,30424.48,Normal
95,30265.49,Normal
96,28705.1,Normal
97,28559.32,Normal
98,29450.87,Normal
99,29375,Normal
100,30029.33,Normal
101,30186.46,Normal
102,31155.78,Normal
103,29375,Normal
104,29412.9,Normal
105,29450.87,Normal
106,31238.67,Normal
107,31531.44,Normal
108,30029.33,Normal
109,29186.6,Normal
110,30625,Normal
111,33471.34,Normal
112,32347.46,Normal
113,30990.99,Normal
114,29375,Normal
115,29375,Normal
116,34414.32,Normal
117,33703.31,Normal
118,31785.71,Normal
119,31321.9,Normal
120,30384.62,Normal
121,32043.12,Normal
122,33610.23,Normal
123,32745.3,Normal
124,32700.73,Normal
125,31956.97,Normal
126,33890.68,Normal
127,33937.77,Normal
128,33843.68,Normal
129,33517.53,Normal
130,33150.69,Normal
131,33241.82,Normal
132,33379.23,Normal
133,33843.68,Normal
134,33656.71,Normal
135,33379.23,Normal
136,33610.23,Normal
137,32611.86,Normal
138,33890.68,Normal
139,33890.68,Normal
140,33984.96,Normal
141,33287.52,Normal
142,37838.79,Normal
143,39396.86,Normal
144,38290.09,Normal
145,37341.04,Normal
146,37782.96,Normal
147,37123.13,Normal
148,39159.66,Normal
149,38063.38,Normal
150,37950.82,Normal
151,38119.86,Normal
152,39878.2,Normal
153,39516.32,Normal
154,42165.61,Normal
155,40183.82,Normal
156,38924.73,Normal
157,38634.2,Normal
158,39516.32,Normal
159,39756.98,Normal
160,39756.98,Normal
161,39939.02,Normal
162,40743.49,Normal
163,43112.84,Normal
164,43112.84,Normal
165,40183.82,Normal
166,41123.59,Normal
167,41769.91,Normal
168,41509.43,Normal
169,41380.18,Normal
170,45866.3,Normal
171,47676.06,Normal
172,44095.11,Normal
173,42365.73,Normal
174,42165.61,Normal
175,40806.45,Normal
176,45263.16,Normal
177,46095.89,Normal
178,43810.78,Normal
179,43881.58,Normal
180,43112.84,Normal
181,42975.42,Normal
182,43320.31,Normal
183,44095.11,Normal
184,43740.16,Normal
185,44600,Normal
186,46796.12,Normal
187,44310.34,Normal
188,43740.16,Normal
189,46404.96,Normal
190,46172.84,Normal
191,46796.12,Normal
192,50756.68,Normal
193,48667.62,Normal
194,44454.79,Normal
195,45412.72,Normal
