df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,heart_rate
8.824,47
9.701,54
10.871,54
11.797,54
12.727,52
13.845,53
14.771,53
15.652,53
16.837,52
17.745,52
18.623,52
19.822,52
20.719,52
21.645,52
22.766,52
23.693,52
24.619,52
25.740,52
26.718,52
27.544,52
28.717,52
29.936,52
30.518,52
31.736,52
32.614,52
33.491,52
34.661,52
35.588,73
36.465,65
37.733,62
38.582,62
39.439,63
40.707,63
41.536,62
42.511,62
43.635,62
44.558,62
45.387,53
68.299,63
69.225,65
70.395,65
71.345,65
72.150,64
73.372,64
74.247,69
75.173,67
76.345,66
77.221,61
78.147,63
79.317,63
80.194,63
81.120,62
82.291,62
83.168,62
84.094,62
85.264,62
86.142,62
87.081,62
88.238,62
89.129,62
90.140,60
91.212,60
92.095,60
93.016,60
94.235,60
95.067,60
95.993,60
97.159,60
98.037,60
98.963,55
100.135,56
101.014,56
101.988,56
103.107,55
104.082,55
105.011,55
106.129,55
107.007,55
107.884,55
109.096,55
109.981,55
111.183,55
112.028,55
113.004,55
113.833,49
115.051,48
115.928,49
116.809,49
118.024,48
118.902,55
119.779,52
121.096,51
121.876,51
122.753,57
124.021,54
124.849,53
125.727,53
126.946,53
127.856,53
128.701,53
129.920,53
130.797,53
131.748,53
132.895,53
133.771,53
134.697,53
135.893,55
136.750,55
137.671,54
138.867,54
139.718,54
140.663,54
141.818,54
142.741,54
143.622,54
145.084,54
145.715,54
146.615,54
147.762,54
148.688,54
149.575,54
150.785,57
151.662,60
152.540,64
153.758,57
154.732,58
155.513,58
156.757,58
157.610,57
158.487,57
159.706,62
160.583,58
161.490,58
162.680,59
163.557,59
164.450,58
165.654,58
166.531,55
167.457,56
168.631,56
169.505,56
170.431,55
171.601,55
172.479,55
173.456,53
174.575,53
175.466,53
176.430,53
177.567,53
178.426,53
179.352,53
180.522,55
181.400,54
182.326,53
183.496,53
184.417,53
185.300,53
186.530,52
187.347,52
188.274,52
189.444,52
190.370,52
191.247,52
192.419,52
193.344,52
194.221,57
195.391,55
196.562,54
197.199,54
198.432,54
199.291,54
200.172,54
201.436,54
202.265,54
203.143,54
204.361,54
205.239,54
206.116,68
207.336,62
208.215,60
209.090,70
210.358,75
211.186,70
212.113,75
213.284,76
214.161,76
215.110,75
216.256,75
217.135,75
218.092,63
219.279,67
220.113,68
221.034,68
222.204,67
223.131,67
224.010,59
225.178,62
226.299,62
226.981,62
228.151,61
229.031,61
229.956,61
231.125,61
232.052,61
232.929,69
234.099,66
235.025,60
235.903,55
237.076,58
237.999,58
238.877,57
240.095,57
240.973,57
241.854,57
243.074,57
243.947,59
244.824,59
246.043,58
246.922,58
247.798,58
249.017,58
249.898,58
250.772,58
251.990,58
252.868,58
253.799,58
254.964,58
255.842,58
256.768,58
257.938,58
259.111,58
259.693,58
260.961,58
261.790,57
262.715,57
263.894,61
264.763,59
265.689,58
266.859,58
267.737,58
268.663,58
269.917,64
270.711,68
271.737,69
272.858,71
273.687,69
274.614,69
275.780,69
276.755,78
277.636,81
278.757,77
279.708,79
280.558,79
281.728,79
282.654,78
283.532,78
284.702,78
285.628,78
286.506,83
287.676,85
288.602,85
289.490,85
290.675,85
291.576,85
292.498,86
293.919,86
294.549,86
295.427,85
296.601,84
297.525,83
298.401,83
299.620,83
300.594,84
301.374,84
302.594,85
303.471,85
304.348,84
305.567,84
