df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,quality
8.827,100
9.705,100
10.970,100
11.801,0
12.821,0
13.849,0
14.820,12
15.749,9
16.867,9
17.751,0
18.628,32
19.841,33
20.724,0
21.649,0
22.769,3
23.695,1
24.624,0
25.744,0
26.721,0
27.547,0
28.961,24
29.939,25
30.527,24
31.740,26
32.619,25
33.496,36
34.667,47
35.591,61
36.470,30
37.739,35
38.611,29
39.442,0
40.710,39
41.539,0
42.513,31
43.827,0
44.561,24
45.390,0
46.606,0
68.303,56
69.229,32
70.399,24
71.348,20
72.154,18
73.564,25
74.250,28
75.176,24
76.443,22
77.227,32
78.150,24
79.321,21
80.199,22
81.124,20
82.294,20
83.171,33
84.097,32
85.268,25
86.147,20
87.266,16
88.243,19
89.411,23
90.145,28
91.217,33
92.382,30
93.021,27
94.238,0
95.161,0
95.996,0
97.163,0
98.051,0
98.967,34
100.428,0
101.208,0
102.035,0
103.114,0
104.093,0
105.014,9
106.133,17
107.010,26
107.888,26
109.099,25
109.984,26
111.186,25
112.032,13
113.011,9
113.839,39
115.054,27
115.932,0
117.101,0
118.028,0
118.906,32
119.783,0
121.099,0
121.879,0
122.757,29
124.024,0
124.858,26
125.730,31
126.950,39
127.921,30
128.704,31
129.923,33
130.801,34
131.751,26
132.903,23
133.776,30
134.701,31
136.016,25
136.842,31
137.685,20
138.938,1
139.722,0
140.743,24
141.866,32
142.744,29
143.667,0
145.099,13
145.718,0
146.618,0
147.771,0
148.692,17
149.615,0
150.788,31
151.666,30
152.543,37
153.762,38
154.735,5
155.517,0
156.833,0
157.613,0
158.490,6
159.718,56
160.590,69
161.608,19
162.685,48
163.562,18
164.536,0
165.658,0
166.537,31
167.461,21
168.685,23
169.510,9
170.437,0
171.606,0
172.487,3
173.461,37
174.579,0
175.474,0
176.433,0
177.585,0
178.429,28
179.357,21
180.526,28
181.404,19
182.330,20
183.500,19
184.617,16
185.309,0
186.568,25
187.351,26
188.279,0
189.448,0
190.373,0
191.251,0
192.567,2
193.347,0
194.227,26
195.394,28
196.568,29
197.202,21
198.514,15
199.296,21
200.180,0
201.441,0
202.276,0
203.146,27
204.364,31
205.242,43
206.120,53
207.340,41
208.264,26
209.094,25
210.363,28
211.190,28
212.119,29
213.478,37
214.164,36
215.113,31
216.260,27
217.138,28
218.404,52
219.283,0
220.205,0
221.037,1
222.265,9
223.137,12
224.021,40
225.183,12
226.304,14
226.988,0
228.154,0
229.078,20
229.966,22
231.132,0
232.055,0
232.935,24
234.103,23
235.029,32
235.907,27
237.170,28
238.003,6
238.882,9
240.099,9
240.976,0
241.861,23
243.267,24
243.953,32
244.828,43
246.053,0
247.216,3
247.802,22
249.020,18
249.946,0
250.775,27
251.997,48
252.871,40
253.894,38
254.968,38
255.847,25
256.799,0
257.987,3
259.114,14
259.696,0
260.965,0
261.800,31
262.719,25
264.132,31
264.766,0
265.692,0
266.862,0
267.741,25
268.669,27
270.080,30
270.714,39
271.746,52
273.005,37
273.831,28
274.617,29
275.784,30
276.759,41
277.639,36
278.949,32
279.711,46
280.563,54
281.731,40
282.658,36
283.535,25
284.705,23
285.631,24
286.557,47
287.679,38
288.610,42
289.538,64
290.678,69
291.581,72
292.502,71
293.925,76
294.555,55
295.430,54
296.892,62
297.575,77
298.405,77
299.625,78
300.598,79
301.378,80
302.642,75
303.474,63
304.363,55
305.571,12
