df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,temperature
4.634,35.594
5.607,35.594
6.632,35.625
7.949,35.625
8.629,35.625
9.604,35.625
10.628,35.625
11.603,35.625
12.724,35.594
13.650,35.625
14.625,35.625
15.649,35.625
16.819,35.625
17.648,35.625
18.723,35.625
19.647,35.625
20.623,35.625
21.892,35.594
22.620,35.656
23.644,35.656
24.815,35.625
25.692,35.750
26.669,35.750
27.644,35.781
28.617,35.781
29.680,35.750
30.620,35.750
31.639,35.781
32.663,35.750
33.639,35.719
34.618,35.750
35.637,35.656
36.612,35.656
37.635,35.656
38.618,35.688
39.634,35.719
40.638,35.719
41.633,35.781
42.608,35.781
43.831,35.844
44.804,35.844
45.631,35.844
46.612,35.906
47.629,35.906
48.653,35.906
49.628,35.906
50.603,35.875
51.627,35.875
52.602,35.875
53.626,35.875
54.650,35.812
55.625,35.875
56.599,35.844
57.626,35.875
58.598,35.844
59.673,35.844
60.602,35.875
61.621,35.875
62.647,35.906
63.620,35.906
64.643,35.938
65.618,35.938
66.642,35.938
67.617,35.969
68.642,35.875
69.638,35.875
70.664,35.875
71.626,35.844
72.638,35.906
73.699,35.938
74.883,35.969
75.650,36.000
76.636,35.969
77.611,36.000
78.635,36.125
79.902,36.125
80.634,36.156
81.634,36.188
82.632,36.156
83.607,36.156
84.631,36.156
85.752,36.125
86.631,36.125
87.610,36.125
88.629,36.125
89.652,36.125
90.676,36.125
91.602,36.125
92.731,36.094
93.601,36.094
94.773,36.125
95.702,36.156
96.624,36.188
97.599,36.156
98.622,36.156
99.605,36.125
100.621,36.125
101.596,36.156
102.623,36.156
103.595,36.156
104.650,36.125
105.791,36.125
106.666,36.094
107.592,36.125
108.616,36.125
109.592,36.156
110.858,36.125
111.590,36.125
112.615,36.156
113.637,36.188
114.636,36.188
115.636,36.094
116.711,36.094
117.635,36.125
118.665,36.125
119.634,36.125
120.609,36.156
121.632,36.281
122.607,36.281
123.634,36.250
124.606,36.250
125.669,36.375
126.605,36.406
127.629,36.375
128.631,36.406
129.703,36.375
130.608,36.375
131.629,36.281
132.799,36.312
133.681,36.312
134.600,36.312
135.721,36.281
136.745,36.281
137.623,36.281
138.598,36.250
139.621,36.250
140.645,36.250
141.815,36.250
142.595,36.219
143.618,36.219
144.594,36.281
145.618,36.281
146.837,36.281
147.617,36.312
148.591,36.281
149.620,36.281
150.688,36.281
151.614,36.250
152.589,36.281
153.613,36.281
154.593,36.281
155.611,36.219
156.636,36.188
157.659,36.219
158.585,36.219
159.611,36.250
160.633,36.219
161.639,36.219
162.631,36.219
163.606,36.219
164.630,36.219
165.622,36.250
166.635,36.344
167.604,36.406
168.627,36.469
169.603,36.500
170.627,36.531
171.703,36.594
172.625,36.594
173.600,36.656
174.624,36.656
175.599,36.688
176.623,36.656
177.598,36.625
178.622,36.625
179.597,36.625
180.769,36.594
181.606,36.594
182.619,36.625
183.598,36.594
184.625,36.625
186.034,36.594
186.617,36.594
187.692,36.562
188.666,36.531
189.590,36.531
190.617,36.562
191.611,36.562
192.613,36.562
193.588,36.562
194.611,36.562
195.587,36.562
196.730,36.562
197.585,36.562
198.617,36.594
199.779,36.562
200.608,36.531
201.683,36.562
202.627,36.531
203.582,36.500
204.605,36.531
205.581,36.531
206.604,36.562
207.631,36.531
208.604,36.562
209.627,36.531
210.747,36.531
211.626,36.500
212.601,36.531
213.624,36.500
214.599,36.469
215.623,36.531
216.745,36.531
217.622,36.594
218.597,36.562
219.621,36.625
220.596,36.594
221.619,36.625
222.597,36.625
223.618,36.688
224.593,36.688
225.617,36.656
226.742,36.625
227.616,36.625
228.591,36.625
229.614,36.625
230.589,36.625
231.635,36.625
232.834,36.625
233.612,36.625
234.587,36.625
235.610,36.594
236.590,36.594
237.856,36.562
238.609,36.594
239.609,36.594
240.583,36.562
241.610,36.562
242.628,36.562
243.606,36.500
244.581,36.469
245.605,36.500
246.725,36.531
247.603,36.562
248.578,36.531
249.602,36.562
250.577,36.531
251.603,36.562
252.584,36.562
253.600,36.594
254.575,36.625
255.598,36.625
256.622,36.594
257.597,36.562
258.670,36.531
259.596,36.500
260.619,36.500
261.595,36.469
262.618,36.438
263.887,36.406
264.617,36.438
265.592,36.438
266.616,36.531
267.707,36.500
268.615,36.531
269.599,36.500
270.613,36.562
271.637,36.562
272.612,36.625
273.587,36.625
274.610,36.594
275.586,36.594
276.610,36.562
277.828,36.594
278.655,36.531
279.583,36.562
280.631,36.562
281.582,36.594
282.606,36.594
283.582,36.625
284.607,36.625
285.581,36.625
286.603,36.656
287.627,36.625
288.615,36.625
290.262,36.656
290.601,36.656
291.743,36.656
292.600,36.625
293.666,36.625
294.599,36.594
295.574,36.562
296.597,36.531
297.819,36.562
298.597,36.625
299.571,36.594
300.603,36.562
301.570,36.562
302.647,36.562
303.572,36.531
304.592,36.562
305.619,36.562
