df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,ppg_quality
58.719,69
60.739,61
62.759,30
64.779,13
65.789,9
66.799,2
76.889,1
77.899,7
79.919,8
80.929,11
81.939,17
83.959,17
84.969,25
86.989,40
89.009,28
90.019,24
91.029,19
93.049,1
98.099,1
100.119,5
102.129,16
104.149,25
106.169,16
111.219,27
113.239,4
115.259,17
117.279,10
119.299,13
140.499,15
141.509,17
143.529,5
150.599,11
152.619,37
153.629,56
154.639,67
155.649,73
156.659,78
157.669,85
158.679,126
161.709,143
163.729,154
165.749,113
166.759,109
169.789,22
175.849,39
176.859,39
177.869,40
178.879,35
180.899,51
182.919,50
184.939,38
186.959,22
188.979,39
190.999,35
193.019,26
194.029,15
196.049,8
198.069,8
199.079,3
202.109,13
203.119,21
204.129,30
205.139,36
206.149,39
208.169,42
210.189,17
211.199,6
215.239,5
216.249,1
219.279,12
220.289,23
221.299,35
223.319,52
224.329,47
225.339,46
226.349,38
228.369,32
229.379,29
230.389,14
234.429,12
236.449,49
238.469,54
239.479,50
240.489,63
241.499,57
243.519,35
245.539,11
249.579,7
251.599,23
252.609,36
253.619,44
255.639,40
256.649,32
258.669,16
260.689,9
267.759,12
269.779,25
271.799,37
273.819,71
275.839,80
276.849,82
277.859,77
280.889,65
282.909,38
283.919,27
285.939,29
286.949,28
287.959,24
288.969,21
289.979,24
290.989,28
291.999,36
293.009,42
294.019,50
296.039,52
298.059,61
300.079,65
303.109,57
305.129,53
307.149,18
