df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,rr_int
11.849,6720
12.825,395
12.967,950
13.017,100
13.198,110
13.203,10
13.407,360
13.504,10
13.653,110
13.943,335
15.308,1210
15.600,505
16.874,265
17.112,1035
17.940,290
17.946,820
18.232,10
19.354,260
19.891,1060
21.158,565
21.160,1305
21.450,10
22.669,335
22.816,1155
23.108,445
23.790,470
24.229,250
24.820,440
25.156,590
26.423,305
26.862,1295
27.398,470
27.691,555
28.227,325
28.714,445
29.494,460
30.177,880
30.716,685
31.519,530
31.981,715
32.668,610
32.909,620
33.346,10
33.932,660
34.613,640
35.051,660
35.057,475
35.445,10
36.709,285
37.977,1355
38.003,1000
38.095,325
38.342,145
38.369,10
39.049,545
39.881,405
40.024,590
40.219,295
40.715,225
41.438,550
41.681,610
42.272,355
42.518,530
42.950,270
43.241,475
43.244,250
43.388,10
43.391,90
43.537,15
43.834,60
44.071,405
44.074,315
44.606,10
45.191,510
45.201,560
45.582,10
45.586,380
46.703,10
47.386,1155
48.068,690
48.263,685
49.190,110
49.778,1040
50.311,580
50.846,540
51.724,550
52.797,875
53.381,1085
53.771,470
54.747,470
55.575,1015
56.014,840
57.136,440
57.527,1140
58.305,400
58.310,710
58.793,10
59.622,430
59.768,975
59.771,95
59.914,130
59.917,10
60.012,75
60.158,160
60.304,160
60.597,305
61.134,10
61.718,475
61.722,645
61.815,15
61.821,10
61.824,10
61.962,15
61.988,225
63.765,1100
63.769,715
63.911,10
63.915,10
63.918,25
64.108,15
64.111,40
64.114,10
64.740,10
65.179,790
65.423,515
65.862,220
66.544,495
66.983,640
67.227,380
67.232,300
67.812,10
67.815,515
68.348,10
68.933,670
69.181,560
69.762,280
70.152,490
70.591,360
71.420,460
71.712,855
72.542,265
73.257,850
73.569,705
73.759,260
74.052,535
74.198,155
74.201,10
74.205,10
75.563,405
75.569,1045
75.855,10
75.860,255
76.831,30
77.367,990
78.244,500
78.248,830
78.295,20
78.342,135
79.463,780
79.905,390
81.129,415
81.562,1240
81.565,405
81.608,10
82.953,465
82.956,845
83.363,10
83.902,440
84.339,545
85.313,465
85.508,1005
85.511,170
85.557,20
85.755,10
86.532,250
86.825,1035
87.507,545
87.511,195
88.492,940
88.823,10
89.603,340
90.045,785
90.152,410
90.432,110
90.969,360
92.089,510
92.390,1115
93.747,275
94.040,1445
94.186,455
95.014,370
95.025,395
95.063,10
95.170,175
95.310,10
96.136,650
96.139,260
96.282,10
96.969,250
97.503,615
98.232,565
98.378,900
99.890,260
100.435,1175
101.011,325
101.254,915
101.260,185
102.039,10
102.376,785
102.522,370
102.533,160
102.620,20
102.912,10
103.351,355
104.328,385
104.472,700
104.490,470
105.156,420
105.593,265
106.139,485
106.670,500
107.689,585
109.201,895
109.348,1770
110.617,430
110.862,570
111.833,450
111.837,1075
112.126,10
112.129,255
113.199,15
113.644,1060
113.790,390
114.173,10
114.466,575
115.002,375
115.149,560
115.441,25
115.444,350
116.563,455
116.611,595
116.615,105
117.267,340
118.219,330
118.224,995
118.366,10
118.522,25
119.049,265
119.877,550
120.170,1090
121.193,285
121.681,700
122.123,525
122.173,410
122.182,15
122.189,10
122.804,10
123.484,695
123.488,625
123.680,10
124.069,215
124.076,330
124.481,10
124.560,515
125.191,15
125.194,685
125.198,10
125.337,10
125.581,340
126.995,605
127.384,840
127.927,390
128.067,600
128.213,255
128.218,10
128.262,10
128.267,10
128.270,15
128.360,15
128.364,15
128.510,175
129.188,690
129.627,10
129.774,500
129.871,255
129.874,10
130.992,475
131.285,620
131.288,220
131.626,10
132.406,285
133.088,910
133.095,630
134.454,10
134.746,1410
135.038,300
135.429,290
135.726,405
135.867,260
136.403,10
136.849,770
137.135,315
137.963,330
138.354,785
138.646,460
138.652,305
138.945,10
139.331,290
139.767,10
140.304,775
140.596,560
140.599,280
140.748,15
141.132,110
141.280,515
141.287,10
141.290,10
141.330,15
141.338,15
141.376,10
141.379,10
141.425,10
141.620,260
142.546,480
142.936,520
143.082,345
143.085,255
143.425,10
143.673,10
144.109,465
144.496,375
145.325,475
146.840,810
147.421,1550
148.396,570
149.323,1075
150.200,865
150.205,935
150.465,10
150.736,250
150.740,185
151.032,10
151.858,340
153.076,875
153.080,1210
153.225,10
153.808,10
154.490,690
154.494,690
154.588,20
154.591,35
154.638,20
154.644,15
154.651,15
154.656,10
155.029,10
156.294,505
156.732,1175
157.668,505
158.634,935
160.049,1015
160.340,1345
161.997,240
162.241,1945
162.831,255
163.123,315
163.512,325
163.801,380
164.191,340
165.020,355
166.288,835
168.091,1320
168.530,1755
169.213,510
170.187,640
171.163,1035
171.553,1010
173.263,350
174.627,1725
176.576,1365
176.867,1895
177.695,375
178.817,765
179.060,1120
180.474,330
180.773,1390
181.017,335
181.303,180
181.693,275
182.036,520
182.277,210
182.570,345
182.821,470
183.253,270
184.325,235
185.438,1030
186.574,1065
186.860,1215
188.412,350
188.959,1465
189.690,275
190.175,1000
190.181,550
190.614,10
191.150,390
191.447,605
191.735,505
192.810,550
192.957,580
193.392,10
