df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,acc_mag
4.965,1.000
4.995,0.995
5.025,1.007
5.055,0.995
5.085,1.004
5.115,0.996
5.145,0.999
5.175,1.002
5.205,1.002
5.235,1.003
5.265,1.006
5.295,1.000
5.325,0.991
5.355,1.000
5.385,1.006
5.415,0.999
5.445,0.993
5.475,1.005
5.505,1.000
5.535,0.994
5.565,1.002
5.595,1.003
5.625,1.002
5.655,1.000
5.685,0.997
5.715,1.000
5.745,1.001
5.775,0.998
5.805,1.003
5.835,1.003
5.865,0.994
5.895,0.999
5.925,1.001
5.955,0.998
5.985,1.004
6.015,1.000
6.045,0.997
6.075,0.997
6.105,1.006
6.135,1.000
6.165,0.997
6.195,1.000
6.225,1.001
6.255,1.003
6.285,0.999
6.315,1.002
6.345,1.001
6.375,1.000
6.405,1.000
6.435,0.999
6.465,0.997
6.495,0.997
6.525,0.997
6.555,1.005
6.585,1.000
6.615,0.994
6.645,0.998
6.675,1.003
6.705,1.000
6.735,1.002
6.765,0.998
6.795,0.999
6.825,0.998
6.855,1.002
6.885,1.000
6.915,0.995
6.945,0.998
6.975,1.000
7.005,1.003
7.035,1.003
7.065,1.002
7.095,0.997
7.125,1.002
7.155,1.000
7.185,1.000
7.215,1.004
7.245,0.994
7.275,1.001
7.305,0.997
7.335,1.006
7.365,0.999
7.395,0.997
7.425,0.996
7.455,1.003
7.485,0.998
7.515,1.002
7.545,1.001
7.575,0.992
7.605,1.003
7.635,1.005
7.665,0.994
7.695,1.000
7.725,1.001
7.755,0.998
7.785,1.000
7.815,1.008
7.845,1.000
7.875,0.999
7.905,1.000
7.935,1.002
7.965,0.998
7.995,1.000
8.025,0.999
8.055,1.008
8.085,0.992
8.115,0.996
8.145,1.001
8.175,1.001
8.205,0.998
8.235,1.001
8.265,1.005
8.295,0.990
8.325,1.001
8.355,1.001
8.385,0.994
8.415,0.996
8.445,1.000
8.475,1.002
8.505,1.001
8.535,1.002
8.565,0.999
8.595,0.998
8.625,0.999
8.655,0.999
8.685,1.003
8.715,0.997
8.745,0.998
8.775,0.999
8.805,0.996
8.835,1.008
8.865,1.001
8.895,0.998
8.925,0.996
8.955,1.001
8.985,1.003
9.015,1.002
9.045,0.998
9.075,1.000
9.105,0.996
9.135,1.006
9.165,1.002
9.195,0.997
9.225,0.999
9.255,1.002
9.285,1.002
9.315,0.999
9.345,0.999
9.375,0.999
9.405,1.000
9.435,0.997
9.465,1.000
9.495,1.001
9.525,0.999
9.555,0.997
9.585,1.000
9.615,1.002
9.645,1.002
9.675,0.996
9.705,0.998
9.735,1.003
9.765,1.004
9.795,0.995
9.825,0.997
9.855,1.003
9.885,0.997
9.915,1.002
9.945,1.002
9.975,1.002
10.005,0.992
10.035,1.004
10.065,1.007
10.095,0.994
10.125,0.995
10.155,1.002
10.185,1.001
10.215,1.000
10.245,1.004
10.275,1.000
10.305,1.002
10.335,1.000
10.365,1.002
10.395,1.002
10.425,1.000
10.455,1.000
10.485,0.999
10.515,1.000
10.545,0.996
10.575,1.008
10.605,1.003
10.635,0.993
10.665,0.994
10.695,1.000
10.725,1.003
10.755,1.002
10.785,1.002
10.815,1.000
10.845,0.996
10.875,1.006
10.905,0.998
10.935,0.994
10.965,0.998
10.995,1.000
11.025,1.001
11.055,1.002
11.085,0.998
11.115,1.000
11.145,0.997
11.175,0.999
11.205,0.999
11.235,1.001
11.265,1.000
11.295,0.996
11.325,1.000
11.355,1.004
11.385,1.009
11.415,0.995
11.445,0.998
11.475,1.002
11.505,1.004
11.535,1.002
11.565,1.000
11.595,1.006
11.625,0.996
11.655,1.004
11.685,0.999
11.715,0.997
11.745,1.000
11.775,1.002
11.805,1.002
11.835,0.999
11.865,1.001
11.895,1.002
11.925,0.997
11.955,1.001
11.985,1.002
12.015,1.001
12.045,0.998
12.075,0.997
12.105,0.999
12.135,1.005
12.165,0.997
12.195,1.001
12.225,1.001
12.255,1.007
12.285,0.995
12.315,0.998
12.345,1.000
12.375,1.002
12.405,1.000
12.435,1.004
12.465,1.005
12.495,0.992
12.525,1.000
12.555,1.006
12.585,0.998
12.615,0.995
12.645,0.999
12.675,1.000
12.705,1.002
12.735,1.000
12.765,1.003
12.795,1.000
12.825,0.994
12.855,1.001
12.885,1.002
12.915,1.001
12.945,1.002
12.975,0.999
13.005,1.000
13.035,1.000
13.065,1.001
13.095,1.001
13.125,0.998
13.155,1.005
13.185,1.003
13.215,1.001
13.245,0.994
13.275,0.997
13.305,1.001
13.335,1.002
13.365,1.000
13.395,1.003
13.425,1.005
13.455,0.991
13.485,1.004
13.515,1.003
13.545,1.001
13.575,0.994
13.605,1.000
13.635,1.006
13.665,0.999
13.695,1.000
13.725,1.000
13.755,0.999
13.785,0.997
13.815,0.996
13.845,0.995
13.875,1.000
13.905,1.002
13.935,1.000
13.965,1.001
13.995,0.998
14.025,1.003
14.055,1.000
14.085,0.998
14.115,0.993
14.145,0.992
14.175,1.005
14.205,1.005
14.235,1.001
14.265,0.997
14.295,0.997
14.325,0.993
