df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,perfusion_ir
40.050,0.120
40.634,0.120
45.017,0.120
47.016,0.120
54.139,0.120
54.822,0.120
56.912,0.120
57.749,0.120
58.670,0.120
59.255,0.120
63.299,0.130
63.987,0.130
65.398,0.120
66.763,0.120
68.277,0.120
68.762,0.120
72.905,0.120
82.360,0.120
84.700,0.130
85.431,0.130
86.309,0.130
87.823,0.130
88.464,0.130
90.554,0.140
92.893,0.140
93.722,0.140
97.668,0.140
103.184,0.130
104.492,0.130
105.227,0.130
107.811,0.130
109.469,0.130
109.566,0.130
112.098,0.130
115.660,0.130
116.975,0.130
121.022,0.130
123.216,0.130
123.801,0.130
129.753,0.120
134.038,0.120
135.355,0.120
136.184,0.120
136.963,0.120
137.694,0.120
138.431,0.120
139.303,0.120
141.203,0.120
144.679,0.120
145.348,0.120
146.077,0.110
146.131,0.120
147.448,0.120
149.402,0.120
150.080,0.120
151.594,0.120
152.953,0.120
154.026,0.120
156.722,0.120
157.449,0.120
157.551,0.120
163.042,0.120
164.164,0.120
166.016,0.120
166.070,0.120
167.198,0.120
168.700,0.120
172.259,0.120
172.990,0.120
174.449,0.120
174.506,0.120
175.961,0.120
179.962,0.120
180.692,0.120
181.379,0.120
182.106,0.120
182.886,0.120
186.009,0.120
186.835,0.120
187.417,0.120
188.641,0.120
189.469,0.120
192.889,0.120
193.660,0.120
194.440,0.120
200.095,0.120
201.752,0.120
209.355,0.120
209.942,0.120
211.697,0.120
225.735,0.120
231.438,0.120
240.799,0.120
241.481,0.120
241.582,0.110
250.125,0.110
274.000,0.120
292.574,0.110
297.647,0.110
341.615,0.120
369.262,0.130
392.851,0.120
393.923,0.120
396.363,0.120
401.973,0.120
411.473,0.130
415.227,0.130
437.409,0.130
437.902,0.130
444.530,0.130
445.309,0.130
446.918,0.130
447.514,0.130
448.932,0.120
449.794,0.120
450.003,0.120
457.205,0.110
458.814,0.110
462.040,0.110
462.811,0.110
476.512,0.110
486.601,0.110
488.207,0.110
