df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,rr_int
10.015,4230
10.161,885
11.236,865
11.819,205
12.647,565
13.622,890
14.451,940
14.743,875
14.749,225
14.844,10
14.848,10
15.183,20
15.864,420
16.548,660
17.328,720
17.913,740
18.644,665
19.477,650
19.719,845
20.301,10
21.130,855
21.813,815
22.544,720
23.372,760
24.055,805
24.786,755
25.423,660
26.005,620
26.980,690
27.663,865
28.689,820
29.079,700
29.881,680
30.588,720
31.320,785
32.001,705
32.830,745
33.524,830
34.195,705
34.899,655
35.855,745
36.454,770
36.973,675
36.976,610
37.656,10
38.536,635
39.071,715
39.904,735
40.581,790
40.585,695
41.264,10
41.995,695
41.998,700
42.531,10
43.253,645
43.945,615
44.627,700
44.969,740
45.310,210
46.041,465
46.723,700
46.968,735
47.022,230
47.552,10
48.275,555
48.922,670
50.038,765
50.477,840
51.329,740
52.818,740
53.402,1545
54.085,650
54.816,645
55.063,665
55.352,10
56.035,660
56.883,700
57.696,750
58.521,810
59.203,850
59.937,750
60.768,720
61.300,755
61.982,660
62.568,630
63.250,645
63.932,705
64.664,680
65.346,635
66.029,710
66.711,745
67.297,660
67.979,620
68.661,665
69.347,680
69.932,680
70.757,650
71.465,725
72.123,730
72.707,670
73.244,585
73.829,555
74.220,545
74.804,515
75.488,550
76.200,625
76.900,745
77.729,745
77.826,735
77.830,160
77.875,70
77.878,10
77.975,10
78.948,395
79.680,700
80.367,670
81.044,715
81.682,685
82.311,625
82.994,645
83.823,745
84.651,795
85.382,785
86.211,795
86.895,795
87.722,760
88.412,715
89.089,715
89.673,695
90.502,670
90.505,710
91.219,10
91.915,755
92.744,730
93.621,800
94.401,905
94.548,755
94.551,165
94.694,55
95.084,20
95.767,475
96.595,735
97.326,765
97.473,720
97.912,180
98.943,460
100.106,665
100.837,1490
101.471,805
102.202,665
103.058,740
103.719,740
104.444,685
105.126,680
105.663,700
106.394,650
106.936,635
107.710,655
108.149,640
108.881,605
109.420,595
109.487,620
110.099,10
110.684,645
111.366,665
112.049,645
112.103,680
112.781,10
113.463,725
114.146,755
114.828,670
115.559,715
116.255,715
116.778,640
117.461,605
118.045,585
118.589,615
119.313,635
119.996,630
120.970,670
121.799,990
122.501,890
123.164,645
123.750,660
123.755,625
124.285,10
124.582,585
124.910,225
125.553,370
126.089,600
127.064,630
127.896,910
129.100,895
129.603,770
130.429,855
131.257,885
131.939,835
132.622,685
133.356,675
133.889,680
134.620,660
135.307,635
136.156,725
136.814,805
137.643,790
138.382,710
139.252,790
139.885,800
140.422,690
141.153,655
141.836,665
142.521,670
143.103,635
143.932,670
144.614,745
145.297,730
146.028,675
146.082,690
146.711,10
147.393,730
147.979,655
148.668,670
149.392,700
150.025,695
150.760,640
151.494,660
152.082,695
152.707,670
153.389,635
153.925,660
154.657,680
155.488,685
156.070,635
156.706,690
157.436,685
157.535,680
157.972,175
158.654,475
158.658,610
159.386,10
160.068,710
160.751,760
161.588,745
162.262,705
162.993,730
163.681,720
163.968,750
164.358,220
165.094,495
165.918,715
166.064,710
166.601,10
167.190,705
167.919,660
168.551,695
169.383,720
169.526,750
169.529,195
170.063,25
170.793,470
171.532,740
172.234,750
172.841,665
173.572,675
174.401,745
174.457,790
175.084,10
175.620,670
175.912,640
175.970,205
176.058,20
176.063,15
176.359,10
177.036,395
177.720,675
178.060,695
178.301,225
178.984,425
179.812,705
180.641,805
181.372,800
182.074,685
182.737,680
183.566,770
184.395,830
185.077,780
186.003,775
186.637,785
187.320,780
188.302,675
188.587,635
189.416,655
189.952,720
190.683,685
191.512,685
192.195,760
192.878,760
193.560,710
194.348,680
195.122,755
195.656,705
196.246,625
196.923,625
197.464,620
198.045,610
198.048,585
198.728,10
199.263,580
200.043,630
200.339,710
200.393,175
200.402,10
200.405,20
200.682,10
201.360,425
201.506,710
201.945,175
202.871,470
203.163,585
204.285,640
204.577,1155
204.628,275
205.406,260
205.947,585
206.527,535
207.261,545
207.600,530
208.190,545
208.731,570
209.306,580
209.842,575
210.148,565
210.170,285
210.210,10
210.379,190
211.646,625
211.792,635
211.795,230
211.942,140
212.231,170
212.238,10
213.355,820
213.596,310
213.890,260
214.181,330
214.426,300
215.405,330
215.839,985
217.111,330
217.230,1320
217.398,170
217.402,15
217.447,20
217.451,15
217.454,10
217.548,15
217.552,15
217.558,10
217.561,15
217.690,30
217.721,225
218.472,590
218.666,310
218.764,240
219.885,580
220.064,530
220.149,175
220.177,20
220.182,20
220.185,15
220.207,10
220.325,10
220.470,260
221.542,540
222.374,630
223.200,825
224.030,795
224.714,825
225.296,710
225.686,640
225.740,410
225.932,175
225.936,10
225.978,20
225.983,25
226.125,10
226.129,160
227.247,415
227.782,665
228.368,615
229.353,585
229.586,925
229.589,235
230.073,15
230.077,410
230.707,10
231.390,690
231.541,715
231.585,120
231.588,20
231.591,15
231.594,10
232.121,20
232.125,525
232.368,15
232.804,340
233.487,430
234.900,595
235.875,1450
235.878,910
236.022,10
236.265,265
237.094,185
237.097,810
237.386,10
237.389,320
237.693,10
