df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,omega
40.054,0.617
40.638,0.608
45.021,0.603
47.020,0.608
54.146,0.617
55.063,0.608
56.917,0.611
57.755,0.613
58.674,0.619
59.259,0.626
63.302,0.628
63.999,0.626
65.401,0.626
66.767,0.626
68.284,0.627
68.766,0.627
72.909,0.629
82.364,0.629
84.703,0.629
85.480,0.627
86.315,0.627
87.826,0.627
88.470,0.627
90.557,0.620
92.896,0.620
93.728,0.627
97.672,0.629
103.187,0.627
104.496,0.627
105.230,0.627
107.814,0.622
109.486,0.622
109.569,0.615
112.102,0.622
115.663,0.615
116.981,0.613
121.029,0.613
123.219,0.613
123.810,0.615
129.759,0.615
134.042,0.611
135.358,0.620
136.187,0.625
136.967,0.627
137.698,0.627
138.435,0.627
139.312,0.627
141.210,0.627
144.690,0.627
145.352,0.627
146.081,0.629
146.135,0.630
147.458,0.634
149.407,0.634
150.123,0.640
151.599,0.640
152.956,0.640
154.029,0.645
156.753,0.642
157.534,0.642
157.557,0.645
163.047,0.642
164.169,0.642
166.020,0.642
166.113,0.639
167.381,0.637
168.703,0.639
172.263,0.639
172.998,0.639
174.456,0.642
174.509,0.639
175.966,0.634
179.971,0.634
180.703,0.634
181.387,0.632
182.110,0.636
182.894,0.636
186.055,0.632
186.839,0.632
187.421,0.636
188.651,0.636
189.475,0.635
192.975,0.638
193.666,0.639
194.443,0.639
200.191,0.639
201.763,0.639
209.359,0.643
209.948,0.643
211.702,0.643
225.739,0.648
231.443,0.653
240.802,0.653
241.485,0.662
241.585,0.662
250.306,0.662
274.005,0.678
292.578,0.690
297.654,0.698
341.618,0.737
369.267,0.748
392.855,0.813
393.940,0.810
396.366,0.793
401.978,0.793
411.478,0.810
415.232,0.829
437.413,0.793
437.905,0.776
444.534,0.764
445.313,0.756
446.924,0.733
447.521,0.718
448.938,0.709
449.814,0.700
450.008,0.698
457.209,0.696
458.817,0.694
462.045,0.679
462.814,0.654
476.558,0.654
486.605,0.654
488.211,0.654
