df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,spo2
40.047,96
40.630,96
44.972,96
46.971,96
54.088,96
54.819,96
56.887,96
57.744,96
58.524,96
59.207,96
63.253,96
63.936,96
65.351,96
66.715,96
67.982,96
68.759,96
72.712,96
82.317,96
84.662,96
85.388,96
86.228,96
87.728,96
88.454,96
90.550,96
92.747,96
93.625,96
97.481,96
103.179,96
104.447,96
105.130,96
107.713,96
109.465,96
109.563,96
112.052,96
115.563,96
116.783,96
120.976,96
123.167,96
123.798,96
129.748,96
133.894,96
135.352,96
136.181,96
136.818,96
137.647,96
138.426,96
139.256,96
141.157,96
144.618,96
145.301,96
146.031,96
146.128,96
147.398,96
149.397,96
150.074,96
151.588,96
152.710,96
153.929,95
156.716,96
157.443,96
157.546,95
162.999,96
163.973,96
165.922,96
166.067,96
167.194,96
168.554,96
172.256,96
172.845,96
174.405,96
174.502,96
175.919,96
179.816,96
180.645,96
181.375,96
182.103,96
182.741,96
186.006,96
186.642,96
187.323,96
188.590,96
189.421,96
192.883,96
193.565,96
194.358,96
200.092,96
201.509,96
209.310,96
209.851,96
211.650,96
225.690,95
231.393,95
240.753,95
241.436,95
241.579,95
250.110,95
273.956,95
292.477,94
297.641,94
341.569,93
369.256,93
392.805,91
393.834,92
396.267,92
401.967,92
411.380,92
415.183,91
437.364,92
437.899,92
444.526,93
445.306,93
446.824,93
447.507,94
448.927,94
449.749,94
449.997,94
457.202,94
458.810,94
462.028,95
462.808,95
476.506,95
486.455,95
488.113,95
