df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,battery
6.261,11
16.254,11
26.259,11
36.243,11
46.236,11
56.230,11
66.224,11
76.241,11
86.318,11
96.254,11
106.248,11
116.241,11
126.236,11
136.230,11
146.231,11
156.222,11
166.357,11
176.303,11
186.345,10
196.338,10
206.235,10
216.229,10
226.223,10
236.217,10
246.259,10
256.205,10
266.296,10
276.360,10
286.235,10
296.228,10
306.222,10
316.223,10
326.210,10
336.204,10
346.197,10
356.289,10
366.236,10
376.199,10
386.416,10
396.464,9
406.209,9
416.202,9
426.246,9
436.288,9
446.184,9
456.231,9
466.202,9
476.361,9
486.208,9
